подмогнуть|Помочь слегка
подмога|Помощь слегка
подмокнуть|Намокнуть снизу или немного
подмокать|Намокать снизу или немного
подморозить|Слегка заморозить
подморозить|О наступлении холода, мороза (после оттепели или после осенней дождливой погоды)
подмораживать|Слегка замораживать
подмости|Настил, рабочая площадка на строительных лесах
подмостки|Настил из досок на возвышении
подмостки|То же, что сцена
подмочить|Дать подмокнуть
подмочить|Испортить, внеся что–нибудь нежелательное
подмачивать|Давать подмокнуть
подмачивать|Портить, внося что–нибудь нежелательное
подмывать|Иметь сильное желание, побуждение сделать что–нибудь
подмыть|Вымыть нижнюю часть тела
подмыть|Наскоро вымыть
подмыть|Размыть снизу
подмываться|Вымывать себе нижнюю часть тела
подмывание|Процесс вымывания нижней части тела или размывания снизу
подмышка|Место под плечевым сгибом
подмышечный|Относящийся к подмышке
подмышник|Кусок плотной ткани, пришиваемый к рукаву изнутри под мышками для предохранения одежды от пота
подмять|Навалившись, придавить
подмять|Целиком подчинить себе, своей воле
подминать|Наваливаться, придавливать
поднабираться|Набираться в некотором количестве
поднабраться|Набираться в некотором количестве
поднадзорный|Состоящий под надзором властей
поднадзорность|Состояние под надзором властей
поднажать|То же, что нажать
поднажать|Заставить ускорить работу, учебу, и др.
поднажать|Оказать усилие на кого–нибудь, что–нибудь
поднакапливать|Накоплять в каком–нибудь количестве
поднакопить|Накопить в каком–нибудь количестве
поднатореть|Немного натореть, приобрести некоторый навык в чем–нибудь
поднатужиться|Постараться, приложить усилия
поднатуживаться|Стараться, прилагать усилия
подначальный|Находящийся под чьим–нибудь начальством
подначальность|Состояние под чьим–нибудь начальством
подначивать|Поддразнивать, подзадоривать
подначить|Поддразнить, подзадорить
подначка|Дразнение, подзадоривание
поднебесная|Весь мир, вся Земля
поднебесье|Небесная высь
подневольный|Зависимый, подчиненный
подневольный|То же, что принудительный
подневольность|Состояние принудительности, зависимости
поднести|Приблизить, неся или протягивая руку
поднести|Неся, доставить
поднести|Подать, угощая
поднести|То же, что преподнести
подносить|Приближать, неся или протягивая руку
подносить|Доставлять, неся
поднесение|Действие по приближению, подаче чего–нибудь
поднос|Плоскость с загнутыми краями для переноски посуды, подачи еды на стол
подноска|Доставка чего–либо к месту назначения
подношение|Поднесенная вещь, подарок
поднырнуть|Нырнуть под кого–нибудь, что–нибудь
подныривать|Нырять под кого–нибудь, что–нибудь
поднять|Нагнувшись, взять лежащее внизу, уроненное, брошенное
поднять|Взять, захватить, имея достаточно силы, чтобы удержать на весу
поднять|Переместить наверх, придать более высокое положение
поднять|Помочь или заставить встать; вновь придать стоячее положение
поднять|Заставить тронуться с места, начать какое–либо действие
поднять|Побудить к действию
поднять|Сделать более высоким, выше (по размеру, уровню)
поднять|Увеличить, повысить (цену, качество)
поднять|Сделать более активным, приподнятым, улучшить
поднять|Возвысить, укрепить в общественном положении
поднять|Налаживая, улучшить, развить
поднять|То же, что справиться
поднять|Обратиться вновь к чему–нибудь законченному, закрытому
поднять|Произвести, совершить действие, называемое существительным
поднять|То же, что вспахать
поднять|Вырастить, воспитать
поднять|Сделать более наглядным
поднимать|Делать действие по поднятию
подымать|Делать действие по поднятию
подъем|Перемещение вверх, подъем на более высокое положение
подъемный|Относящийся к перемещению вверх или способности перемещаться вверх
подняться|Переместиться вверх или принять более высокое положение
подняться|Встать, переменить лежачее или сидячее положение на стоячее
подняться|Тронуться, двинуться
подняться|Приступить к активным действиям
подняться|Стать более высоким, повыситься в уровне, силе, напряженности
подняться|Увеличиться, повыситься
подняться|Стать более активным, приподнятым, улучшиться
подняться|Налаживаясь, улучшиться, развиться
подняться|Возвыситься, укрепиться в общественном положении
подняться|О тесте: вспучиться
подняться|Возникнуть, начаться
подниматься|Перемещаться вверх или становиться выше
подыматься|То же, что подниматься
подъемный|Относящийся к подниманию или способности подниматься
подо|То же, что под; употребляется вместо «под» перед некоторыми сочетаниями согласных
подо...|Приставка; то же, что под...; употребляется вместо «под» перед «й» и некоторыми сочетаниями согласных
подобать|Надлежать, следовать, соответствовать принятым правилам, нормам
подобие|Что–нибудь сходное с чем–нибудь другим, содержащее образ, вид чего–нибудь
подобие|В геометрии: тождество формы при различии величины
подоблачный|Находящийся очень высоко, под облаками
подобный|Содержащий, составляющий подобие кого–чего–нибудь
подобный|Такой, как этот
подобный|В геометрии: тождественный по форме, но различный по величине
подобно|Как что–нибудь, сходно с кем–чем–нибудь
подобность|Качество, состояние сходства, подобия
подобострастничать|Вести себя подобострастно, раболепно, заискивающе
подобострастничанье|Проявление подобострастного поведения
подобострастный|Раболепный, угодливо–покорный и льстивый
подобострастие|Свойство быть раболепным, угодливо–покорным
подобострастность|Качество быть подобострастным
подобранный|Опрятный, аккуратный
подобранность|Состояние опрятности, аккуратности
подобрать|Собрать, поднимая
подобрать|Оправить, приподнять, натянуть что–нибудь опустившееся, ослабшее
подобрать|Выбрать в соответствии с надобностью, потребностью
подбирать|Делать действие по собиранию, подбору
подбирание|Собирание, процесс поднятия, оправления
подбор|Выбор в соответствии с надобностью, потребностью
подборка|Группа, подобранная по какому–либо признаку
подборочный|Относящийся к подбору, собиранию
подбираться|Составляться, образовываться
подбираться|Незаметно подходить
подбираться|Оправлять себя, подтягиваться, становиться опрятным, аккуратным
подобраться|Составиться, образоваться
подобраться|Незаметно подойти
подобраться|Оправить себя, подтянуться, стать опрятным, аккуратным
