подтаять|Немного, слегка растаять  
подтаивать|Немного, слегка растаивать  
подтвердить|Признать правильность чего–нибудь, засвидетельствовать, удостоверить  
подтверждать|Признавать правильность чего–нибудь, засвидетельствовать, удостоверять  
подтверждение|Обстоятельство, подтверждающее что–нибудь  
подтверждение|Признание правильности чего–нибудь, засвидетельствование, удостоверение  
подтвердительный|Связанный с подтверждением  
подтвердиться|Оказаться правильным  
подтверждаться|Оказываться правильным  
подтекст|Внутренний, скрытый смысл текста, высказывания; содержание, которое вкладывается в текст чтецом или актером  
подтекстовый|Связанный с подтекстом  
подтереть|Вытереть насухо  
подтереть|Стереть, подчистить  
подтереть|Вытереть снизу  
подтирать|Вытирать насухо  
подтирать|Стирать, подчищать  
подтирать|Вытирать снизу  
подтереться|Вытереться снизу  
подтираться|Вытираться снизу  
подтирание|Процесс вытирания  
подтирка|То, чем подтирают, подтираются  
подтирочный|Связанный с вытиранием  
подтечь|Натечь подо что–нибудь  
подтекать|Натекать подо что–нибудь  
подтёк|Синеватая припухлость на теле от небольшого подкожного кровоизлияния после удара  
подтёк|Потёк, след от протекания  
подтёлок|Годовалый телёнок  
подтирка|То, чем подтирают, подтираются  
подтирочный|Принадлежащий к процессу вытирания  
подтолкнуть|Слегка толкнуть  
подтолкнуть|Толкнув, пододвинуть, приблизить к чему–нибудь  
подтолкнуть|Побудить к каким–нибудь действиям, поторопить  
подталкивать|Слегка толкать  
подталкивать|Толкая, пододвигать  
подталкивать|Побуждать к каким–нибудь действиям, торопить  
подтопить|Истопить немного  
подтапливать|Истапливать немного  
подтапливание|Процесс истапливания немного  
подтопка|Процесс частичного истопления  
подтопка|То же, что растопка  
подтопочный|Связанный с подтопкой  
подточить|Наточить немного  
подточить|Повредить, размывая или разъедая снизу, изнутри  
подточить|Ослабить, привести в упадок  
подтачивать|Точить немного  
подтачивать|Повреждать, размывая или разъедая снизу, изнутри  
подтачивать|Ослаблять, приводить в упадок  
подтрунить|То же, что подшутить  
подтрунивать|Подшучивать  
подтыкать|Делать то же, что подоткнуть  
подтяжки|Две перекрещивающиеся на спине эластичные тесьмы, поддерживающие брюки  
подтяжечный|Принадлежащий к подтяжкам  
подтянутый|Внешне аккуратный, внутренне дисциплинированный  
подтянутость|Состояние аккуратности, дисциплинированности  
подтянуть|Натянуть или затянуть туже  
подтянуть|Подтащить, приблизить  
подтянуть|Сосредоточивая, приблизить, подвести куда–нибудь  
подтянуть|Сделать дисциплинированнее, работоспособнее  
подтянуть|Присоединиться к поющему или поющим, негромко подпевая  
подтягивать|Натягивать или затягивать туже  
подтягивать|Подтаскивать, приближать  
подтягивать|Сосредотачивая, приближать, подводить куда–нибудь  
подтягивать|Делать дисциплинированнее, работоспособнее  
подтягивать|Присоединяться к поющему или поющим, негромко подпевая  
подтягивание|Процесс подтягивания  
подтяжка|Действие по подтягиванию  
подтянуться|Затянуть, натянуть на себе (пояс) туже, крепче  
подтянуться|Упираясь, держась, подняться  
подтянуться|Сосредоточиваясь, приблизиться, подойти куда–нибудь  
подтянуться|Стать дисциплинированнее, работоспособнее  
подтягиваться|Затягивать, натягивать на себе (пояс) туже, крепче  
подтягиваться|Упираясь, держась, подниматься  
подтягиваться|Сосредотачиваясь, приближаться, подходить куда–нибудь  
подтягиваться|Становиться дисциплинированнее, работоспособнее  
подумать|Провести некоторое время, думая о чем–нибудь  
подумать|Выражает удивление и оценку  
подумай|Выражает удивление и оценку  
подумаешь|Выражает несогласие, недоверие, осуждение, вызов  
подумывать|От времени до времени думать о чем–нибудь предстоящем  
подумывать|Намереваться сделать что–нибудь  
подустники|Волосы по углам губ, под усами  
подусть|Начать дуть  
подусть|Дуть некоторое время  
подучить|Научить немного чему–нибудь или выучить несколько лучше  
подучить|Подговорить сделать что–нибудь плохое, предосудительное  
подучивать|Учить немного  
подучивать|Подговаривать сделать что–нибудь плохое  
подучиться|Поучиться немного, чтобы лучше усвоить, больше узнать  
подучиваться|Учиться немного, чтобы лучше усвоить, больше узнать  
подушечка|Мягкая выпуклость на лице, руке  
подушечка|Конфета, сладость, по форме напоминающая маленькую подушку  
подушить|Задушить, убить многих  
подушить|Опрыскать немного духами  
подушиться|Опрыскать себя немного духами  
подушка|Зашитый со всех сторон чехол, набитый пухом, для подкладывания под голову, для сидения  
подушка|То, что является опорой чего–нибудь, принимает на себя давление  
подушечный|Связанный с подушкой  
подушный|Относящийся к счету по душам  
подфарник|Небольшой вспомогательный фонарь на автомашине  
подхалим|Льстец, угодничающий перед кем–нибудь ради своих корыстных целей  
подхалимка|Женская форма слова подхалим  
подхалимский|Льстивый, угоднический  
подхалимаж|Поведение подхалима, подхалимство  
подхалимничать|Вести себя подхалимом  
подхалимствовать|Вести себя подхалимом  
подхалимство|Поведение подхалима, лесть  
подхватить|Поддержать, поднять, держа снизу; схватить  
подхватить|Воспользоваться чем–нибудь сделанным другим, продолжить начатое другим  
подхватить|Сразу или неожиданно получить, приобрести  
подхватить|Начать петь вслед за кем–нибудь, вместе с кем–нибудь, сразу, громко  
подхватить|Поддержать, расширяя и углубляя какое–нибудь достижение  
подхватывать|Поддерживать, поднимать, держа снизу; схватывать  
подхватывать|Воспользоваться чем–нибудь сделанным другим, продолжать начатое другим  
подхватывать|Сразу или неожиданно получать, приобретать  
подхватывать|Начинать петь вслед за кем–нибудь, вместе с кем–нибудь, сразу, громко  
подхватывать|Поддерживать, расширяя и углубляя какое–нибудь достижение  
подхватывание|Процесс поддерживания, схватывания  
подхват|Действие по подхватыванию  
подхватиться|Быстро собраться и отправиться куда–нибудь  
подхватываться|Быстро собираться и отправляться куда–нибудь  
подхихикивать|Насмехаться исподтишка  
подхихикнуть|Насмехнуться исподтишка  
подхлестнуть|Хлестнув, заставить бежать быстрее  
подхлестнуть|Поторопить  
подхлестывать|Хлестать, заставляя бежать быстрее  
подхлёстывать|Потороплять  
подход|Место, где подходят к чему–нибудь  
подход|Совокупность приемов, способов в воздействии на кого–нибудь, в изучении чего–нибудь, в ведении дела  
подходный|Относящийся к подходу  
подходящий|Соответствующий чему–нибудь, приемлемый  
подхорунжий|В казачьих войсках царской армии: звание, равное подпрапорщику, а также лицо, имеющее это звание  
подцепить|Взять, зацепив снизу  
подцепить|То же, что прицепить  
подцепить|То же, что подхватить  
подцеплять|Взять, зацепляя снизу  
подцеплять|Прицеплять  
подцеплять|Подхватывать  
подцепка|Процесс подцепления  
подцепной|Относящийся к подцепке  
подчалить|Приблизиться, причаливая  
подчаливать|Приближаться, причаливая  
подчас|Иногда, в отдельные промежутки времени  
подчасок|Помощник часового в карауле  
подчеркнуть|Провести черту под чем–нибудь  
подчеркнуть|Особо выделить, обращая внимание на что–нибудь  
подчеркивать|Проводить черту под чем–нибудь  
подчеркивать|Особо выделять, обращая внимание на что–нибудь  
подчеркивание|Процесс подчеркивания  
подчинение|В грамматике: соединение нескольких словоформ или простых предложений по способу подчинительной связи, на основе формальной зависимости  
подчинение|Приведение кого–нибудь в подчиненное положение  
подчинённый|Должностное лицо, которое подчиняется лицу, старшему по должности  
подчинённая|Женская форма слова подчинённый
