позитивист|Последователь позитивизма
позитивный|Основанный на фактах, на опыте
позитивный|То же, что положительный
позитивность|Свойство быть основанным на фактах, на опыте
позитрон|Элементарная частица с положительным зарядом, с массой, равной массе электрона
позитронный|Связанный с позитронами
позиция|Положение, расположение
позиция|Полоса, участок местности или акватории, занимаемые для подготовки и ведения боя
позиция|Точка зрения, мнение в каком–нибудь вопросе
позиция|Положение тела, поза
позиция|Имея что–нибудь основанием для своих действий, взглядов; находясь в каком–нибудь положении, состоянии
позиционный|Связанный с положением, расположением или занятой полосой, участком местности
позлатить|Покрыть тонким слоем золота; сделать похожим на золото
позлабливать|Слегка, время от времени знобить
познаваемый|Такой, который может быть познан
познаваемость|Свойство быть познаваемым
познавательный|Способствующий познанию, расширению знаний
познавательность|Свойство быть познавательным
познаваться|Становиться известным, познанным
познание|Приобретение знания, постижение закономерностей объективного мира
познание|Совокупность знаний в какой–нибудь области
познать|Постигнуть, приобрести знание о ком–нибудь, чем–нибудь, узнать вполне
познать|Испытать, пережить
познавание|Постигать, приобретать знание о ком–нибудь, чем–нибудь, узнавать вполне
познавательный|Связанный с процессом познания
позолота|Тонкий слой золота на поверхности чего–нибудь
позолотный|Связанный с позолотой
позор|Бесчестье, постыдное, унизительное положение
позорный|Являющийся позором, постыдный
позорность|Свойство быть позорным, постыдным
позорить|Порочить, унижать, лишать чести
позориться|Порочить себя, унижаться, лишаться чести
опозориться|Потерять честь, унизиться, покрыться позором
позорище|Позорное явление, позор
позумент|Тесьма, обычно шитая золотом или серебром, галун
позументный|Связанный с позументом
позыв|Ощущение какой–нибудь физиологической потребности
позыв|Желание, стремление
позывать|Об ощущении позыва, о физиологической потребности
позывной|Служащий для привлечения внимания, призывающий
позывные|Специальные сигналы для опознания радиостанции, судна, воинской части
поиздержаться|Слегка издержаться
поилец|Человек, который поит и кормит, содержит семью
поилица|Женщина, которая поит и кормит, содержит семью
поилка|Специальная посуда, приспособление для поения скота и птицы
поилка|То же, что поильник
поильник|Чашка с длинным носиком и полузакрытым верхом, из которой поят лежачих больных
поимёновать|Перечислить по именам
поиметь|Поиметь в виду — принять во внимание на будущее
поимённый|Содержащий перечень имён, производимый по именам
поимка|Захват, задержание кого–нибудь после поисков, преследования, ловли
поймущественный|Взимаемый с имущества
пойнтересоваться|Проявить интерес к чему–нибудь, узнать что–нибудь
поиск|Действия ищущего, розыски кого–чего–нибудь
поиск|Разведочные работы по обнаружению чего–нибудь
поиск|Исследование, направленное на получение новых научных результатов
поиск|Способ разведки — скрытный подход к противнику и внезапное нападение на его объекты
поисковый|Связанный с поиском, разведкой или исследованием
поискать|Провести некоторое время в поисках; заняться поисками
поискать|Выражение высокой положительной или крайней отрицательной оценки кого–чего–нибудь
поисковик|Специалист, занимающийся поиском
поистине|Действительно, в самом деле
поить|Давать пить
поить|Давать пить что–нибудь алкогольное, угощать чем–нибудь алкогольным
поение|Процесс дачи питья
поильный|Предназначенный для поения, поения скота или птицы
пойло|Питательное питье для скота
пойма|Низкое место, заливаемое во время половодья
пойменный|Связанный с поймой
пойнтер|Короткошерстая крупная легавая собака
пойти|Начать идти
пойти|Начать делать что–нибудь, начать осуществляться
пойти|То же, что поехать — начать двигаться, уезжать
пойти|Получиться, выйти
пока|В течение некоторого времени, впредь до чего–нибудь; до сих пор ещё
пока|В течение того времени как
пока|Приветствие при прощании, до свидания
показ|Свидетельство, рассказ
показ|Ответ на допросе
показ|Величина чего–нибудь, показываемая измерительным прибором
показ|Данные, указывающие на необходимость или целесообразность применения какого–нибудь средства, действия
показатель|Показатель степени — цифровое или буквенное выражение, показывающее, сколько раз число или величина, возводимое в степень, умножается само на себя
показатель|Данные, по которым можно судить о развитии, ходе, состоянии чего–нибудь
показательный|Дающий возможность судить о чем–нибудь
показательный|Устроенный для всеобщего ознакомления, сведения
показательный|Образцовый, служащий примером для других
показательность|Свойство быть показательным
показать|Дать возможность увидеть кого–нибудь, что–нибудь, убедиться в чем–нибудь, научиться чему–нибудь
показать|Обратить чьё–нибудь внимание на кого–нибудь, что–нибудь
показать|Дать увидеть с целью просмотра, обозрения, ознакомления, удостоверения
показать|Обнаружить, проявить
показать|Дать показание
показать|Дать показание против кого–нибудь
показать|Об измерительных приборах — обнаружить, отметить
показать|Проучить кого–нибудь, дать понять, почувствовать кому–нибудь что–нибудь
показать|Рекомендуется, полезен
показывать|Процесс представления, демонстрации, обнаружения
показывание|Процесс показывания, предъявления
показатьcя|Появиться, стать доступным взору
показатьcя|Прийти куда–нибудь, появиться где–нибудь
показатьcя|Обратиться для осмотра
показатьcя|Понравиться, приглянуться
