покликать|Позвать голосом
поклон|Наклонение головы или верхней части туловища в знак приветствия, благодарности, покорности
поклон|Приветствие наклонением головы
поклон|Пожелание благополучия, привет
поклониться|Придя к священному месту, выразить свое благоговение
поклонник|Человек, который поклоняется какому–нибудь божеству, святыне
поклонник|Человек, который поклоняется кому–нибудь, почитатель
поклонник|Влюбленный в кого–нибудь человек
поклоняться|Веровать как в божество, в святыню
поклоняться|Относиться к кому–нибудь с почитанием, чтить
поковка|Заготовка, обработанный ковкой или горячим штампованием кусок металла
покой|Внутренние помещения, комнаты
покой|Состояние относительной неподвижности, отсутствия движения
покой|Состояние тишины, отдыха, бездеятельности, отсутствие беспокойства
покой|У растений: состояние, при котором снижается интенсивность жизнедеятельности
покой|Старинное название буквы «п»
покойник|Умерший, мертвый человек, мертвец
покойник|Тот, кто умер (как лицо, о котором вспоминают, упоминают)
покойницкая|То же, что мертвецкая
покойный|То же, что спокойный
покойный|Умерший (обычно как лицо, о котором вспоминают, упоминают)
поколдовать|Провести некоторое время, колдуя
поколебаться|Пробыть некоторое время в колебаниях
поколение|Родственники одной степени родства по отношению к общему предку
поколение|Одновременно живущие люди (особи) близкого возраста
поколение|Группа людей, близких по возрасту, объединенных общей деятельностью
поколение|Серия (приборов, механизмов, изделий) в ее отношении к предшествующим или последующим сериям
покончить|Доведя до конца какое–нибудь дело, отношения с кем–нибудь, освободиться от кого–нибудь, чего–нибудь
покончить|Уничтожить, устранить
покончить|Покончить с собой (о самоубийстве)
покоритель|Тот, кто покоряет, завоевывает чужую страну
покоритель|Тот, кто, преодолев препятствия, добивается успеха в трудном деле
покорить|Подчинить своей власти, завоевать
покорить|Внушить кому–нибудь доверие, любовь к себе, добиться признания
покориться|Подчиниться чьей–нибудь власти, воле
покориться|Примириться с чем–нибудь, отказавшись от сопротивления чему–нибудь
покорный|Послушный, уступчивый
покорный|Употребляется в выражениях, означающих вежливо–смиренное отношение к кому–нибудь
покорствовать|Покоряться, быть покорным
покос|Время косьбы
покос|Место косьбы
покража|Украденная вещь (вещи)
покрапать|О накрапывающем дожде: выпасть
покрапывать|О дожде: слегка, с перерывами крапать
покраснелый|Ставший красным
покрасть|Украсть многое
покрикивать|Слегка, иногда кричать
покритиковать|Высказать критические замечания о ком–нибудь
покров|Верхний наружный слой, покрывающий что–нибудь
покров|То же, что покровительство
покров|То же, что покрывало
покровитель|Человек, который оказывает кому–нибудь покровительство, протекцию
покровительственный|Выражающий покровительство, самоуверенно–снисходительный
покровительственный|Оказывающий покровительство, поощрение чему–нибудь, создающий благоприятные условия для какой–нибудь деятельности
покровительство|Защита, заступничество, оказываемое кому–нибудь
покровительство|Благоприятное отношение, поощрение какой–нибудь деятельности
покровительствовать|Оказывать покровительство
