по-латыни|На латинском языке  
полба|Злак, особый вид пшеницы с ломким колосом  
полбенный|Относящийся к полбе  
полбяной|Относящийся к полбе  
полбеды|Еще не беда, еще не так страшно  
полвека|Половина века  
полувековой|Относящийся к половине века  
полпуда|Половина года  
полугодовой|Относящийся к половине года  
полгоря|То же, что полбеды  
полдень|Середина дня, время высшего стояния солнца над горизонтом, соответствующее обычно 12 часам  
полдень|Юг  
полдневный|Относящийся к середине дня  
полуденный|Относящийся к середине дня  
полдник|Легкая еда между обедом и ужином  
полдник|Пища, приготовленная для такой еды  
полдничный|Относящийся к полднику  
полдничать|Есть, закусывать между обедом и ужином  
пополдничать|Есть, закусывать между обедом и ужином  
полдороги|Половина дороги, пути  
поле|Безлесная равнина, пространство  
поле|Обрабатываемая под посев земля, участок земли  
поле|Большая ровная площадка, пространство, специально оборудованное, предназначенное для чего-нибудь  
поле|Работа, исследовательская деятельность в природных, естественных условиях  
поле|Пространство, в пределах которого проявляется действие каких-нибудь сил  
поле|Область деятельности, поприще  
поле|Основной цвет, фон под узором  
поле|Чистая полоса вдоль края листа в книге, тетради, рукописи  
поле|Край шляпы, отходящий в сторону или вниз от тульи  
пальце|Безлесная равнина, пространство  
польцо|Безлесная равнина, пространство  
полюшко|Безлесная равнина, пространство  
полевой|Относящийся к полю  
полевой|Относящийся к обрабатываемой под посев земле  
полевой|Относящийся к оборудованному пространству  
полевой|Относящийся к работе, исследовательской деятельности в природных, естественных условиях  
полевой|Относящийся к пространству, в пределах которого проявляется действие каких-нибудь сил  
полевой|Относящийся к боевым действиям, походный  
полевая|Относящаяся к полю  
полевая|Относящаяся к боевым действиям, походный  
полевое|Относящееся к полю  
полевое|Относящееся к боевым действиям, походный  
полевой|Относящийся к полю, к сельскохозяйственным культурам  
полевой|Относящийся к боевым действиям, походный  
полеветый|Безлесная равнина, пространство  
полевод|Специалист по полеводству  
полеводческий|Относящийся к полеводству  
полеводство|Разведение полевых сельскохозяйственных культур, а также наука о полевых культурах  
полеводческий|Относящийся к полеводству  
полегоньку|Не спеша, осторожно, постепенно  
полежать|Пробыть некоторое время лежа или будучи положенным куда-нибудь, а также в лежке  
полезащитный|Предохраняющий обрабатываемые поля от засухи, суховея  
полезный|Приносящий пользу  
полезный|Пригодный для определенной цели, идущий в дело  
полезность|Свойство приносить пользу  
полезть|Начать лезть  
полемизировать|Вести полемику  
полемика|Спор при обсуждении, выяснении каких-нибудь проблем, вопросов  
полемический|Относящийся к полемике  
полемичный|Присущий, свойственный полемике  
полемичность|Свойство быть полемичным  
полениватьcя|Немного, слегка лениться  
поленница|Дрова, уложенные друг на друга правильными рядами  
полено|Кусок распиленного и расколотого бревна для топки  
поленце|Кусок распиленного и расколотого бревна для топки  
полешко|Кусок распиленного и расколотого бревна для топки  
полесье|Низменная лесистая местность  
полетать|Пробыть некоторое время в полете  
полететь|Начать лететь  
полечь|Лечь (о многих)  
полечь|О злаках: пригнуться стеблем к земле  
полечь|Погибнуть, быть убитым (о многих)  
полегать|О злаках: пригнуться стеблем к земле  
полегание|Процесс пригибания злаков стеблем к земле  
полевка|Грызун, похожий на мышь  
полеглый|Пригнувшийся к земле, полегший  
полеглость|Состояние, когда что-нибудь пригнулось к земле, полегло  
полеживать|Лежать  
полет|Движение, передвижение по воздуху  
полетный|Относящийся к полету  
полжизни|Половина жизни, жизненного пути  
ползать|Двигаться, ползти, но действие совершается не в одно время, не за один прием или не в одном направлении  
ползание|Действие ползать  
ползком|О передвижении: припав туловищем к поверхности, перебирая по ней конечностями  
ползти|Передвигаться по поверхности всем телом (о пресмыкающихся) или на ножках (о насекомых)  
ползти|О человеке, животном: передвигаться, припадая туловищем к поверхности и перебирая по ней конечностями  
ползти|Неспешно передвигаться, перемещаться  
ползти|Идти, передвигаться очень медленно  
ползти|Расти, прилегая к поверхности, цепляясь за нее  
ползти|О полужидкой массе: течь, вытекать откуда-нибудь  
ползти|Распространяться, передаваться  
ползти|О ткани: распадаться на нити от ветхости, лезть  
ползти|Оползать, осыпаться  
ползти|Медленно сдвигаться, съезжать  
ползун|Тот, кто ползет или ползает  
ползун|Деталь машины, скользящая взад и вперед по чему-нибудь в прямолинейном направлении  
ползунья|Человек, который ползет или ползает  
ползунковый|Относящийся к ползунку  
ползунок|Ребенок, который еще не умеет ходить, а только ползает  
ползунок|Одежда для детей такого возраста: мягкий комбинезон с зашитыми снизу штанинами, заканчивающимися в форме чулка  
ползучий|Ползающий, передвигающийся ползком  
ползучий|Стелющийся по земле; расползающийся  
ползучесть|Свойство ползучего; непрерывная деформация под действием механических нагрузок  
поли...|Первая часть сложных слов со значением: много, со многим, охватывающий многое  
поли...|Первая часть сложных слов со значением: сложный по составу, устройству  
полив|Поливание, процесс поливания  
поливка|Поливание, процесс поливания
