пополуночи|После 12 часов ночи  
попомнить|Не забыть, когда–нибудь вспомнить (обычно о плохом), припомнить  
попона|Покрывало для лошадей, собак и некоторых других домашних животных, закрывающее спину, туловище  
попонка|Покрывало для лошадей, собак и некоторых других домашних животных, закрывающее спину, туловище  
попотчевать|Угостить, принять в гостях, оказать гостеприимство  
поправеть|Сделаться крепче, здоровее  
поправимый|Такой, который можно поправить, исправить  
поправимость|Свойство быть поправимым, возможность быть исправленным  
поправить|То же, что исправить  
поправить|Указать кому–нибудь на его ошибку  
поправить|Привести в порядок, сделать лучше; восстановить в прежнем, надлежащем виде  
поправлять|Делать что–либо лучше, исправлять  
поправка|Исправление, изменение  
поправка|Дополнение, изменяющее что–нибудь, исправление  
поправление|Приведение в порядок, восстановление в прежнем виде  
поправиться|Исправить свою ошибку, оговорку  
поправиться|То же, что улучшиться  
поправиться|То же, что выздороветь  
поправиться|Пополнеть, прибавить в весе  
поправляться|Исправлять свои недостатки, оговорки  
поправляться|Улучшаться, выздоравливать  
поправляться|Пополняться, прибавлять в весе  
попрание|Нарушение, попрание закона  
попрать|В некоторых сочетаниях: грубо нарушить (например, закон)  
попирать|Грубо нарушать  
попрекать|Делать кому–нибудь попреки за что–нибудь, ставить что–нибудь кому–нибудь в укор  
попрекнуть|Сделать упрёк, укор  
попрёк|Обидный упрёк, укор  
поприще|Область деятельности  
попрощаться|То же, что проститься  
поппробовать|Пробовать, испробовать, сделать попытку  
попросить|Обратиться с просьбой  
попросту|Просто, без затей, не церемонясь  
попросту|То же, что просто  
попрошайка|То же, что нищий  
попрошайка|Человек, который назойливо выпрашивает, надоедает просьбами  
попрошайничать|То же, что нищенствовать  
попрошайничать|Надоедливо выпрашивать что–нибудь у кого–нибудь  
попрошайничество|Занятие попрошайничеством  
попрыгун|Тот, кто все время вертится, прыгает, не сидит на месте  
попрыгунья|Тот, кто все время вертится, прыгает, не сидит на месте  
попритать|Спрятать многих или многое  
попрятаться|Спрятаться (о многих)  
попса|Музыкальные произведения, исполнительство, рассчитанные на нетребовательных слушателей, малокультурную молодежь  
попса|Аудитория таких слушателей  
попугай|Птица тропических стран с ярким оперением  
попугай|О том, кто повторяет чужие слова, не имея собственного мнения  
попугайничать|Быть попугаем во втором значении  
попугайничество|Подражание, повторение чужих слов  
попугайство|Подражание, повторение чужих слов  
попугать|Слегка напугать, припугнуть  
попудрить|Посыпать пудрой  
попудриться|Посыпать себя пудрой  
популизм|Политика, апеллирующая к широким массам и обещающая им скорое и легкое решение острых социальных проблем  
популист|Политик, сторонник популизма  
популистский|Связанный с популизмом  
популяризатор|Человек, который занимается популяризацией чего–нибудь  
популяризаторский|Связанный с популяризацией  
популяризировать|Сделать понятным, доступным, популярным  
популяризировать|Сделать популярным, распространить в широких кругах  
популяризация|Деятельность по распространению чего–либо в широкой аудитории  
популярный|Общедоступный, вполне понятный по простоте, ясности изложения  
популярный|Пользующийся широкой известностью  
популярность|Состояние популярного, известного  
популяция|Длительно существующая совокупность особей одного вида  
попурри|Музыкальная пьеса, составленная из отрывков различных популярных мотивов  
попуститель|Тот, кто попустительствует  
попустительница|Тот, кто попустительствует  
попустительствовать|Не противодействовать чему–нибудь плохому, противозаконному; потворствовать  
попустительство|Потворство, потакание  
попустительский|Связанный с попустительством  
попусту|Напрасно, тщетно  
попутать|Соблазнить, совратить (о предосудительном, неудачном или непонятном действии, поступке)  
попутка|Попутная машина  
попутный|Движущийся в одном направлении с кем–нибудь  
попутный|Совершаемый одновременно с чем–нибудь, сопутствующий чему–нибудь  
попутный|Газ, выделяющийся из нефти при ее выходе на поверхность  
попутчик|Спутник в пути, в дороге  
попутчик|Человек, который временно и не до конца присоединился к какому–нибудь общественному течению  
попутчица|Спутница в пути, в дороге  
попытать|Попробовать, испробовать, попытаться  
попытаться|Сделать попытку  
попытка|Действие, поступок с целью осуществить что–нибудь, добиться чего–нибудь, но без полной уверенности в успехе  
попытка|В некоторых видах спортивных состязаний: выступление, которое может быть повторено определенное число раз  
попыхивать|Выпускать время от времени дым, пар  
попятить|Двигаться назад, пятиться  
попятиться|Двигаться назад, пятиться  
попятный|Обратный, идущий вспять  
пора|Мельчайшее отверстие на поверхности кожи или слизистой оболочки; у растений — микроскопически малый участок в оболочках между клетками  
пора|Мельчайшая скважина, промежуток между частицами вещества  
пора|Время, период, срок  
пора|То же, что время  
поработать|Провести некоторое время работая, в работе
