порожняк|Транспорт, идущий без груза  
порожняком|Без груза, без пассажиров  
порознь|Врозь, отдельно один от другого  
порой|То же, что иногда  
порою|То же, что иногда  
порок|Тяжелый предосудительный недостаток, позорящее свойство  
порок|Развратное поведение  
порок|Аномалия, отклонение от нормального вида, состояния  
поролон|Легкий и эластичный синтетический материал  
поросенок|Детеныш свиньи  
пороситься|О свинье и самках некоторых других животных: рождать детенышей  
поросль|Молодые побеги растений от корней, пней или из семян  
поросина|То же, что поросенок (устар., в пословицах: "поросина в карася переделать", "купила себе баба поросину")  
пороссятина|Мясо поросенка как пища  
поротный|О военном строе: разделившийся на роты, ротами  
пороть|Разрезать, разъединять по швам  
пороть|Говорить глупости  
пороть|Сечь, бить  
пороться|Рваться по шву  
порох|Взрывчатое соединение или смесь  
порох|О вспыльчивом или очень пылком человеке  
пороховница|В старину: сумка, сосуд для хранения пороха  
порочить|Навлекать позор на кого–нибудь, бесчестить  
порочить|Осуждать, чернить  
порочный|Подверженный пороку, безнравственный; свидетельствующий о склонности к пороку  
порочный|Заключающий в себе ошибку, неправильный  
пороша|Свежий слой выпавшего с вечера или ночью снега  
порошить|О мелком снеге: падать, сыпаться  
порошить|Посыпать мелкими частицами; сыпаться  
порошок|Измельченные частицы твердого вещества  
порскать|На псовой охоте: криком натравливать гончих на зверя  
порт|Место с защищенным водным пространством, специально оборудованное для стоянки, погрузки, разгрузки и ремонта судов, а также город у моря с так оборудованным водным пространством  
порт|Комплекс служб и сооружений, занимающихся приемом и отправкой, разгрузкой, погрузкой и ремонтом судов  
порт|То же, что аэропорт  
портал|Архитектурно оформленный вход в здание  
портал|Род рамы, отделяющей театральную сцену от зрительного зала  
портал|Конструкция в виде рамы – часть крупной машины, станка, подъемного крана  
портативный|Удобный для ношения при себе, для переноски  
портач|Никудышный, плохой работник  
портачить|Плохо, неумело или небрежно делать что–нибудь, портить  
портвейн|Сладкое крепленое виноградное вино  
портер|Сорт темного крепкого пива  
портик|Крытая галерея с колоннами, прилегающая к зданию  
портить|Приводить в негодность; делать плохим  
портить|В старых народных представлениях: ворожбой причинять вред, напускать болезни  
портиться|Становиться негодным; делаться плохим  
портки|То же, что штаны  
порточки|Маленькие штаны  
портмоне|Небольшой кошелек  
портновский|То же, что портняжный  
портной|Мастер, специалист по шитью одежды  
портниха|Женщина – мастер по шитью одежды  
портняжка|Портной, занимающийся шитьем недорогой одежды, ее переделкой  
портняжничать|Заниматься работой портного; быть портным  
портняжный|Относящийся к работе портного  
портовик|Работник порта  
портплед|Чехол с ремнями для упаковки постельных принадлежностей  
портрет|Изображение человека на картине, фотографии, в скульптуре  
портрет|Художественное изображение, образ литературного героя  
портретист|Художник, создающий портреты; мастер по портретам  
портсигар|Карманная плоская коробка для папирос, сигарет  
португальский|Относящийся к португальцам, к их языку, национальному характеру, образу жизни, культуре, а также к Португалии, ее территории, внутреннему устройству, истории  
португалец|Народ, составляющий основное население Португалии  
португалка|Женщина из народа, составляющего основное население Португалии  
портупея|В офицерском снаряжении: узкие ремни, поддерживающие пояс с оружием или служащие для прикрепления оружия к поясу  
портфель|Род жесткой прямоугольной сумки с закидывающейся крышкой и запором для ношения бумаг, книг  
портфель|О должности министра в некоторых странах  
портфель|Рукописи, принятые к напечатанию издательством, редакцией, а также вообще заказы, принятые к производству предприятием  
портшез|Род легкого переносного кресла, в котором можно сидеть полулежа
