порыжеть|см. рыжеть  
порыхлеть|см. рыхлеть  
порябеть|см. рябеть  
порядковый|Указывающий место в ряду, отвечающий на вопрос: который по счету  
порядковый|В грамматике: прилагательное, обозначающее признак как отношение к количеству, числу  
порядком|В значительной степени, очень  
порядком|Как должно, как следует  
порядок|Правильное, налаженное состояние, расположение чего–нибудь  
порядок|Последовательный ход чего–нибудь  
порядок|Правила, по которым совершается что–нибудь; существующее устройство, режим  
порядок|Военное построение  
порядок|Числовая характеристика той или иной величины  
порядок|Около, с (в значении приблизительности)  
порядок|Выражение в значении: все так, все в порядке, все хорошо  
порядочек|Уменьшительное к “порядок”  
порядочность|Честность, неспособность к низким, аморальным, антиобщественным поступкам  
порядочный|Честный, соответствующий принятым правилам поведения  
порядочный|Значительных размеров, а также вообще немалый  
посад|В Древней и средневековой Руси: торгово–промышленная часть города, обычно вне городской стены  
посад|Пригород, предместье  
посадский|Относящийся к посад, житель посада  
посадить|см. сажать  
посадка|см. сажать  
посадка|Место, на котором посажены растения, а также сами посаженные растения  
посадка|Спуск и приземление летательного аппарата  
посадка|Манера держать свое тело (сидя, в сидячем положении)  
посадочный|К посадка  
посадник|В Древней и средневековой Руси: наместник князя, а также выборный глава гражданской администрации  
посадничий|Относящийся к посадник  
посадница|Жена посадника  
посадочный|см. посадка и сажать  
посажёный отец|В народном свадебном обряде: мужчина, заменяющий родного отца  
посажёная мать|В народном свадебном обряде: женщина, заменяющая родную мать  
посапывать|Сопеть негромко, с перерывами  
посахарить|см. сахарить  
посватать|см. сватать  
посвежеть|см. свежеть  
посветить|см. светить  
посветлеть|см. светлеть  
посвист|Способ, манера свистеть, свист  
посвистать|Издать недолгий свист  
посвистеть|Издать недолгий свист  
посвистывать|Свистеть немного, негромко или с перерывами  
по–свойски|По своей воле, не считаясь ни с кем  
по–свойски|Как обычно, как принято между близкими людьми  
посвятить|Осведомить о чем–нибудь тайном, не всем известном, сделать причастным к чему–нибудь  
посвятить|Предназначить, отдать  
посвятить|Сделать, создать что–нибудь в честь кого–нибудь или в память о ком–нибудь  
посвятить|Возвести в какое–нибудь звание, сан с соблюдением определённых ритуалов  
посвящение|Посвящающая надпись или вступительная часть сочинения, обращенная к лицу, которому сочинение посвящено  
посев|см. сеять и посеять  
посев|Семена, посеянные в почву, а также занятая ими земля  
посев|То, что посеяно в питательную среду  
посевной|Относящийся к посев  
посевная|Посевная кампания  
поседелый|Ставший седым  
поседение|см. седеть  
поседеть|см. седеть  
посейчас|До сих пор, до этого времени  
поселенец|Человек, который впервые поселился где–нибудь на новом, необжитом месте  
поселенец|Человек, который сослан на поселение  
поселенка|Женский род к поселенец  
поселенческий|Относящийся к поселенец  
поселение|см. селить  
поселение|Населённый пункт, а также вообще место, где кто–нибудь живёт, обитает  
поселение|Принудительное водворение на жительство в отдалённом месте в наказание за что–нибудь  
поселить|см. селить  
поселить|Возбудить, вызвать в ком–нибудь какое–нибудь чувство  
поселиться|см. селиться  
поселять|см. поселить  
поселять|То же, что селить  
поселяться|То же, что селиться  
поселяться|О каком–нибудь чувстве: водворяться, входить в кого–что–нибудь  
посеребрить|см. серебрить  
посереди|То же, что посередине  
посередине|В середине  
посередине|В центре чего–нибудь, на равном расстоянии от нескольких предметов, лиц, между ними  
посередине|Во время протекания чего–нибудь  
посерединке|Уменьшительное к посередине  
посереть|см. сереть  
посерёдке|То же, что посередине  
посередь|То же, что посередине  
посерьёзнеть|см. серьёзнеть  
посетитель|Тот, кто посетил, посещает кого–нибудь, что–нибудь  
посетительница|Женский род к посетитель  
посетительский|Относящийся к посетитель  
посетить|Прийти к кому–нибудь, куда–нибудь, побывать у кого–нибудь, где–нибудь  
посетить|О чувствах, ощущениях: появиться, возникнуть  
посещение|К посетить  
посетовать|см. сетовать  
посечь|То же, что пересечь  
посечь|Высечь несильно, слегка  
посечь|Иссечь, изрубить (обычно многое, многих)  
посечься|см. сечься
