потечь|Начать течь
потешать|Развлекать, смешить
потешаться|То же, что тешиться
потешаться|Издеваться, тешиться
потешный|Смешной, забавный
потешный|Предназначенный для военных игр, для развлечений
потешность|Качество быть смешным, забавным
потёк|След от текшей жидкости, краски
потёмки|Темнота, отсутствие света
потёртость|Потертое, раздраженное место на коже, слизистой оболочке
потёртость|Поношенность, следы долгого употребления
потёртый|Поношенный, со следами долгого употребления
потёртый|О лице, виде: усталый, нездоровый и несвежий, помятый
потирать|Тереть, растирать время от времени
потирать|Испытывать удовлетворение, недобрую радость по поводу чего–нибудь
потихоньку|Медленно, не торопясь
потихоньку|Тихо, негромко
потихоньку|Тайно, скрытно
потливый|Обильно потеющий
потливость|Способность обильно потеть
потник|Войлок под седлом или седелкой
потниковый|Относящийся к войлоку под седлом или седелкой
потница|Болезнь кожи, проявляющаяся в появлении мелких пузырьков при усиленном выделении пота
потничка|Уменьшительная к болезни кожи с появлением мелких пузырьков при усиленном выделении пота
потный|Покрытый потом
потный|Покрытый влажным налетом, запотелый
потогонный|Вызывающий пот
потогонный|Отнимающий все силы, эксплуататорский
поток|Стремительно текущая водная масса
поток|Движущаяся масса чего–нибудь
поток|Поточное производство
поток|Часть общего состава учащихся, разделенных для проведения каких–нибудь занятий, испытаний
потолковать|Поговорить, побеседовать
потолок|Верхнее внутреннее покрытие помещения
потолок|Предельная высота подъема летательного аппарата
потолок|Предел, предельная степень чего–нибудь
потолочный|Относящийся к верхнему внутреннему покрытию помещения
потом|Спустя некоторое время, после; вслед за кем–нибудь
потом|Кроме того, в добавление к сказанному
потомок|Человек по отношению к своим предкам
потомок|Люди будущих поколений
потомственный|Переходящий по наследству от потомства к потомству
потомственный|Принадлежащий по рождению к привилегированному сословию
потомственный|Коренной, исконный
потомство|Потомки, люди последующих поколений
потомство|Молодое поколение по отношению к старшему, к родителям
потому|По той причине, вследствие чего–нибудь
потому|Поэтому, по этой причине
потому|Именно из–за того, по той причине, поэтому
потому|По той причине что, из–за того что
потому|То же, что потому что
потоп|По библейской легенде: наводнение, затопившее всю землю в наказание за грехи людей
потоп|Наводнение, разлив воды
потопный|Относящийся к потопу, затоплению
поторапливать|То же, что торопить
поторапливаться|Спешить, торопиться
поточечный|Относящийся к такой организации производства, при которой единый технологический процесс расчленен на последовательные взаимосвязанные операции
потрава|Порча, истребление посевов, трав
потравный|Относящийся к порче, истреблению посевов, трав
потрафить|То же, что угодить
потрафлять|То же, что угождать
потреба|Надобность, потребность
потребитель|Лицо или организация, потребляющие продукты чьего–нибудь производства
потребитель|Человек, который стремится жить, больше получая от других, чем отдавая им
потребительский|Относящийся к потребителю
потребительский|Узкопрактический
потреблять|Использовать для удовлетворения потребностей, расходовать
потребление|Процесс использования для удовлетворения потребностей
потребительный|Относящийся к употреблению, потреблению
потребность|Надобность, нужда в чем–нибудь, требующая удовлетворения
потребный|Необходимый, нужный
