потребный|Необходимый, нужный
потрескивать|Трещать время от времени
потрескивание|Трещание время от времени
потрёпанный|Истасканный, истрёпанный
потрёпанный|Сильно ослабленный после боя, драки; разбитый
потрёпанный|Болезненно-усталый, несвежий, потасканный
потрёпанность|Состояние потрёпанного, изношенность, усталость
потрогать|Тронуть, прикоснуться несколько раз
потроха|Внутренности животного, обычно птицы или рыбы, идущие в пищу
потрошёный|О животном: с вынутыми потрохами
потрошить|Очищать от потрохов
потрошить|Вынимать, вытряхивать содержимое (обычно о похищаемом)
выпотрошить|Очистить от потрохов или вытащить содержимое
потрудиться|Провести некоторое время трудясь, поработать
потрудиться|Затруднить себя чем–нибудь, что следовало бы сделать
потрудиться|Употребляется при официальном обращении с просьбой, приказанием
потрясающий|Необычайно сильный, крайне волнующий
потрясающий|То же, что исключительный
потрясение|Глубокое, тяжело переживаемое волнение
потрясение|Полное изменение, коренная ломка чего–нибудь
потрясти|Тряхнуть несколько раз
потрясти|Сильно тряхнуть, взмахнуть с угрозой
потрясти|Заставить дрожать, сотрясаться, колебаться
потрясти|Сильно взволновать, произвести большое впечатление
потрясать|Сильно трясти, взволновать, производить большое впечатление
потряхивать|Трясти немного, время от времени
потуги|Напряжение мышц для какого–нибудь действия
потуги|Усилия, попытки сделать что–нибудь (преимущественно неудачные)
потупить|Опустить голову, глаза в раздумье или под влиянием стыда, смущения
потуплять|Опускать голову, глаза в раздумье или под влиянием стыда, смущения
потупиться|Опустить голову, глаза
потупляться|Опускать голову, глаза
потускнелый|Ставший тусклым
потускнелость|Состояние ставшего тусклым
потусторонний|В религии: существующий за пределами земной жизни
потусторонность|Существование за пределами земной жизни
потухать|Тухнуть, гаснуть
потчевать|Угощать
потчевание|Угощение
попотчевать|Угостить
потягивать|Тянуть понемногу, слегка
потягиваться|Тянуться понемногу
потягивание|Лёгкое потягивание, тянущееся движение
потягота|Потягивание (устаревшее)
поутру|То же, что утром
поучать|Давать поучения, наставлять
поучение|Давание поучения, наставление, назидательный совет
поучительный|Содержащий что–нибудь полезное, служащий уроком, обогащающий знаниями, опытом
поучительность|Свойство быть поучительным, полезность
похабный|Непристойный, бесстыдный
похабность|Свойство быть непристойным, бесстыдным
похаживать|Ходить не торопясь, прогуливаясь
похаживать|Заходить, приходить куда–нибудь время от времени
похвала|Хороший отзыв о ком–нибудь или чем–нибудь, одобрение
похвальба|Восхваление самого себя, хвастовство
похвальный|Заслуживающий похвалы
похвальный|Содержащий похвалу
похвальность|Свойство быть заслуживающим похвалы
похваляться|Хвалиться, хвастаться
похварывать|Хворать, часто испытывать недомогание
