быстроходный|С очень быстрым ходом
быстроходность|Свойство быть быстроходным
быстрый|То же, что скорый
быстрота|Свойство быть быстрым
быт|Жизненный уклад, повседневная жизнь
быт|Учреждения, обслуживающие людей в сфере их повседневных нужд
бытовой|Относящийся к повседневной жизни, быту
бытовое|Обычное в повседневной жизни, быту
бытовое обслуживание населения|Обслуживание людей учреждениями в сфере их повседневных нужд
бытие|Жизнь, существование
бытие|Совокупность материальных условий жизни общества
бытийный|Относящийся к бытию, существованию
бытность|Во время пребывания, нахождения где–нибудь, в качестве кого–нибудь
бывать|Иметь место
бытоописание|Описание быта, повседневной жизни
бытоописатель|Писатель или художник, изображающий быт, повседневную жизнь
бытоописательский|Относящийся к изображению быта
бытоописательский|Свойственный изображающему быт
бытовизм|Описание быта, повседневности, жизни
бытовка|На предприятиях, стройках, фермах: подсобное помещение для бытового самообслуживания рабочих
бытовочный|Относящийся к бытовке
бытоописание|Описание быта, повседневной жизни
быть|Жить, существовать
быть|Наличествовать, иметься, иметь место
быть|Присутствовать, находиться где–нибудь
быть|Означать время, реальность или гипотетичность того, о чем сообщается
быть|О согласии, желании что–нибудь есть, пить
бытьё|Жизнь, образ жизни
бычачий|Относящийся к быку
бучий|То же, что бычачий
бычиться|Насупившись, хмуриться, быть угрюмым
сбычиться|Сделаться угрюмым, хмурым
бычок|Молодой бык
бычок|Небольшая морская рыба, родственная окуню
бычок|Окурок
бьеф|Часть водоема, реки или канала, примыкающая к плотине, шлюзу
бювар|Настольная папка для бумаги, конвертов
бюварный|Относящийся к бювару
бюджет|Роспись доходов и расходов государства, предприятия или отдельного лица на определенный срок
бюджет|Средства к существованию, доходы и расходы кого–нибудь
бюджетный|Относящийся к бюджету
бюллетенить|Будучи больным, иметь бюллетень
бюллетень|Краткое сообщение о событии, имеющем общественное значение
бюллетень|Название некоторых повременных изданий
бюллетень|Официальный документ — листок для голосования
бюллетень|Листок нетрудоспособности
бюргер|В Германии и некоторых других странах: городской житель
бюргерша|Женщина, относящаяся к бюргерам
бюргерский|Относящийся к бюргеру
бюро|В некоторых организациях: группа руководящего состава
бюро|Название некоторых учреждений
бюро|Конторка, стол для письменных занятий и хранения бумаг, с ящиками и обычно с крышкой
бюрократ|Крупный чиновник
бюрократ|Человек, приверженный к бюрократизму
бюрократка|Женщина-бюрократ
бюрократский|Свойственный бюрократии или бюрократа
бюрократизм|Управление, при котором деятельность органов исполнительной власти излишне осложнена и направлена на обеспечение ведомственных интересов в ущерб интересам общества, во вред ему
бюрократизм|Канцелярщина, пренебрежение к существу дела ради соблюдения формальностей
бюрократический|Относящийся к бюрократии или бюрократизму
бюрократический|Полный бюрократизма, формализма
бюрократичный|То же, что бюрократический
бюрократичность|Свойство быть бюрократичным
бюрократия|Система управления чиновнической администрации, защищающей интересы господствующей верхушки
бюрократия|Бюрократы (собирательно)
бюст|Скульптурное изображение головы и верхней части тела человека (по грудь или по пояс)
бюст|Женская грудь
бюстик|Маленький бюст
бюстовый|Относящийся к бюсту
бюстгальтер|Женский лифчик для поддерживания бюста
бюстгальтерный|Относящийся к бюстгальтеру
бязь|Хлопчатобумажная плотная ткань
бязевый|Сделанный из бязи
бяка|В детской речи: что–нибудь плохое, дурное
в|С винительным и предложным падежом при обозначении места, направления куда–нибудь или нахождения где–нибудь
в|При обозначении явлений, представляющих собой область деятельности, состояние кого–нибудь
в|При обозначении состояния, формы, вида чего–нибудь
в|При указании на внешний вид кого–чего–нибудь, на оболочку, одежду
в|Для указания количества каких–нибудь единиц, из которых что–нибудь состоит
в|При обозначении момента времени
в|При обозначении соотношений чисел
в|Ради, для, в качестве чего–нибудь
в|Для указания на семейное сходство с кем–нибудь
в|С предложным падежом при обозначении расстояния от чего–нибудь, временного отрезка
в|С предложным падежом при обозначении предметов, лиц, явлений, по отношению к которым что–нибудь происходит, наблюдается
в|С предложным падежом при обозначении субъекта — носителя состояния
в|Приставка, образующая глаголы со значением направленности действия внутрь или на поверхность чего–нибудь
в|Приставка, образующая глаголы с постфиксом –ся со значением доведения до высокой степени, до предела действия, направленного внутрь чего–нибудь
в|Приставка, образующая наречия от прилагательных
в|Приставка, образующая наречия от существительных
в|Приставка, образующая наречия от числительных
в|Приставка, образующая наречия от глаголов
ва-банк|В карточных играх: на все деньги, находящиеся в банке
вавилонский|Относящийся к Вавилону
вавилонское столпотворение|Столпотворение, путаница из-за непонимания языков
вата|Большие весы для тяжелых предметов
вата|Шест, служащий рычагом при поднятии тяжестей
вагон|Несамоходное (при оборудовании мотором — самоходное) транспортное средство, движущееся по рельсам
вагончик|Маленький вагон
вагончик|Передвижное временное жилье-прицеп в виде маленького вагона
вагонный|Относящийся к вагону
вагонетка|Небольшой открытый вагон для перевозки грузов на узкоколейных или подвесных дорогах
вагонетчик|Рабочий, ведущий вагонетку
вагонетчица|Женщина-вагонетчик
вагоновожатый|Водитель трамвая
вагоновожатая|Женщина-водитель трамвая
вагоремонтный|Относящийся к ремонту вагонов, подвижного состава
вагоностроение|Производство вагонов
вагоностроительный|Относящийся к производству вагонов
вагранка|Шахтная печь для плавки чугуна, а также для обжига руд цветных металлов
ваграночный|Относящийся к вагранке
вагранковый|Относящийся к вагранке
важенка|Взрослая самка оленя, а также стельная самка оленя
