похвальба|Восхваление самого себя, хвастовство
похвальный|Заслуживающий похвалы
похвальный|Содержащий похвалу
похвальность|Свойство, заключающееся в том, что заслуживает похвалы
похваляться|Хвалиться, хвастаться
похварывать|Хворать, часто испытывать недомогание
похвастать|Хвастаться
похерить|Зачеркнуть, уничтожить
похититель|Тот, кто похитил, похищает кого–нибудь или что–нибудь
похитительница|Женщина, которая похитила, похищает кого–нибудь или что–нибудь
похитить|Тайно присвоить, унести, увести кого–нибудь или что–нибудь
похищать|Тайно присваивать, уносить, уводить кого–нибудь или что–нибудь
похищение|Тайное присвоение, унесение, уведение кого–нибудь или чего–нибудь
похлёбка|Жидкая пища, род супа из картофеля или крупы
похлебочный|Относящийся к похлёбке
похлопотать|Хлопотать
похмелиться|Принять спиртное для облегчения состояния после опьянения
похмеляться|Принимать спиртное для облегчения состояния после опьянения
похмелье|Болезненное состояние после выпивки, пьянства, обычно бывших накануне
похмельный|Относящийся к похмелью
поход|Передвижение войск или флота с какой–нибудь целью
поход|Дальние передвижения войск в целях военных действий, а также сами такие действия
поход|Организованное путешествие или дальняя прогулка, совместное движение группы лиц с какой–нибудь определённой целью
поход|Организованное или заранее намеченное посещение чего–нибудь
походный|Относящийся к передвижению войск, организованному путешествию, передвижениям с определённой целью
походный|Пригодный для использования в пути, в походе
поход|Небольшой излишек в весе товара
походатайствовать|Ходатайствовать
походить|Быть похожим, сходным с кем–нибудь или чем–нибудь
походить|Ходить некоторое время
походка|Поступь, манера ходить
походя|Не садясь, торопливо
походя|Попутно, мимоходом
похожий|Имеющий сходство с кем–нибудь или чем–нибудь
похожесть|Сходство с кем–нибудь или чем–нибудь
похождение|Приключение, происшествие
похолодание|Наступление более холодной погоды, переход к более холодной температуре воздуха
похолодеть|Становиться более холодным, понижаться в температуре
похолоднеть|Становиться холоднее
похоронка|То же, что похоронная; официальное извещение родным о гибели военнослужащего
похоронный|Относящийся к похоронам
похороны|Обряд закапывания умершего в землю или обряд кремации
похотливый|Сладострастный, с явно выраженной похотью
похотливость|Свойство быть сладострастным, с явно выраженной похотью
похоть|Грубо–чувственное половое влечение, сладострастие
похрабреть|Становиться храбрее
похрапывать|Храпеть изредка, негромко
похрапывание|Изредка, негромко храпеть
похристосоваться|Производить обряд христосования, обмениваться пасхальным поцелуем
похудание|Появление худобы
похудеть|Становиться худым
поцапаться|Переругаться, сцепиться
поцарапать|Нанести царапины, поцарапать кого–нибудь или что–нибудь
поцеловать|Дотронуться губами до кого–нибудь или чего–нибудь, как выражение привета, любви, ласки, уважения
поцеловаться|Обменяться поцелуем
поцелуй|Прикосновение губами к кому–нибудь или чему–нибудь как выражение привета, любви, ласки, уважения
поцелуйный|Относящийся к поцелую
поцеремониться|Вести себя церемонно, церемониться
почаипить|Попить чаю
почасовик|Работник, получающий почасовую оплату
почасовой|Исчисляемый, производимый по часам
початок|Соцветие с утолщённой осью, на которой плотно сидят цветки, семена
початок|Такое соцветие у кукурузы
початочный|Относящийся к початку
почать|Начать
почать|Взять первую часть из какого–нибудь целого, полного, нетронутого
почахнуть|Зачахнуть (о многом)
почва|Верхний слой земной коры
почва|Основа, основание; опора
почвенный|Относящийся к почве
почвовед|Специалист по почвоведению
почвоведение|Наука о почве
почвоведческий|Относящийся к почвоведению
почему|По какой причине, вследствие чего
почему|Вследствие чего, по причине чего
почему|Употребляется как положительный ответ на вопрос, содержащий отрицание, или как возражение
