почто|Зачем, с какой целью
почтовик|Почтовый работник
почувствовать|Начать чувствовать, начать испытывать какое–нибудь чувство
почувствоваться|Начать чувствоваться, начать проявляться
почудиться|То же, что чудиться
почуять|Начать чуять, зачуять
почуяться|Начать чувствоваться, показаться
пошабашить|То же, что шабашить
пошаливать|Шалить немного, время от времени
пошалить|Провести некоторое время в шалостях
пошарить|Шарить некоторое время
пошатнуть|Сделать наклонным, накренить
пошатнуть|Поколебать, сделать менее устойчивым, менее крепким
пошатнуться|Стать наклонным, накрениться
пошатнуться|Поколебаться, стать менее устойчивым, менее крепким
пошатываться|Шататься слегка, время от времени
пошевеливать|Шевелить время от времени
пошевеливаться|Шевелиться время от времени
пошевеливаться|Поторапливаться, поспешать
пошевелить|То же, что шевелить
пошевельнуть|То же, что шевелить
пошевни|Широкие крестьянские сани, обшитые лубом или тесом
пошелохнуться|То же, что шелохнуться
пошиб|Свойственная кому–нибудь манера, стиль поведения
пошить|Провести некоторое время, занимаясь шитьем
пошить|Сшить, изготовить шитьем
пошлеть|Становиться пошлым, пошлее
опошлеть|Становиться пошлым, пошлее
пошлина|Денежный сбор, взимаемый государством в возмещение некоторых операций
пошлинный|Связанный с пошлиной
пошлость|Пошлое выражение, пошлый поступок
пошлый|Низкий в нравственном отношении, безвкусно–грубый
пошляк|Человек, который говорит или делает пошлости
пошлячка|Человек, который говорит или делает пошлости
пошляческий|Связанный с пошляком
пошлятина|Что–нибудь очень пошлое, пошлость
поштучный|Исчисляемый за каждую штуку, производимый отдельными предметами, штуками
поощрять|То же, что шутить
пощада|Проявление милосердия к кому–нибудь, прощение
пощадить|То же, что щадить
пощекотать|То же, что щекотать
пощелкивать|Щелкать время от времени
пощелкивание|Процесс пощелкивания
пощечина|Удар по щеке ладонью
пощечина|Оскорбление, нравственный удар
пощипать|Провести некоторое время, щипля что–нибудь
пощипать|О щиплющей боли: быть ощутимой некоторое время
пощипать|То же, что выщипать
пощипать|Поругать, побранить, раскритиковать
пощипывание|Процесс пощипывания
пощипывать|Щипать время от времени
пощипывать|О щиплющей боли: быть ощутимой некоторое время
пощупать|То же, что щупать
поэзия|Словесное художественное творчество, преимущественно стихотворное
поэзия|Стихи, произведения, написанные стихами
поэзия|Красота и прелесть чего–нибудь, возбуждающие чувство очарования
поэтический|Связанный с поэзией
поэтический|Художественный, творческий
поэтический|Эмоциональный, восторженный
поэтичный|Проникнутый поэзией, очаровательный
поэтичность|Свойство быть поэтичным
поэт|Писатель – автор стихотворных, поэтических произведений
поэт|Человек, который наделен поэтическим отношением к окружающему, к жизни
поэтесса|Женщина–поэт
поэтизировать|Представить в поэтическом виде, эмоционально возвышенно
опоэтизировать|Представить в поэтическом виде, эмоционально возвышенно
поэма|Большое стихотворное произведение на историческую, героическую или возвышенную лирическую тему
поэма|О чем–нибудь возвышенном, прекрасном
поэмный|Связанный с поэмой
поэтика|Теория литературы, учение о поэтическом творчестве
поэтика|Часть теории литературы, изучающая строение художественных произведений и используемые в них эстетические средства
поэтика|Поэтическая манера, свойственная данному поэту, направлению, эпохе
поэтому|По этой причине, вот почему
появиться|Возникнуть, начаться
появиться|Возникнуть перед глазами, показаться
появиться|Появиться на свет – то же, что родиться
появляться|Возникать, начинаться
появляться|Возникать перед глазами, показываться
появление|Процесс появления
поярок|Шерсть ягненка, полученная от первой стрижки
поярковый|Связанный с поярком
пояс|Лента, шнур, ремень или прошитая полоса ткани для завязывания, застегивания по талии
пояс|Пространство, окружающее, опоясывающее что–нибудь
пояс|То же, что талия
пояс|Выделяемая по какому–нибудь признаку часть земной поверхности или часть небесной сферы
пояс|Пространство, выделяемое внутри территории страны на основании каких–нибудь собственных признаков
пояс|Часть скелета, служащая для причленения к туловищу и опоры конечностей
поясок|Маленький пояс
поясной|Связанный с поясом
пояснение|Поясняющее замечание, объяснение
