правонарушитель|Лицо, совершившее правонарушение
правоохранительный|В некоторых сочетаниях: относящийся к охране законности, к укреплению правопорядка, борьбе с преступностью
правописание|То же, что орфография
правопорядок|Закрепленный правовыми нормами порядок общественных отношений
православие|Одно из основных направлений христианства, вероисповедание, окончательно сложившееся в Византии во втором веке как восточнохристианская церковь
православный|Относящийся к православию
православный|Последователь православия
правосознание|Совокупность взглядов на действующее право, на существующие правовые нормы
правоспособный|О гражданах и юридических лицах: способный иметь права и нести установленные государством обязанности
правосудие|Деятельность судебных органов
правосудие|Справедливое решение дела, спора
правота|Правильный образ действий и мыслей
правофланговый|Находящийся, расположенный на правом фланге
правофланговый|Человек, на которого нужно равняться в делах, кто служит примером другим
правша|Человек, который владеет правой рукой лучше, чем левой
правый|Находящийся, расположенный по стороне, которая противоположна левой
правый|В политике: консервативный, реакционный, враждебный всякому прогрессу
правый|Справедливый, содержащий правду
правый|Невиновный; не нарушивший каких–нибудь норм, закона
правый|Не сделавший ошибки, правильно думающий, говорящий, поступающий
правящий|Находящийся у власти, осуществляющий власть в государстве
прагматизм|Направление в философии, отрицающее необходимость познания объективных законов действительности и признающее истиной лишь то, что дает практически полезные результаты
прагматизм|В исторической науке: направление, ограничивающееся описанием событий в их внешней связи и последовательности без раскрытия закономерностей их развития
прагматика|В семиотике, языкознании: направление, изучающее отношения между средствами языка и теми, кто этими средствами пользуется; само такое отношение
прадед|Отец деда или бабушки
прадедушка|Отец деда или бабушки
празднество|Торжественный праздник, празднование в честь кого–чего–нибудь
праздник|День торжества, установленный в честь или в память кого–чего–нибудь
праздник|День или ряд дней, отмечаемых церковью в память религиозного события или святого
праздник|Выходной, нерабочий день
праздник|День радости и торжества по поводу чего–нибудь
праздник|День игр, развлечений
праздничный|Радостный, счастливый и веселый
праздновать|Торжественно отмечать праздник или какое–нибудь событие
празднословие|Пустые, праздные слова, разговоры
праздность|Безделье, праздное времяпрепровождение
праздношатающийся|Проводящий время в безделье, в бесполезных хождениях
праздный|Ничем не занятый, без дела, без полезных занятий
праздный|Бесцельный, пустой
практик|Специалист, который хорошо изучил свое дело на практике
практик|Практичный, деловой человек
практика|Деятельность людей, в ходе которой они, воздействуя на материальный мир и общество, преобразуют их; деятельность по применению чего–нибудь в жизни, опыт
практика|Приемы, навыки, обычные способы какой–нибудь работы
практика|Работа, занятия как основа опыта, умения в какой–нибудь области
практика|Одна из форм обучения: применение и закрепление на деле знаний, полученных теоретическим путем
практика|Работа врача или юриста с частной клиентурой или другого частнопрактикующего лица с клиентами
практикант|Человек, который проходит практику, готовясь к деятельности в какой–нибудь области
практиковать|Применять на практике
практиковать|Проходить практику
практиковать|Иметь практику
практиковаться|Применяться на практике
практиковаться|Привыкать к какому–нибудь делу, усваивать его практику, упражняться
практикум|В специальных учебных заведениях: практические занятия по какому–нибудь учебному предмету
практицизм|Деловитость, практическое отношение к чему–нибудь
практический|Относящийся к области жизненного опыта, реальных потребностей
практический|То же, что практичный
практический|По существу, на деле, фактически
практичный|Деловитый, умеющий разбираться в практических, жизненных делах
практичный|Удобный, выгодный, экономный
праотец|То же, что родоначальник
прапорщик|В Советской Армии в некоторых родах войск: воинское звание лиц, добровольно проходящих службу сверх установленного срока, а также лицо, имеющее это звание
прапорщик|В царской армии: самый младший офицерский чин, а также лицо, имеющее этот чин
прародитель|Родоначальник, праотец
прасол|Оптовый скупщик скота и разных припасов для перепродажи
прах|Мелкие сухие частицы земли, чего–нибудь высохшего, распавшегося, сгоревшего
прах|То, что тленно, ничтожно, недолговечно, суета
прах|Останки, то, что осталось от тела умершего
прачечная|Предприятие, занимающееся стиркой белья, а также помещение для стирки
прачка|Работница, занимающаяся ручной стиркой белья
праща|Древнее ручное боевое оружие для метания камней
пращур|Отдаленный предок, родоначальник
пре...|Образует существительные, прилагательные и наречия со значением высокой, высшей степени чего–нибудь
пре...|Образует глаголы со значением интенсивности или полноты действия
преамбула|Вводная, разъясняющая часть международного договора, закона или иного правового акта
пребывать|Находиться где–нибудь
пребывать|Находиться или оставаться в каком–нибудь состоянии
превалировать|Преобладать, иметь перевес
превентивный|Предупреждающий что–нибудь, предохранительный
превзойти|Оказаться выше, сильнее, значительнее в каком–нибудь отношении
превзойти|Изучить, узнать, постичь
