предосудительный|Заслуживающий порицания, осуждения
предосудительность|Свойство заслуживать порицания, осуждения
предотвратить|Отвести заранее, устранить
предотвращать|Отводить заранее, устранять
предотвращение|Процесс отвода заранее, устранения
предохранитель|Приспособление в механизме, устройстве для предохранения от чего-нибудь
предохранить|Заранее охранить, оберечь
предохранять|Охранять заранее, оберегать
предохранение|Процесс предохранения, охраны
предохранительный|Предназначенный для предохранения
предписание|Распоряжение, приказ
предписать|Предложить официально, приказать; назначить, предложить соблюдать что-нибудь
предписывать|Предлагать официально, приказывать; назначать, предлагать соблюдать что-нибудь
предплечье|Часть руки между плечевой костью и кистью
предплечевой|Относящийся к предплечью
предплюсна|Часть плюсны, примыкающая к голени
предплюсневой|Относящийся к предплюсне
предплюсневый|Относящийся к предплюсне
предполагать|Иметь намерение; иметь своим условием
предполагаться|Иметься в предположении
предположить|Сделать предположение, допустить возможность чего-нибудь; допустим, возможно, что так; выражает неуверенное утверждение, допустим
предположение|Догадка, предварительное соображение; предварительный план, намерение
предположительный|Являющийся предположением, предполагаемый
предположительность|Свойство быть предполагаемым, предположительным
предполье|Укрепленная полоса впереди главной полосы обороны или впереди укрепленного района
предпослать|Написать, сказать в качестве введения к чему-нибудь
предпосылать|Писать, говорить в качестве введения к чему-нибудь
предпоследний|Предшествующий последнему
предпосылка|Исходный пункт какого-нибудь рассуждения; предварительное условие чего-нибудь
предпочесть|Признать преимущество перед кем–нибудь или чем–нибудь, признать лучшим по сравнению с другими; счесть за лучшее, выбрать
предпочитать|Признавать преимущество перед кем–нибудь или чем–нибудь, признавать лучшим по сравнению с другими; считать за лучшее, выбирать
предпочтение|Признание преимущества перед кем–нибудь или чем–нибудь, признание лучшим по сравнению с другими
предпочтительный|Заслуживающий предпочтения, лучший из ряда других; в основном, преимущественно
предпочтительность|Свойство быть предпочтительным
предпраздничный|Непосредственно предшествующий празднику
предприимчивый|Умеющий предпринять что–нибудь в нужный момент, находчивый и практичный
предприимчивость|Свойство быть предприимчивым
предприниматель|Владелец предприятия, фирмы, а также деятель в экономической, финансовой сфере; предприимчивый и практичный человек
предпринимательница|Женщина, владелец предприятия, фирмы или предприимчивая и практичная женщина
предпринимательский|Относящийся к предпринимателям, их деятельности
предпринять|Начать делать что–нибудь, приступить к чему–нибудь
предпринимать|Начинать делать что–нибудь, приступать к чему–нибудь
предприятие|Производственное или хозяйственное учреждение; задуманное, предпринятое кем–нибудь дело
предрасположение|Заранее создавшаяся склонность, расположение к чему–нибудь, наличие условий для развития чего–нибудь
предрасположенность|Заранее создавшаяся склонность, расположение к чему–нибудь, наличие условий для развития чего–нибудь
предрасположить|Заранее расположить, настроить, склонить к чему–нибудь
предрасполагать|Заранее располагать, настраивать, склонять к чему–нибудь
предрассветный|Предшествующий рассвету
предрассудок|Ставший привычным ложный, суеверный взгляд на что–нибудь
предрассудочный|Относящийся к предрассудку
предречение|То же, что предсказание
предречь|То же, что предсказать
предрекать|Предвидеть, предсказывать что–нибудь
предрешить|Решить заранее, предопределить
предрешать|Решать заранее, предопределять
предрешение|Действие по предопределению, решению заранее
председатель|Выборный руководитель организации, глава коллегиального учреждения; выборное лицо, руководящее собранием, председательствующий
председательница|Женщина, занимающая должность председателя
председательша|Женщина, занимающая должность председателя
председательский|Относящийся к председателю, его деятельности
председательствовать|Быть председателем
предсердие|Одна из двух камер сердца, принимающая кровь по впадающим сосудам и направляющая ее в желудочек
предсердный|Относящийся к предсердию
предсказание|То, что предсказано
предсказатель|Человек, который предвидит, предсказывает что–нибудь
предсказательница|Женщина, которая предвидит, предсказывает что–нибудь
предсказать|Заранее сказать, что произойдет в будущем
предсказывать|Заранее говорить, что произойдет в будущем
предсказательный|Относящийся к предсказанию, предсказательный по характеру
предсмертный|Предшествующий смерти
представитель|Лицо, которое действует по чьему–нибудь поручению, выражает чьи–нибудь интересы, взгляды; человек, представляющий в своем лице какой–нибудь разряд, группу людей или область деятельности; типичный образец того или иного разряда существ, предметов
представительница|Женщина, являющаяся представителем
представительский|Относящийся к представителю, его деятельности
представительный|Выборный, основанный на представительстве; вполне отражающий чьи–нибудь интересы, авторитетный; внушающий почтение, важный
представительность|Свойство быть представительным
представительство|Учреждение, представляющее чьи–нибудь интересы; право, порядок выбора представителей в какие–нибудь органы
представительствовать|Быть представителем
представить|Доставить, предъявить, сообщить; познакомить с кем–нибудь; признать достойным чего–нибудь, ходатайствовать о чем–нибудь; причинить, вызвать, составить; воспроизвести в мыслях, вообразить; изобразить, показать
представиться|Назвать себя, знакомясь; притвориться, принять тот или иной вид; явиться в мыслях, воображении; возникнуть, появиться; показаться, произвести первое неясное впечатление
представление|Письменное заявление о чем–нибудь; театральное или цирковое зрелище, спектакль; воспроизведение в сознании ранее пережитых восприятий; знание, понимание чего–нибудь
представлять|Являться, быть; действовать по чьему–нибудь поручению, быть чьим–нибудь представителем
предстать|Появиться, оказаться перед кем–нибудь или чем–нибудь
представать|Появляться, оказываться перед кем–нибудь или чем–нибудь
предстоять|О том, что может или должно осуществиться: быть в неопределенном или близком будущем
предстоящий|Будущий, такой, который скоро наступит, произойдет
предтеча|Лицо или событие, подготовившее условия для деятельности других, для появления чего–нибудь другого
предубеждение|Предвзятое отрицательное мнение, отношение к кому–нибудь или чему–нибудь
предубежденный|Испытывающий предубеждение против кого–нибудь или чего–нибудь
предубежденность|Свойство испытывать предубеждение против кого–нибудь или чего–нибудь
предуведомить|Заранее уведомить
предуведомлять|Заранее уведомлять
предуведомление|Заранее сделанное уведомление
предугадать|Заранее угадать
предугадывать|Заранее угадывать
