преклонение|Глубокое уважение, восхищение  
преклонить|Склонить, опустить вниз  
преклонить|Отдать дань уважения, благодарности  
преклонить|Встать на колени перед кем–нибудь; выразить свое преклонение  
преклониться|Почувствовать глубокое уважение, восхищение  
преклонный|О возрасте: приближающийся к старости  
преклонность|О возрасте: приближающийся к старости  
прекословие|То же, что беспрекословно  
прекословить|Возражать, перечить  
прекраснодушный|Склонный видеть во всем приятное, прекрасное; сентиментально-идеалистический  
прекраснодушие|Склонность видеть во всем приятное, прекрасное; сентиментально-идеалистическое  
прекрасный|Очень красивый  
прекрасный|Очень хороший  
прекрасный|То, что воплощает красоту, соответствует ее идеалам  
прекрасный|Хорошо, безусловно так  
прекрасность|Очень красивый  
прекрасность|Очень хороший  
прекратить|Положить конец чему–нибудь, перестать делать что–нибудь  
прекратиться|Прийти к завершению, к концу, кончиться  
прекращение|Положить конец чему–нибудь, перестать делать что–нибудь  
прелат|В католической и некоторых протестантских церквах: высшее духовное лицо  
прелестный|Полный прелести  
прелесть|Очарование, обаяние, привлекательность  
прелесть|Приятные, пленящие явления, впечатления  
прелесть|О ком–нибудь или чем–нибудь прелестном, чарующем  
прелесть|Внешние черты женской красоты: женское тело  
преломить|Надломить, сломать  
преломить|Изменить направление при прохождении через какую–нибудь физическую среду  
преломиться|О луче, волне: изменить свое направление при прохождении через какую–нибудь физическую среду  
прелый|Подвергшийся прению; затхлый  
прелость|То, что преет, сопрело  
прельстительный|Прельщающий, соблазнительный  
прельстительность|Свойство быть прельщающим, соблазнительным  
прельстить|Возбудить в ком–нибудь влечение к себе, привлечь  
прельстить|Стать для кого–нибудь заманчивым, приятным  
прельщение|Возбуждение в ком–нибудь влечения, привлечение; становление заманчивым, приятным  
прельститься|Поддаться соблазну, очарованию чего–нибудь  
прельщаться|Поддаваться соблазну, очарованию чего–нибудь  
прелюбодей|Человек, который совершил прелюбодеяние  
прелюбодейка|Женщина, которая совершила прелюбодеяние  
прелюбодейский|Относящийся к прелюбодеянию  
прелюбодействовать|Совершать прелюбодеяние  
прелюбодейство|Нарушение супружеской верности; любовная связь  
прелюбодеяние|Нарушение супружеской верности; любовная связь  
прелюбодейный|Относящийся к прелюбодеянию  
прелюд|То же, что прелюдия  
прелюдия|Вступительная часть музыкального произведения  
прелюдия|Небольшое музыкальное произведение  
преминуть|Упустить, забыть  
премировать|Наградить премией  
премирование|Награждение премией  
премия|Официальное денежное или иное материальное поощрение в награду за что–нибудь  
премиальный|Относящийся к премии  
премного|Очень, в высшей степени  
премудрость|Нечто мудреное, трудно понимаемое  
премудрый|Исполненный мудрости, очень мудрый  
премьер|То же, что премьер-министр  
премьер|Артист, играющий первые роли  
премьерша|Артистка, играющая первые роли  
премьерский|Относящийся к премьеру  
премьера|Первое представление спектакля, цирковой программы, фильма  
премьерный|Относящийся к премьере  
премьер-министр|В ряде государств: глава правительства, кабинета министров  
пренебрежение|Высокомерное, лишенное уважения и внимания отношение к кому–нибудь или чему–нибудь  
пренебрежительный|Исполненный пренебрежения  
пренебрежительность|Свойство быть исполненным пренебрежения  
пренебречь|Проявить высокомерное отношение к кому–нибудь или чему–нибудь  
пренебречь|Отнестись без внимания к кому–нибудь, не посчитаться с кем–нибудь  
пренебречь|Не сделать того, что должно  
пренебрегать|Проявлять пренебрежение, не уделять внимания  
прения|Обсуждение, публичный спор по каким–нибудь вопросам  
преобладать|Занимать господствующее положение, превосходить размером, числом  
преобладание|Господствующее положение, превосходство размером, числом  
преображение|Один из двенадцати основных православных праздников в память чудесного преображения всего облика Иисуса Христа во время молитвы  
преобразить|Изменить образ, форму, вид чего–нибудь; сделать иным, лучшим  
преображать|Изменять образ, форму, вид чего–нибудь; делать иным, лучшим  
преобразиться|Получить новый образ, форму, вид; сделаться иным  
преображаться|Получать новый образ, форму, вид; делаться иным  
преобразование|Крупное изменение, перемена  
преобразователь|Тот, кто преобразует, преобразовал что–нибудь  
преобразователь|Устройство для преобразования электрической энергии  
преобразовательница|Женщина, преобразующая что–нибудь  
преобразовательный|Относящийся к преобразованию  
преобразовать|Совершенно переделать, изменить к лучшему  
преобразовать|Превратить из одного вида в другой, из одной формы в другую  
преобразовывать|Переделывать, изменять к лучшему  
преодолеть|Пересилить, справиться с чем–нибудь  
преодолевать|Пересиливать, справляться с чем–нибудь  
преодоление|Пересиливание, преодоление  
преодолимый|Такой, что можно преодолеть  
преодолимость|Свойство быть тем, что можно преодолеть  
преосвященство|В соединении с местоимениями «ваше», «его», «их» – титулование епископа  
препарат|Часть животного или растительного организма, подготовленная для лабораторного исследования или демонстрации  
препарат|Химический или фармацевтический продукт  
препаратный|Относящийся к препарату  
препаратор|Специалист, приготовляющий препараты  
препараторский|Относящийся к препаратору  
препарировать|Изготовить препарат  
препарирование|Процесс изготовления препарата  
препинание|Письменные знаки (точка, запятая, двоеточие, точка с запятой, многоточие, вопросительный знак, восклицательный знак, тире), расставляемые по определенным правилам и показывающие смысловое и интонационное членение текста  
препираться|Спорить преимущественно по пустякам  
препирательство|Спор преимущественно по пустякам  
преподаватель|Специалист – работник среднего, высшего или специального учебного заведения, преподающий какой–нибудь предмет  
преподавательница|Женщина, преподающая какой–нибудь предмет  
преподавательский|Относящийся к преподавателю
