приметать|Пришить наметкой
приметывать|Пришивать наметкой
приметание|Действие по значению “пришить наметкой”
приметка|Действие по значению “пришить наметкой”
приметочный|Связанный с действием “пришить наметкой”
приметить|Заметить, обратить внимание на кого-либо или что-либо
примечать|Заметить, обратить внимание на кого-либо или что-либо
приметливый|Наблюдательный, все замечающий
приметливость|Свойство быть наблюдательным, все замечать
приметный|То же, что заметный
приметность|Свойство быть заметным
примечание|Дополнительная заметка, объяснение к тексту
примечательный|Заслуживающий внимания, замечательный
примечательность|Свойство заслуживать внимания, быть замечательным
примечать|Следить, наблюдать за кем-либо
примешать|Добавить, смешивая
примешать|Впутать, привлечь зря, замешать
примешивать|Добавлять, смешивая
примешивать|Впутывать, привлекать зря, замешивать
примерзнуть|Прилипнуть под действием холода, мороза
примерзать|Прилипать под действием холода, мороза
примерзание|Действие по значению “прилипнуть под действием холода, мороза”
приминать|Несколько сминать, придавливая сверху
примиренчество|Поведение того, кто стремится любой ценой сгладить противоречия, избежать конфликтов
примиренческий|Связанный с желанием сгладить противоречия, избежать конфликтов
примирительный|Содействующий примирению, восстановлению согласия
примирительность|Свойство содействовать примирению
примирять|То же, что мирить
примиряться|То же, что мириться
примитив|Нечто простое, не развившееся по сравнению с позднейшим, более совершенным
примитив|Примитивный, нравственно неразвитый человек
примитивизм|Упрощенный подход к сложным вопросам
примитивизм|В изобразительном искусстве: использование форм первобытного искусства, примитивных стилей
примитивистский|Связанный с использованием форм первобытного искусства, примитивных стилей
примитивный|Простейший, несложный по выполнению, устройству
примитивный|Недостаточно глубокий, слишком упрощенный
примитивный|Нравственно неразвитый
примитивность|Свойство быть простейшим, несложным, недостаточно глубоким, нравственно неразвитым
примкнуть|Плотно придвинуть, присоединить
примкнуть|Присоединиться к кому-либо или чему-либо
примыкать|Плотно придвигаться, присоединяться
примыкать|Находиться совсем рядом
примыкать|Находиться в грамматической связи примыкания
примыкание|Действие по значению “присоединиться”
примыкание|В грамматике: подчинительная связь, при которой грамматически зависимым является слово, не имеющее формоизменения, а также деепричастие, инфинитив и форма сравнительной степени
примолкнуть|То же, что приумолкнуть
примолкать|То же, что приумолкать
приморский|Находящийся у моря
приморье|Приморская местность
примоcтить|Поместить в неудобном месте, сбоку, с краю, недостаточно надежно
примощивать|Помещать в неудобном месте, сбоку, с краю, недостаточно надежно
примоcтиться|Поместиться, пристроиться в неудобном месте, в неудобном положении, сбоку, с краю
примощиваться|Помещаться, пристраиваться в неудобном месте, в неудобном положении, сбоку, с краю
примочка|Жидкое лекарство, которым смачивают ватку, марлю для прикладывания к больному месту
примула|Небольшое декоративное и дикорастущее травянистое растение семейства первоцветных с трубчатыми цветками, первоцвет
примус|Нагревательный прибор с насосом, подающим горючее к горелке
примусный|Связанный с нагревательным прибором примусом
примчаться|Мчась, приехать, прибежать
примыслить|Прибавить, выдумав
примышлять|Прибавлять, выдумывая
примять|Несколько смять, придавив сверху
принать|Несколько сминать, придавливать сверху
принадлежать|Находиться в чьей-либо собственности, в чьем-либо обладании, быть чьим-либо достоянием
принадлежать|Быть свойственным, присущим кому-либо или чему-либо, исходящим от кого-либо или чего-либо
принадлежать|Входить в состав чего-либо, относиться к разряду кого-либо или чего-либо
принадлежность|Предмет, входящий в комплект с чем-либо, дополняющий что-либо
принадлежность|Неотъемлемая особенность, свойство кого-либо или чего-либо
принарoдный|Происходящий при народе, на глазах у всех
принарядить|Одеть нарядно, наряднее
принаряжать|Одевать нарядно, наряднее
принарядиться|Одеться нарядно, наряднее
принаряжаться|Одеваться нарядно, наряднее
приневолить|Заставить сделать что-либо
принести|Неся, доставить
принести|Увлекая за собой, неся, пригнать (течением, ветром)
принести|Дать приплод или урожай
принести|Причинить, дать в результате
принести|Произвести, осуществить что-либо, что указано существительным
принести|О чьем-либо неожиданном и нежелательном приходе, появлении
приносить|Доставлять, принося
приносить|Увлекая за собой, неся, пригонять (течением, ветром)
приносить|Давать приплод или урожай
приносить|Причинять, давать в результате
приносить|Производить, осуществлять что-либо, что указано существительным
принесение|Действие по значению “причинить, дать в результате” или “произвести, осуществить что-либо, что указано существительным”
принос|Действие по значению “неся, доставить”
приниженный|Покорно-униженный
приниженность|Состояние покорного-униженного положения
принизить|Поставить в унизительное положение
принизить|Умалить значение кого-либо или чего-либо
принижать|Ставить в унизительное положение
принижать|Умалять значение кого-либо или чего-либо
принижение|Действие по значению “поставить в унизительное положение”, “умалить значение”
приникнуть|Пригнувшись или прислонившись, плотно прижаться
приникать|Пригибаться или прислоняться, плотно прижиматься
принимать|Брать, получать что-либо
приноровить|Приурочить, приспособить
приноровлять|Приурочивать, приспосабливать
приноровиться|Приспособиться к кому-либо или чему-либо, выработать в себе навык к чему-либо
приноровливаться|Приспосабливаться к кому-либо или чему-либо, вырабатывать в себе навык к чему-либо
принос|Действие по значению “принести”
приносить|Действие по значению “принести”
приносный|Такой, который принесен (ветром, течением)
приношение|Дар, подношение
принтер|Внешнее печатающее устройство ЭВМ, служащее для представления выводимой из нее информации в буквенно-цифровом виде
принтерный|Связанный с внешним печатающим устройством ЭВМ
принудиловка|Принудительная работа, то, что делается по принуждению
принудительный|Осуществляемый по принуждению
принудительность|Свойство быть осуществляемым по принуждению
принудить|Заставить сделать что-либо
принуждать|Заставлять делать что-либо
принуждение|Действие по значению “заставить сделать что-либо”
принужденный|Неестественный, деланный
принужденность|Состояние неестественности, деланности
