приумолкнуть|Замолкнуть на время, притихнуть
приуныть|Впасть в уныние
приурочить|Отнести к какому–нибудь сроку
приусадебный|Находящийся при доме, при усадьбе
приустать|Немного устать
приутихнуть|То же, что притихнуть
приучить|Заставить привыкнуть к кому–чему–нибудь, научить чему–нибудь, выработать навык
прифрантиться|Франтовато одеться, принарядиться
прифронтовой|Находящийся вблизи фронта, примыкающий к линии фронта
прихварывать|Часто хворать, недомогать
прихвастнуть|Немного, слегка похвастаться
прихватить|Схватив, сжать
прихватить|Застать, застигнуть
прихватить|Взять с собой
прихватить|Достать, приобрести
прихватить|Прикрепить, закрепить слегка или наскоро
прихватить|Повредить морозом, а также вообще подморозить, заморозить
прихватить|О боли, болезни: внезапно поразить
прихвортнуть|Заболеть несильно, ненадолго
прихвостень|То же, что подхалим
прихлебатель|То же, что подхалим
прихлебатель|Человек, который ест чужой хлеб, дармоед
прихлебательство|Поведение прихлебателя
прихлебывать|Пить небольшими глотками
прихлопнуть|Слегка хлопнуть, ударить
прихлопнуть|Закрыть, затворить, хлопнув
прихлопнуть|Придавить или прищемить, хлопнув, ударив
прихлопнуть|Убить, умертвить
прихлопнуть|Прекратить существование чего–нибудь, закрыть
прихлынуть|Хлынув, приблизиться
приход|Поступление сумм, товаров
приход|Низшая церковно–административная единица, церковь с причтом и содержащая их церковная община
приходиться|Быть с кем–нибудь в каком–нибудь родстве
приходиться|В сочетаниях «раз на раз», «день на день», «год на год» и под., обычно с отрицанием: быть сходным, одинаковым, совпадать
приходовать|Записывать в графу прихода
приходо–расходный|С записями прихода и расхода
приходящий|Являющийся куда–нибудь на время для исполнения каких–нибудь обязанностей, для лечения
прихожанин|Верующий, принадлежащий к какому–нибудь приходу
прихожая|То же, что передняя
прихорашивать|Стараться придать кому–чему–нибудь нарядный вид
прихотливый|Капризный, с прихотями, причудами
прихотливый|Причудливый, затейливый
прихоть|Капризное желание, причуда
прихрамывать|Слегка хромать
прицел|Прибор, механизм для наведения огнестрельного или ракетного оружия на цель
прицел|Наводка на цель, прицеливание
прицелиться|Навести на цель (орудие, оружие)
прицелиться|Приготовиться сделать что–нибудь, нацелиться
прицениться|Собираясь купить, спросить о цене
прицеп|Повозка, прицепляемая к самодвижущемуся транспортному средству
прицепить|Сцепив, присоединить, прикрепить
прицепить|Приколоть или привесить, зацепив
прицепиться|Плотно зацепившись, повиснуть
прицепиться|То же, что придраться
прицепиться|То же, что пристать
прицепка|То же, что придирка
прицепщик|Работник, обслуживающий прицепное устройство, орудие
причал|Место у берега, оборудованное для стоянки и обслуживания судов, для причаливания лодок
причал|Веревка, канат для причаливания
причалить|Подведя к берегу, привязать (судно, дирижабль)
причалить|О судах, дирижаблях, космических кораблях: подойти, пристать
причастие|В грамматике: форма глагола, обладающая наряду с категориями глагола (время, залог, вид) категориями прилагательного (род, падеж)
причастие|То же, что причащение
причастие|Символизирующее кровь и тело Иисуса Христа вино в чаше с кусочками просвиры, принимаемые верующими во время церковного обряда причащения
причастить|У христиан: совершить над кем–нибудь обряд причащения
причаститься|У христиан: исполнить обряд причащения, принять причастие
причастный|Имеющий непосредственное отношение, касательство к чему–нибудь
причащение|Христианское таинство принятия причастия
причесать|Пригладить волосы, придать волосам форму стрижкой, завивкой, укладкой
причесать|Сгладить, упорядочить (изложение, стиль)
причесать|Пригладить волосы, придать волосам форму стрижкой, завивкой, укладкой
причесть|То же, что присчитать
причесть|То же, что причислить
причетник|Низший служитель в православной церкви
