причастный|то же, что причастие
причаще́ние|христианское таинство принятия причастия
причесать|пригладить волосы, придать волосам форму стрижкой, завивкой, укладкой
причесать|сгладить, упорядочить изложение или стиль
причетник|низший служитель в православной церкви
причём|то же, что притом
причёска|форма, придаваемая волосам стрижкой, расчесыванием, завивкой, укладкой
причина|явление, вызывающее, обусловливающее возникновение другого явления
причина|основание, предлог для каких–нибудь действий
причина|вследствие чего–нибудь, из–за чего–нибудь, благодаря чему–нибудь
причинал|чьи–нибудь вещи, предметы
причинить|произвести, послужить причиной чего–нибудь неприятного
причинность|взаимная связь явлений, в возникновении и развитии которых одно служит причиной, а другое — следствием, одно порождается другим, каузальность
причинный|связанный отношениями причинности, выражающий причинность
причислить|прибавить при подсчете
причислить|назначить куда–нибудь для несения службы
причислить|отнести к числу кого–чего–нибудь
причитание|старинный народный обрядовый плач
причитать|плакать, приговаривая, жалуясь на что–нибудь
причитать|исполнять обрядовый плач
причитаться|подлежать уплате за что–нибудь
причитаться|о том, кто должен кого–нибудь отблагодарить, угостить, отметить какое–нибудь приятное событие
причмокнуть|произвести короткий чмокающий звук губами
причт|служители и певчие в православной церкви
причуда|странный каприз, чудачество
причуда|неожиданное, странное явление
причудливый|вычурный, замысловатый
причудливый|капризный, с причудами
причудник|человек с причудами
причудничать|вести себя причудливо, капризничать
пришельц|пришлый, не местный человек
пришельц|инопланетянин, прилетевший на Землю
пришепётывать|слегка шепелявить
пришествие|приход, появление
прошёптывать|шептать, делая что–нибудь
пришибить|ударом повредить или убить
пришибить|привести в угнетенное состояние
пришибленный|угнетенный, подавленный
пришивной|такой, который пришит, пришивается
пришить|сшивая, прикрепить
пришить|прибить (специальное значение)
пришить|ложно приписать что–нибудь, обвинить в чем–нибудь кого–нибудь
пришить|убить
пришлый|пришедший со стороны, не местный, не здешний
пришпилить|приколоть шпилькой, булавкой
пришпорить|ударить шпорами, побуждая к движению
прищемить|сжав, придавить
прищепить|защемляя, прикрепить
прищепить|вставить черенок в расщепленный сучок для прививки растения
прищепка|зажим для прикрепления к верёвке повешенного на ней белья, платья
прищепок|то же, что черенок
прищёлкнуть|слегка щелкнуть
прищур|положение, когда глаз немного прищурен
прищурить|щурясь, прикрыть веками глаза
прищуриться|прищурить глаз или глаза
прищучить|строго спросить с кого–нибудь; наказать
приют|место, где можно спастись или отдохнуть
приют|благотворительное учреждение для одиноких стариков, сирот, для бездомных
приют|небольшая спортивная база, пункт остановки, отдыха на сложном маршруте
приютить|дать приют кому–нибудь, удобно устроить у себя
приютиться|найти приют
приютиться|удобно устроиться где–нибудь
приязненный|дружественный
