пробойник|Ручной инструмент для пробивания небольших отверстий в металле, каменной стене и тому подобное
пробольной|Смотри пробить и пробой
проболеть|Пробыть больным какое-то время
проболеть|Об ощущении боли: продлиться в течение какого-нибудь времени
проболтать|Проговориться, выболтать что–нибудь
проболтать|Провести некоторое время в болтовне, болтая о чем–нибудь несерьезном, о пустяках
проболтаться|То же, что проговориться
проболтаться|Бездельничая, провести где–нибудь какое–нибудь время
пробор|Линия, разделяющая волосы, расчесанные на две стороны
пробормотать|Сказать быстро и невнятно, произнести бормоча
проборонить|Обработать бороной вспаханное
проборонить|Провести какое–нибудь время, боронуя
пробочник|То же, что штопор
пробрать|То же, что пронять
пробрать|Сделать выговор, внушение кому–нибудь
пробрать|Очистить, удаляя, выбирая что–нибудь
пробраться|С трудом пройти, проникнуть
пробраться|Тихо, незаметно пройти, проникнуть куда–нибудь
пробрить|Выбрить полоску между волосами
пробросаться|Бросаясь, потерять, лишиться кого–нибудь или чего–нибудь
пробудиться|То же, что проснуться
пробудиться|Возникнуть, обнаружиться, проявиться
пробуждать|То же, что будить
пробыть|Прожить, провести некоторое время где–нибудь, в качестве кого–нибудь, в каком–нибудь состоянии
провал|Провалившееся место, углубление
провал|Полная неудача в каком–нибудь деле
провал|Потеря восприятия окружающего, способности понимать, ясно мыслить
проваливать|Уходи, ступай вон, убирайся
провалить|Надавив, придавив собой, обрушить внутрь, вниз
провалить|Погубить какое–нибудь дело
провалить|Отвергнуть, отвести
провалить|Поставить неудовлетворительную оценку на экзамене
провалиться|Упасть в какое–нибудь отверстие
провалиться|Обрушиться от тяжести, ветхости
провалиться|Потерпеть неудачу о каком–нибудь деле или в каком–нибудь деле
провалиться|Пропасть, исчезнуть
провалиться|Глубоко запасть, ввалиться
провалиться|Восклицание, выражающее раздражение, нежелание иметь дело с кем–нибудь или чем–нибудь: сгинь, исчезни, пропади пропадом
провансаль|Соус из желтков с растительным маслом и пряностями
провансаль|С таким соусом или с приправой из растительного масла и пряностей
прованский|Прованское масло — высший сорт оливкового масла
проварить|Долгой варкой довести до полной готовности
проварить|Провести какое–нибудь время, варя что–нибудь
провариться|Стать совсем готовым после варки
провариться|Пробыть какое–нибудь время в варке
проведать|Навестить того, с кем давно не виделся, о ком давно ничего не известно
проведать|Узнать по слухам
провезти|Везя, доставить
провезти|Везя, миновать что–нибудь
провезти|Перевезти с собой
проверить|Удостовериться в правильности чего–нибудь, обследовать с целью надзора, контроля
проверить|Подвергнуть испытанию для выяснения чего–нибудь
провернуть|Сверля, сделать отверстие
провернуть|Вертя, привести в движение
провернуть|Вертя, пропустить через что–нибудь
провернуть|Осуществить, сделать быстро
проверететь|То же, что провернуть
проверететь|Провести какое–нибудь время, вертя что–нибудь
провес|Недостаток в весе по сравнению с нужным количеством
провес|Прогнувшееся, провисшее место
провесить|Взвесить с недовесом
провесить|Проверить прямизну чего–нибудь линии, поверхности с помощью отвеса
провесить|Просушить на воздухе какой–нибудь продукт
провести|Ведя, сопровождая или направляя, помочь, дать возможность пройти
провести|Обозначить, определить линией
провести|Сделать движение чем–нибудь прижатым к поверхности
провести|Прокладывая, построить, проложить
провести|Добиться осуществления, утверждения
провести|Выполнить, осуществить, произвести какие–нибудь действия, работу
провести|Оформить с соблюдением всех необходимых правил
провести|Прожить, пробыть где–нибудь или каким–нибудь образом
провести|Обмануть, перехитрив
проветрить|Наполнить помещение свежим воздухом
проветрить|Под действием воздуха очистить, предохранить от порчи
проветриться|О помещении: наполниться свежим воздухом
проветриться|Под действием воздуха предохраняться от порчи
проветриться|Освежиться; набраться новых впечатлений, заняться чем–нибудь ради отдыха
провиант|То же, что продовольствие
провидение|Смотри провидеть
