аккомпанировать|Исполнять аккомпанемент
аккорд|Сочетание нескольких музыкальных звуков различной высоты, воспринимаемых как звуковое единство
аккорд|Заключительное, завершающее действие
аккордеон|Разновидность большой гармоники с клавиатурой фортепианного типа для правой руки
аккордеонист|Музыкант, играющий на аккордеоне
аккордный|Сдельный, выполняемый по договору
аккредитив|Именная ценная бумага, содержащая распоряжение одного кредитного учреждения другому об уплате кому–нибудь определенной суммы
аккредитив|Банковский счет, предоставляющий контрагенту возможность получить на оговоренных условиях платеж за что–нибудь вслед за исполнением поручения
аккредитовать|Назначить, направить кого–нибудь представителем при иностранном правительстве, посольстве, в международной организации, пресс-центре
аккумулятор|Устройство для накопления энергии с целью последующего ее использования
аккурат|Как раз, точно
аккуратист|Аккуратный человек
аккуратный|Исполнительный, соблюдающий во всем порядок
аккуратный|Тщательный, выполненный старательно и точно
аккуратный|Точно, регулярно
аккуратный|Осторожно, бережно
акмеизм|В русской литературе XX века: течение, провозгласившее освобождение от символизма
акмеист|Последователь акмеизма
акр|Земельная мера в некоторых странах, равная 4047 квадратным метрам
акриды|Питаться акридами и диким медом — питаться скудно, впроголодь
акробат|Цирковой гимнаст, а также вообще спортсмен, занимающийся акробатикой
акробатизм|Акробатическая ловкость в исполнении гимнастических упражнений
акробатика|Цирковая гимнастика
акробатика|Вид спорта, комплексы прыгательных, силовых, вольных и других упражнений
акрополь|В древнегреческих городах: центральная укрепленная часть, обычно на холме
акростих|Стихотворение, в котором начальные буквы строк составляют какое–нибудь слово или фразу
акселерат|Ребенок, подросток, который растет, развивается ускоренно
акселерация|Ускорение роста и полового созревания у детей и подростков по сравнению с предшествующими поколениями
аксельбанты|Принадлежность воинской формы: плетёные из золотых, серебряных или цветных нитей наплечные шнуры на мундире
аксессуар|Мелкий предмет, деталь сценической обстановки
аксессуар|Принадлежность чего–нибудь, сопутствующий чему–нибудь предмет
аксессуар|Частность, подробность, сопровождающая что–нибудь главное
аксиома|Исходное положение, принимаемое без доказательств и лежащее в основе доказательств истинности других положений
аксиома|Положение, принимаемое без доказательств
аксиоматический|Бесспорный, ясный без доказательств
аксиоматичный|Бесспорный, ясный без доказательств
акт|Единичное действие, а также отдельный поступок
акт|Действие
акт|Закон, указ государственных органов или постановление общественных организаций
акт|Документ, удостоверяющий что–нибудь
акт|Торжественное собрание по поводу выпуска, вручения наград
актёр|Артист — исполнитель ролей в театральных представлениях, в кино, на телевидении
актёр|Старается показать себя не таким, каков он есть
актёрство|Профессия актёра
актёрство|Притворство, рисовка в поведении
актёрствовать|Вести себя с наигранной красивостью, рисоваться
актив|Наиболее деятельная часть организации, коллектива
актив|Часть бухгалтерского баланса, отражающая все принадлежащие предприятию материальные ценности
актив|Имущество, а также права на него, принадлежащие физическому или юридическому лицу
активизировать|Побудить к активности, усиливая деятельность, оживить
активизироваться|Стать активнее, деятельнее, оживиться
активист|Тот, кто принадлежит к активу, деятельный член какого–нибудь коллектива
активничать|Вести себя слишком активно
активный|Деятельный, энергичный
активный|Развивающийся, усиленно действующий
активировать|Составить акт с целью удостоверить наличие или отсутствие чего–нибудь
актуальный|Важный, существенный для настоящего момента
акула|Крупная хищная морская рыба
акустик|Специалист по акустике
акустик|Работник, обслуживающий звукоулавливающие аппараты
акустика|Раздел физики, изучающий звук
акустика|Слышимость звуков музыки, речи в каком–нибудь специальном помещении
акушер|Врач — специалист по акушерству
акушерка|Специалистка по акушерству, имеющая среднее медицинское образование
акушерство|Раздел медицины, занимающийся проблемами зачатия, беременности, родов и протекания послеродового периода
акушерство|Оказание помощи при родах
акцент|Ударение в слове, а также знак ударения
акцент|Подчеркивание какого–нибудь положения, мысли
акцент|Особенности выговора, свойственные говорящему не на своем родном языке
