программист|Специалист по программированию
прогресс|Поступательное движение, улучшение в процессе развития; противоположно регресс
прогрессивка|Сдельная зарплата за сверхплановую продукцию, начисляемая по прогрессивно возрастающим расценкам
прогрессивный|Являющийся прогрессом, ведущий или стремящийся к прогрессу, передовой
прогрессивный|Постепенно усиливающийся, возрастающий
прогрессировать|Идти по пути прогресса, усовершенствования
прогрессировать|Усиливаться, увеличиваться, возрастать
прогрессировать|Совершенствоваться
прогрессия|В математике: ряд увеличивающихся или уменьшающихся чисел, в котором разность или отношение между соседними числами сохраняет постоянную величину
прогрести|Разгребая что–нибудь, сделать проход (обычно на узком пространстве)
прогрести|Провести какое–нибудь время гребя
прогреться|Нагреться целиком, согреться как следует
прогрызть|Грызя, сделать отверстие в чем–нибудь
прогул|Неявка, невыход на работу, на занятия без уважительной причины
прогуливать|Водить для прогулки
прогуливаться|Неторопливо ходить, прохаживаться
прогулка|Хождение или недалекая поездка для развлечения, отдыха на открытом воздухе
прогульщик|Человек, который прогуливает, не является на работу по неуважительной причине
прогулять|Провести какое–нибудь время гуляя
прогулять|Гуляя, лишиться чего–нибудь, пропустить что–нибудь
прогулять|Не явиться на работу, сделать прогул
прогулять|Истратить на развлечения, промотать
прогуляться|Походить, гуляя
продавец|Работник магазина, лавки, отпускающий товар покупателям
продавец|Человек, который продает что–нибудь
продавить|Сильно надавив, проломить, вогнуть
продавиться|Осесть, вогнуться под тяжестью чего–нибудь
продажа|Торговля, товарооборот
продажный|Предназначенный для продажи, продающийся
продажный|За деньги, за подкуп готовый на бесчестные поступки
продалбливать|Долбить отверстие
продать|Передать кому–нибудь в собственность за плату
продать|Предать, совершив измену из корыстных побуждений
продаться|Оказаться проданным
продаться|Изменить, бесчестно перейти на чью–нибудь сторону из корыстных побуждений
продвинутый|Находящийся впереди, более совершенный по сравнению с другими
продвинуть|Двинуть вперед или между чем–нибудь
продвинуть|Переместить, направить куда–нибудь
продвинуть|Выдвинуть, повысить
продвинуть|Предпринять что–нибудь для скорейшего завершения, исполнения чего–нибудь
продвинуться|Двигаясь, пройти вперед или между чем–нибудь
продвинуться|Двигаясь, переместиться на какое–нибудь расстояние
продвинуться|Выдвинуться, повыситься
продвинуться|Двинуться вперед, ускориться
продел|Дробленая крупа
проделать|Сделать отверстие в чем–нибудь
проделать|Выполнить, сделать
проделка|Предосудительный или шутливый поступок
продержать|Держать в течение какого–нибудь времени
продержаться|Пробыть какое–нибудь время, держась
продеть|Пропустить сквозь узкое отверстие
продешевить|Продать слишком дешево
продёрнуть|То же, что продеть
продёрнуть|Покритиковать в печати
продлёнка|Продленный день в школе: режим, при котором ученики могут оставаться под наблюдением педагогов до окончания рабочего дня родителей
продлить|Сделать более длительным, увеличить срок чего–нибудь
продмаг|Продовольственный магазин
продналог|Продовольственный налог в период нэпа: налог с крестьянских хозяйств
продовольствие|Продукты питания
продолговатый|Вытянутый в длину
