продмаг|Продовольственный магазин  
продналог|Продовольственный налог в период нэпа в 1921–1923 годах; налог с крестьянских хозяйств  
продовольствие|Продукты питания  
продолговатый|Вытянутый в длину  
продолжатель|Человек, который продолжает и развивает дело, идеи своего предшественника  
продолжать|Вести начатое дальше, не останавливаясь, не прекращая  
продолжить|Вести начатое дальше, не останавливаясь, не прекращая  
продолжить|Удлинить, продлить  
продолжаться|Длиться, развиваться, не останавливаясь, не прекращаясь  
продолжение|Часть чего–нибудь не закончившегося, не завершенного, продолжающегося  
продолжительность|Время течения, действия чего–нибудь  
продолжительный|Долго продолжающийся, длительный  
продольный|Расположенный по длине, вдоль чего–нибудь  
продохнуть|Вдохнуть, глубоко вбирая воздух  
продразверстка|Продовольственная разверстка в период военного коммунизма в 1919–1921 годах; система продовольственных заготовок  
продрать|Разорвать насквозь  
продраться|Разорваться насквозь  
продраться|Пройти, протиснуться куда–нибудь  
продрогнуть|Озябнуть сильно, до дрожи  
продувать|О потоке воздуха: дуть насквозь, обдувать со всех сторон  
продувной|Пронырливый и хитрый  
продукт|Предмет как результат человеческого труда  
продукт|Следствие, результат, порождение чего–нибудь  
продукт|Предметы питания, съестные припасы  
продуктивный|Производительный, плодотворный  
продуктивный|Относящийся к разведению скота для получения продуктов животноводства  
продуктивный|В грамматике: такой, с участием которого образуются новые слова, новые речевые единицы  
продуктообмен|Обмен одного вида продуктов, изделий на другой вид как одна из форм экономических связей в обществе  
продукция|Совокупность продуктов производства  
продуманный|Разумный, обоснованный  
продумать|То же, что обдумать  
продумать|Провести какое–нибудь время думая, обдумывая что–нибудь  
продуть|Прочистить струёй воздуха  
продуть|Обдать ветром, вызвав охлаждение  
продуть|Проиграть в азартной игре  
продуться|То же, что проиграться  
продух|То же, что продушина  
продушина|Отверстие для прохода воздуха, для проветривания  
продушить|Пропитать каким–нибудь запахом  
продушиться|Пропитаться каким–нибудь запахом  
продырявить|Проделать дыру в чем–нибудь; разорвать  
продырявиться|Стать дырявым; износиться до дыр  
продых|То же, что роздых  
продыщаться|Вздохнуть несколько раз полной грудью, свободно  
проезд|Место, где можно проехать  
проезд|Улица, соединяющая параллельные улицы  
проездить|Истратить на поездку  
проездить|Провести какое–нибудь время в езде  
проездиться|Истратившись на поездки, остаться без денег  
проездом|По пути, по дороге, едучи куда–нибудь  
проезжий|Проезжающий мимо  
проезжий|О пути: годный, предназначенный для езды  
проект|Разработанный план сооружения, какого–нибудь механизма, устройства  
проект|Предварительный текст какого–нибудь документа  
проект|Замысел, план  
проектант|То же, что проектировщик  
проектировать|Составлять проект  
проектировать|Предполагать, намечать  
проектировать|Чертить или производить проекцию  
проектировщик|Специалист по составлению проектов
