прозвать|Дать прозвище, прозвание
прозвище|Название, даваемое человеку по какой–нибудь характерной его черте, свойству
прозвонить|Прозвучать (о звоне)
прозвонить|Объявить звоном о чем–нибудь
прозвонить|Провести какое–нибудь время звоня
прозвонить|Истратить на телефонные разговоры
прозвучать|Раздаться (о звуке)
прозвучать|Обнаружиться, проявиться (в звуке, голосе)
прозектор|То же, что патологоанатом
прозекторская|Помещение в больнице, где производится вскрытие трупов
прозелень|Примесь зеленого цвета, зелени
прознать|То же, что проведать
прозодежда|Сокращенно: производственная одежда — специальная одежда для работы
прозорливец|Прозорливый человек
прозорливица|Прозорливый человек
прозорливый|Умеющий предвидеть, проницательный
прозорливость|Способность предвидеть, проницательность
прозрачно-|Первая часть сложных слов со значением прозрачный
прозрачный|Пропускающий сквозь себя свет
прозрачный|О цвете, тоне: светлый и нежный, как бы светящийся
прозрачный|Явный, легко понимаемый
прозрачный|То же, что сквозной
прозрачность|Свойство быть прозрачным
прозрение|Внезапное просветление мысли
прозреть|Стать зрячим
прозреть|Начать понимать, отдавать себе отчет в чем–нибудь
прозревать|Начинать понимать, отдавать себе отчет в чем–нибудь
прозывать|Давать прозвище, прозвание
прозываться|Иметь то или иное имя, название или прозвище
прозябать|Вести жалкую, бедную или бессодержательную, бесцельную жизнь
прозябание|Ведение жалкой, бедной, бесцельной жизни
прозябнуть|Сильно озябнуть
проиграть|Потерпеть неудачу в игре, борьбе
проиграть|Лишиться чего–нибудь в игре
проиграть|Лишиться чего–нибудь, потерпеть ущерб; упустить что–нибудь
проиграть|Сыграть, исполнить (музыкальное произведение)
проиграть|Включив аппарат, дать прозвучать (грампластинке)
проиграть|Провести какое–нибудь время в игре
проигрыватель|Аппарат для проигрывания грампластинок
проигрыш|Неудачный для кого–нибудь исход игры, состязания
проигрыш|Сумма денег, потерянная при игре
проиграться|Проиграть много денег в азартной игре
произведение|Создание, продукт труда, вообще то, что сделано, исполнено
произведение|Создание творчества, творческой мысли
произведение|Результат, итог умножения
произвести|Сделать, выполнить, устроить
произвести|Вызвать, осуществить (то, что названо последующим существительным)
произвести|Присвоить какой–нибудь чин, звание
производитель|Тот, кто производит, изготовляет что–нибудь
производитель|Самец, производящий потомство
производительность|Эффективность трудовой, производственной деятельности
производительный|Дающий очевидные результаты, плодотворный, продуктивный
производить|Изготовлять, вырабатывать (какую–нибудь продукцию)
производить|Устанавливать происхождение кого–чего–нибудь
производиться|О какой–нибудь продукции: изготовляться
производиться|Происходить, протекать, выполняться
производный|Образованный от другого, проистекший из чего–то другого
производная|В математике: величина, получающаяся в результате дифференцирования
производство|Общественный процесс создания материальных благ, охватывающий производительные силы общества и производственные отношения людей
производство|Изготовление, выработка, создание какой–нибудь продукции
производство|Отрасль деятельности, вырабатывающая какую–нибудь продукцию
производство|Работа по непосредственному изготовлению продукции
производственник|Работник, являющийся непосредственным участником производства
производственный|Относящийся к производству
произвол|Своеволие, самовластие
произвол|Необоснованность, отсутствие логичности
произвольный|Ничем не стесняемый, свободный
произвольный|Основанный на произволе
произносительный|Относящийся к произношению, к произнесению
произношение|Выговор, воспроизведение звуков речи
произнести|Сказать, выговорить, проговорить
произойти|Случиться, совершиться, осуществиться
произойти|Родиться, появиться от кого–чего–нибудь
произрастать|О растениях: иметь распространение где–нибудь, расти
произрастание|Распространение, рост растений в каком–либо месте
