вбок|В сторону  
вброд|По броду, по дну в мелком месте, не вплавь  
вбросить|Бросить внутрь чего–нибудь  
вбросить|Ввести снова в игру  
вбухать|Всыпать, влить, положить куда–нибудь в большом количестве  
ввалиться|О ком–нибудь тяжелом: упасть внутрь, вглубь  
ввалиться|О ком–нибудь грузном или шумном: войти  
ввалиться|Стать впалым, втянуться внутрь  
введение|Вступительная, начальная часть чего–нибудь  
ввести|Ведя, привести куда–нибудь, дать возможность войти  
ввести|Поместить, влить, впустить, вмешать внутрь чего–нибудь  
ввести|Включить во что–нибудь, сделать действующим  
ввести|Вовлечь во что–нибудь; причинить кому–нибудь что–нибудь  
ввести|Помочь освоиться с чем–нибудь, ознакомить  
ввести|Положить начало чему–нибудь, установить  
ввести|Оформить чьи–нибудь права на что–нибудь  
ввестись|Войти в употребление, установиться  
ввезти|Везя, доставить куда–нибудь, в пределы чего–нибудь  
ввек|То же, что вовек  
ввергнуть|Силой вовлечь, поместить куда–нибудь  
ввергнуть|Привести в отчаяние, уныние, погрузить в скорбь, тоску  
ввергнуться|С силой войти, упасть, вторгнуться  
ввергнуться|Погрузиться в отчаяние, скорбь, тоску, уныние  
вверзиться|То же, что ввалиться  
вверить|Поручить, доверить  
ввериться|Доверяя, всецело положиться на кого–нибудь  
ввернуть|Вращая, вертя, вставить  
ввернуть|Вставить слово, замечание в речь, в беседу  
вверх|По направлению от низа к верху  
вверх|Внутренней стороной наружу или нижней стороной наверх  
вверх|По направлению к истоку реки  
вверх|В полном беспорядке  
вверху|В верхней части, на высоте  
вверху|В верхней части чего–нибудь; на верхней части чего–нибудь  
ввечь|То же, что вечером  
ввиду|Из–за чего–нибудь, по причине чего–нибудь  
ввинтить|Винтя, вставить  
ввить|Вплести витьем  
ввод|Место, через которое что–нибудь входит, вставляется куда–нибудь; приемная часть машины или установки  
вводный|Являющийся введением к чему–нибудь, вступлением  
ввоз|Везя, доставить куда–нибудь, в пределы чего–нибудь  
вволю|То же, что вдоволь  
ввосьмеро|В восемь раз  
ввосьмером|В количестве восьми человек  
ввосьмых|При обозначении восьмого пункта при перечислении  
ввысь|Вверх, в высоту  
ввязать|Вплести вязанием  
ввязать|Вовлечь, заставить принять участие  
ввязаться|Вмешаться  
ввязка|Ввязанная во что–нибудь часть, вставка  
вглубь|В глубину чего–нибудь, внутрь  
вглубь|Во что–нибудь, внутрь чего–нибудь  
вглядеться|То же, что всмотреться  
вгорячах|В раздражении, в запальчивости  
вгрызться|Крепко вцепиться зубами  
вдавить|Давя, заставить углубиться, вогнать внутрь  
вдавить|Прогнуть внутрь давлением, ударом  
вдавлина|То же, что вмятина  
вдалеке|То же, что вдали  
вдали|Далеко, на далеком расстоянии  
вдаль|На далекое расстояние
