пропарить|Обработать, прогреть паром  
пропариться|Попариться как следует; выпариться  
пропариться|Провести какое–нибудь время, парясь  
пропасть|Крутой и глубокий обрыв, бездна  
пропасть|Глубокое, полностью разделяющее кого–нибудь расхождение в чем–нибудь  
пропасть|Множество, тьма, бездна  
пропасть|Исчезнуть неизвестно куда  
пропасть|Перестать быть видимым или слышимым  
пропасть|Утратиться, исчезнуть; погибнуть  
пропасть|Пройти бесполезно, безрезультатно  
пропасть|То же, что провалиться  
пропахать|Вспахивая, провести борозду, вспахать пространство между чем–нибудь  
пропахать|Вспахать каким–нибудь образом, как следует  
пропахать|Провести какое–нибудь время в пахоте  
пропахать|Проделать, изучить что–нибудь тщательно, добросовестно  
пропахнуть|Пропитаться каким–нибудь запахом  
пропашник|Сельскохозяйственное орудие для пропашки междурядий  
пропашной|Служащий для пропашки междурядий  
пропашной|Требующий для своего развития широкой посадки и междурядной обработки  
пропашной|Система земледелия, при которой площади севооборота заняты пропашными культурами  
пропащий|Такой, который не удастся вернуть, получить обратно  
пропащий|Безнадежный, ни к чему не пригодный  
пропедевтика|Предварительный круг знаний о чем–нибудь  
пропеллер|У самолетов, вертолетов, дирижаблей, аэросаней: воздушный винт  
проперчить|Сильно посыпать, пропитать перцем  
пропесочить|Разбирая чьи–нибудь недостатки, разругать, раскритиковать, сделать выговор  
пропеть|Потерять от пения (голос)  
пропеть|Провести какое–нибудь время в пении  
пропечатать|Огласить в печати какие–нибудь неодобрительные, неблагоприятные сведения о ком–чем–нибудь  
пропечатать|Провести какое–нибудь время, печатая  
пропечь|Испечь как следует, до полной готовности  
пропечь|Провести какое–нибудь время в печении чего–нибудь  
пропечься|Испечься до полной готовности  
пропилить|Распилить до какого–нибудь предела или вырезать пилой  
пропилить|Провести какое–нибудь время, пиля что–нибудь  
пропилить|Извести беспрерывными попреками, придирками  
прописать|Оформить официальной записью проживание кого–нибудь где–нибудь  
прописать|Назначить какое–нибудь лекарство или лечение больному  
прописать|Провести какое–нибудь время в писании чего–нибудь  
прописать|Наказать; устроить что–нибудь неприятное  
прописаться|Оформить официальной записью свое проживание где–нибудь  
прописка|Регистрация места жительства, а также соответствующая пометка в паспорте  
прописной|О буквах: выступающий над строкой, большой  
прописной|Всем известная, тривиальная истина  
прописной|Давно всем известная мораль  
пропись|Образцы правильного и красивого письма  
прописью|О написании чисел: словами, а не цифрами  
пропитание|Пища, прокормление  
пропитать|Смочить чем–нибудь насквозь или насытить чем–нибудь  
пропитать|То же, что прокормить  
пропитаться|Стать насыщенным, пропитанным чем–нибудь  
пропитаться|То же, что прокормиться  
пропитка|Состав, которым что–нибудь пропитывается  
пропитой|Свойственный пьянице  
пропить|Истратить на выпивку, пьянство  
пропить|Утратить, испортить в результате пьянства  
пропиться|Разориться от пьянства  
пропихать|Пропихнуть в несколько приемов  
пропихаться|То же, что протолкаться  
пропихнуть|Протолкнуть с усилием  
пропихнуться|Протолкаться, пропихаться  
проплавать|Провести какое–нибудь время плавая, в плавании  
проплакать|Провести какое–нибудь время плача  
проплесневеть|Пропитаться плесенью  
проплутать|Провести какое–нибудь время, плутая где–нибудь  
проплыть|Плывя, преодолеть какое–нибудь расстояние  
проплыть|Плывя, миновать что–нибудь  
проплыть|Пройти важной, плавной походкой  
проплыть|Пройти, пронестись, следуя одно за другим  
проповедник|Священнослужитель или служитель культа, произносящий проповедь  
проповедник|Распространитель какого–нибудь учения, идей, взглядов  
проповедовать|Произносить проповедь, проповеди во время богослужения  
проповедовать|Распространять какое–нибудь учение, идеи, взгляды  
проповедь|Речь религиозно–назидательного содержания, произносимая в храме во время богослужения  
проповедь|Распространение каких–нибудь идей, взглядов  
пропой|На выпивку, для выпивки  
пропойный|Свойственный пропойце
