проржаветь|Испортиться, прохудиться от ржавчины  
прорисовать|Провести ясные, отчетливые черты на рисунке  
прорисовать|Провести какое–нибудь время рисуя  
прорисовывать|Провести ясные, отчетливые черты на рисунке  
прорисовывание|Проведение ясных, отчетливых черт на рисунке  
прорисовка|Проведение ясных, отчетливых черт на рисунке  
прорицание|То же, что предсказывать  
прорицание|То же, что предсказание  
прорицатель|Человек, который прорицает, предсказатель  
прорицательница|Человек, который прорицает, предсказатель  
прорицать|То же, что предсказывать  
пророк|В религии: избранник Бога на земле, открывающий его волю и смысл истории — прошедшее, настоящее и будущее  
пророк|Тот, кто пророчит, предсказывает что–нибудь  
пророчица|Женщина, который пророчит, предсказывает  
пророческий|Содержащий предсказание, правильно предугадывающий будущее  
проронить|Сказать, произнести  
проронить|Пропустить, не заметить  
проранивать|Сказать, произнести  
пророчество|То же, что предсказание  
пророчествовать|Произносить или заключать в себе пророчество, предсказывать  
пророчить|Предвещать, предсказывать  
прорубить|Вырубить отверстие в чем–нибудь  
прорубить|Вырубив деревья, образовать дорогу, проход  
прорубить|То же, что прорезать  
прорубать|Вырубить отверстие в чем–нибудь  
прорубание|Действие по вырубанию отверстия в чем–нибудь  
прорубка|Действие по вырубанию отверстия в чем–нибудь  
прорубь|Отверстие, прорубленное во льду, на реке, водоеме  
прорубной|Относящийся к отверстию, прорубленному во льду  
проруха|Ошибка, оплошность  
прорыв|Место, где что–нибудь прорвано или где прорвалось, прорвались  
прорыв|Нарушение хода работы, срыв в работе  
прорыть|То же, что прокопать  
прорыть|Провести какое–нибудь время в рытье чего–нибудь  
прорывать|То же, что прокопать  
прорытие|Действие по прокапыванию  
прорывка|Действие по прокапыванию  
прорыться|Роясь, роя, проникнуть куда–нибудь  
прорыться|Провести какое–нибудь время, роясь где–нибудь, в чем–нибудь  
прорываться|Роясь, проникнуть куда–нибудь  
просадить|Проколоть, проткнуть, пробить чем–нибудь острым  
просадить|Истратить, израсходовать  
просаживать|Проколоть, проткнуть, пробить чем–нибудь острым  
просаживать|Истратить, израсходовать  
просолить|Пропитать салом, жиром  
просаливать|Пропитывать салом, жиром  
просолиться|Пропитаться салом, жиром  
просаливаться|Пропитываться салом, жиром  
прососать|Вытянуть, высосать до конца  
просасывать|Вытягивать, высасывать до конца  
просочиться|Пройти через мелкие отверстия, трещины  
просачиваться|Проходить через мелкие отверстия, трещины  
просватать|У родителей, родственников невесты: ответить кому–нибудь согласием на сватовство  
просватывать|Отвечать согласием на сватовство  
просверливать|Сверлить  
просвет|Проникающий, пробивающийся через что–нибудь луч света или светлая полоса  
просвет|Отверстие, щель в чем–нибудь, между чем–нибудь  
просвет|Ширина дверного или оконного проема  
просвет|На погонах: цветная продольная полоска  
просветный|Относящийся к лучу света, просвету, светлой полосе  
просветитель|Прогрессивный общественный деятель, распространитель передовых идей и знаний  
просветительница|Женщина, прогрессивный общественный деятель, распространительница передовых идей и знаний  
просветительский|Относящийся к просветителю, распространителю знаний  
просветительство|Деятельность просветителя, просветителей  
просветить|Передать кому–нибудь знания, распространить знания, культуру  
просвещать|Передавать кому–нибудь знания, распространять знания, культуру  
просвещение|Передача знаний, распространение знаний, культуры  
просветительный|Относящийся к просветительной работе  
просветить|Пропустить сквозь кого–что–нибудь лучи, свет для исследования внутренности  
просвечивать|Пропускать сквозь кого–что–нибудь лучи, свет для исследования внутренности  
просвечивание|Действие по пропусканию лучей, света через кого–что–нибудь  
просветиться|Получить знания, культурные навыки  
просвещаться|Получать знания, культурные навыки  
просветиться|Подвергнуться просвечиванию  
просвечиваться|Подвергаться просвечиванию  
просветление|Появление ясности в мыслях, сознании, чувствах  
просветлённый|Полный ясности, радостный, успокоенный  
просветлённость|Состояние полного ясности, радости, спокойствия  
просвечивать|Светиться сквозь что–нибудь  
просвечивать|Виднеться сквозь что–нибудь  
просвещение|Знания, образованность, их распространенность  
просвещённый|Образованный, с высоким уровнем развития, культуры  
просвещённость|Степень образованности, высокой культуры  
просвира|В православном богослужении: маленький круглый белый пресный хлебец, употребляемый в некоторых обрядах  
просвирка|Маленький круглый белый пресный хлебец в православном богослужении  
просвирный|Относящийся к просвире  
просвирня|Женщина, пекущая просвиры  
просвистеть|Исполнить свистом какую–нибудь мелодию  
просвистеть|Пролететь со свистящим звуком  
просвистеть|Провести какое–нибудь время свистя, насвистывая  
просвистывать|Исполнять свистом какую–нибудь мелодию  
просвистывать|Пролетать со свистящим звуком  
проседью|Проступающая местами седина  
просека|Полоса в лесу, лесопарке, очищенная от деревьев  
просесть|О чем–нибудь тяжелом: осесть, опуститься  
проседать|О чем–нибудь тяжелом: оседать, опускаться  
проседание|Действие по оседанию, опусканию  
просадка|Действие по оседанию, опусканию  
просадочный|Относящийся к оседанию, опусканию  
просечь|Пробить, стегая или ударяя острым  
просекать|Пробивать, стегая или ударяя острым  
просекание|Действие по пробиванию, стеганию или удару острым  
просечка|Действие по пробиванию, стеганию или удару острым  
просечный|Относящийся к просечке, просеканию
