вдавлина|То же, что вмятина
вдалбливать|Настойчиво втолковывая, убедить
вдалеке|То же, что вдали
вдалеке|На далеком расстоянии от кого–нибудь
вдали|Далеко, на далеком расстоянии
вдали|То же, что вдалеке от кого–нибудь
вдаль|На далекое расстояние
вдаться|Зайти далеко вглубь
вдаться|Предаться разговорам, рассуждениям о чем–нибудь, углубиться
вдвинуть|Двигая, поставить или вставить внутрь
вдвоё|В два раза
вдвоё|В два слоя, пласта, ряда; согнув пополам
вдвоём|В количестве двух человек
вдвойне|Вдвое больше
вдевятьеро|В девять раз
вдевятером|В количестве девяти человек
в-девятых|Употребляется при обозначении девятого пункта при перечислении
вделать|Вставить внутрь, закрепив
вдесятеро|В десять раз
вдесятером|В количестве десяти человек
в-десятых|Употребляется при обозначении десятого пункта при перечислении
вдеть|Просунуть в узкое отверстие
вдевальный|Относящийся к процессу вдевания
вдёрнуть|Продернув, вдеть, ввести внутрь чего–нибудь
вдогон|Вслед за тем, кто удалился, ушел; догоняя следом
вдогон|Вслед за кем–чем–нибудь
вдогонку|То же, что вдогон
вдобавок|В добавление к чему–нибудь
вдобавок|К тому же, плюс к тому
вдова|Женщина, у которой умер муж
вдовушка|Женщина, у которой умер муж (уменьшительно–ласкательно)
вдовий|Относящийся к вдове
вдоветь|Жить вдовой или вдовцом
вдовец|Мужчина, у которого умерла жена
вдовица|То же, что вдова
вдоволь|До полного удовлетворения, вполне достаточно
вдовство|Состояние вдовы, вдовца
вдовствовать|То же, что вдоветь
вдовый|Являющийся вдовцом или вдовой
вдосталь|То же, что вдоволь
вдох|Одно вдыхательное движение; противоположно выдоху
вдохновение|Творческий подъем, прилив творческих сил
вдохновенный|Проникнутый вдохновением, исполненный вдохновения
вдохновенность|Свойство быть вдохновенным
вдохновитель|Тот, кто вдохновляет на что–нибудь
вдохновительница|Женщина, вдохновляющая на что–нибудь
вдохновить|Пробудить вдохновение в ком–нибудь, воодушевить
вдохновить|Побудить к совершению чего–нибудь
вдохновиться|Почувствовать в себе вдохновение, воодушевиться
вдохновлять|Пробуждать вдохновение, воодушевлять
вдохновляться|Почувствовать в себе вдохновение, воодушевляться
вдохнуть|Сделать вдох
вдыхать|Производить вдох
вдыхание|Процесс вдоха
вдыхательный|Относящийся к вдоху
вдохнутый|Возбудить в ком–нибудь что–нибудь (настроение, мысль, желание)
вдребезги|На мелкие части, осколки
вдребезги|Совершенно, полностью
вдруг|Неожиданно, внезапно
вдруг|Одновременно, разом; сразу
вдруг|В начале вопросительного предложения выражает предположение нежелательного, опасение, а если, а что если
вдругорядь|Во второй раз, снова
вдрызг|Совсем, окончательно
вдуматься|Сосредоточившись, внимательно обдумать что–нибудь
вдумываться|Сосредоточенно, внимательно обдумывать что–нибудь
вдумчивый|Склонный сосредоточенно мыслить, глубоко вникающий во что–нибудь
вдумчивость|Свойство быть вдумчивым
вдоль|В продольном направлении, по длине
вдоль|В направлении длины чего–нибудь
вдоль|Во всех направлениях
вдоль|Хорошо, во всех подробностях
вдоль|В протяженном направлении, вдоль
вдоль...|Образует прилагательные со значением расположенный по длине
