пустословие|Пустые, бесплодные разговоры
пустословить|Заниматься пустословием
пустота|Отсутствие интересов, стремлений
пустота|Пустое пространство
пустотелый|Полый внутри
пустоцвет|Однополый тычиночный цветок, а также цветок, лишенный завязи, не дающий плодов
пустоцвет|Человек, не сделавший в жизни ничего полезного
пустошь|Невозделанный участок земли, заросший травами, мелким кустарником
пустынник|Отшельник
пустынница|Отшельница
пустыннический|Свойственный отшельнику, отшельнический
пустынный|Безлюдный, необитаемый
пустынный|Тихий, малолюдный
пустынь|Небольшой монастырь в труднодоступной пустынной местности
пустынь|Место, где живет пустынник
пустынский|Относящийся к пустыни как к монастырю или месту проживания пустынника
пустыня|Большое, не заселенное людьми пространство, лишенное растительности или со скудной растительностью
пустыня|Безлюдная или малонаселенная местность
пустырь|Незастроенное, запущенное место близ жилья или на месте бывшего жилья
пустышка|Полый, ничем не заполненный предмет
пустышка|Резиновая трубочка в виде соска, которую дают сосать младенцу
пустышка|О чем–нибудь пустом и легкомысленном, о чем–нибудь бессодержательном
пусть|Образует повелительное наклонение глагола и вносит в предложение значение побудительности, волеизъявления
пусть|Положим, допустим, хотя бы, хотя и
пусть|Выражает допущение, принятие, готовность согласиться
пустяки|О чем–нибудь неважном, несущественном, не имеющем значения
пустяк|Мелкое, ничтожное обстоятельство, безделица
пустяк|Незначительный, нестоящий предмет, безделица
пустяковина|То же, что пустяк
пустяковый|Представляющий собой пустяк, ничтожный
пустяковый|О человеке: легкомысленный, несерьезный, несолидный
пустячный|Представляющий собой пустяк, ничтожный
пустячный|О человеке: легкомысленный, несерьезный, несолидный
путана|То же, что проститутка
путаник|Человек, который плохо разбирается в чем–нибудь, путает себя и других
путаница|Нечто запутанное, неясное, бестолковое
путаный|Спутанный, запутанный, извилистый
путаный|Нелогичный, сбивающий с толку
путаный|Свойственный путанику, лишенный ясности в мыслях
путать|Приводить в беспорядок, нарушать обычное расположение чего–нибудь
путать|Говорить, рассказывать сбивчиво, без логической связи
путать|Сбивать с толку, мешать ходу мысли
путать|Делать кого–нибудь соучастником в чем–нибудь
путать|Ошибочно принимать одного за другого
путать|Смешивать, соединять одно с другим
путаться|Приходить в беспорядок, беспорядочно переплетаться
путаться|Развиваться сбивчиво, протекать беспорядочно
путаться|Сбиваться с толку, теряя связь в изложении
путаться|Вмешиваться во что–нибудь
путаться|Находиться, ходить где–нибудь без особой цели
путаться|Общаться с каким–нибудь подозрительным человеком, с подозрительными людьми
путаться|Находиться в любовных отношениях
путеводитель|Справочник о каком–нибудь историческом месте, музее, туристском маршруте
путеводный|Указывающий путь, направление пути
путевой|Относящийся к путешествию
путеец|Специалист по строительству, ремонту и содержанию железных дорог; работник путевого хозяйства железных дорог
путейский|Относящийся к наземным путям сообщения
путеобходчик|Рабочий, следящий за исправным состоянием железнодорожных путей
путепровод|Мост через сухопутные пути или над сухопутным путем на месте их пересечения
путеукладчик|Машина для укладки рельсового пути целыми звеньями или плетями
путешественник|Тот, кто путешествует
путешественница|Та, кто путешествует
путешествие|Поездка или передвижение пешком по каким–нибудь местам, странам
путешествовать|Совершать путешествие
путёвка|Удостоверение о направлении, командировании куда–нибудь
путёвка|Листок у водителей транспорта с указанием маршрута и выполняемого задания
путёвый|Дельный, такой, как нужно
путём|Как следует, толково
путик|Охотничья тропа, дорожка, протоптанная или прорубленная в лесу
путина|Время промыслового лова рыбы
путлять|Ходить не по прямой линии, бродить без определенной цели
путник|Тот, кто совершает далекий путь пешком, странник
путница|Та, кто совершает далекий путь пешком, странница
путный|Дельный, толковый
путч|Попытка государственного переворота, организованного группой заговорщиков, а также сам такой переворот
путчист|Участник путча
путы|Веревка или ремень, которыми стягивают ноги животного, чтобы ограничить свободу передвижения
путы|Веревка, ремни, стягивающие тело пленника, узника
путы|То, что сковывает, порабощает, лишает свободы
путь|То же, что дорога
путь|Место, линия в пространстве, где происходит передвижение, сообщение
путь|Железнодорожная колея, линия
путь|Жизнь человека, жизненный путь
путь|Польза, толк
путь|Посредством, при помощи чего–нибудь
пуф|Предмет мебели — низкое мягкое сиденье без спинки
пух|Мягкие и нежные волоски под шерстным покровом животных; у птиц — разновидность перьев, ближайшие к коже мелкие перышки, покрытые такими волосками
пух|Тонкие легкие волоски на коже
пух|Тонкие волоконца на растениях, плодах, семенах
пухлый|Округлый и мягкий, несколько вздутый
пухлый|О рукописи, книге: толстый, большой
пухлощёкий|С пухлыми щеками
пухнуть|Становиться округлым, болезненно вздутым
пухнуть|Становиться пухлым (о книге, рукописи)
пухнуть|Излишне увеличиваться
пухо...|Первая часть сложных слов со значением относящийся к пуху, относящийся к волоскам на растениях
