радиосвязь|Связь, осуществляемая по радио  
радиослушатель|Слушатель передач по радио  
радиоспорт|Технический вид спорта — установление любительской радиосвязи на коротких волнах и ультракоротких волнах, соревнования по радиопеленгации  
радиостанция|Сооружение или аппарат для передачи и приема радиосигналов  
радиостанция|Оборудованное специальной аппаратурой учреждение, осуществляющее радиопередачи  
радиотелеграф|Система связи для передачи телеграфных сообщений с помощью радиоволн  
радиотелефон|Система связи для передачи речевых сообщений посредством радиоволн  
радиотехник|Специалист по радиотехнике  
радиотехник|Специалист, занимающийся установкой и ремонтом радиоаппаратуры  
радиотехника|Наука об электромагнитных колебаниях высокой частоты и радиоволнах  
радиотехника|Техника применения радиоволн для практических нужд  
радиоточка|Радиотрансляционная точка  
радиоузел|Местная радиотрансляционная станция  
радиофицировать|Оборудовать что–нибудь установками для приема и передачи по радио  
радиоэлектроника|Общее название отдельных отраслей науки и техники, развившихся из электроники и радиотехники  
радиоэлектронный|Относящийся к использованию электронных явлений в газах или твердых телах для преобразования, передачи и излучения радиосигналов  
радировать|Сообщить по радио  
радист|Специалист по передаче и приему сообщений по радио  
радиус|В математике: отрезок прямой, соединяющий центр шара или круга с любой точкой сферы или окружности, а также длина этого отрезка  
радиус|Охват, область распространения чего–нибудь  
радовать|Возбуждать, вызывать радость в ком–нибудь, доставлять радость  
радоваться|Испытывать радость, предаваться радости  
радон|Радиоактивный химический элемент — инертный газ, продукт распада радия, используемый в научной практике и в медицине  
радостный|Полный радости, веселья, выражающий радость  
радостный|Доставляющий радость  
радость|Веселое чувство, ощущение большого душевного удовлетворения  
радость|То, что вызывает такое чувство  
радость|Радостное, счастливое событие, обстоятельство  
радуга|Разноцветная дуга на небесном своде, образующаяся вследствие преломления солнечных лучей в дождевых каплях  
радужка|То же, что радужная оболочка  
радужный|Приятный, сулящий радость, счастье  
радужный|Передняя часть сосудистой оболочки глазного яблока, расположенная впереди хрусталика и определяющая собой цвет глаз  
радушие|Сердечное, ласковое и открытое отношение к людям  
радушный|Исполненный радушия, выражающий радушие  
раёк|В старину: ящик с передвижными картинками, показ которых сопровождался различными комическими прибаутками; сам такой показ, прибаутки  
раёк|Театральная галерка  
раёшник|То же, что раёк  
раёшник|Человек, показывающий раёк и сопровождающий его пояснениями, прибаутками  
раж|Сильное возбуждение, неистовство  
раз|Обозначение однократного действия (при подсчете, указании на количество)  
раз|Случай, явление в ряду однородных действий, проявлений чего–нибудь  
раз|Один (о количестве, при подсчете)  
раз|В самый раз – вовремя, в нужный момент; в самый раз – впору, как раз по размеру  
раз|Вот тебе раз или вот те раз – выражение удивления, недоумения  
раз|Ни разу – никогда  
раз|Раз и навсегда – окончательно, решительно  
раз|уменьшительные: разок, разик – однократное действие или случай  
раз|Однажды, один раз  
раз|Однажды в недалеком прошлом  
раз|То же, что если  
раз|Раз... то (так) – то же, что поскольку... то (так)  
раз|Раз так, то – то же, что если так, то  
раз|Раз... то (так) значит – то же, что если... то (так) значит  
раз|Удар, оплеуха  
раз|Обозначает резкое и неожиданное действие  
раз|Образует глаголы со значением деления на части, усиления действия, направления множества в разные стороны, прекращения действия, обратного действия, всесторонности действия, предела действия  
раз|Образует существительные со значением разделения, расхождения  
раз|Означает высшую степень признака  
разагитировать|Агитируя, убедить в чем–нибудь  
разагитировать|Отговорить, разубедить  
разахаться|Начать ахать (от огорчения, удивления)  
разбавить|Прибавить чего–нибудь, сделать менее крепким, более жидким  
разбазарить|Распродать, раздать по мелочам, бесхозяйственно растратить  
разбаловать|Сильно избаловать  
разбаловаться|То же, что расшалиться  
разбаловаться|Слишком избаловаться  
разбегаться|Начать много, усиленно бегать где–нибудь  
разбежаться|Пробежав некоторое пространство, усилить бег, а также пробежать некоторое пространство, приготовляясь к прыжку  
разбежаться|О многих: бегом направиться в разные стороны  
разбежаться|В мыслях: утратить способность сосредоточиться на чем–нибудь  
разбежаться|То же, что разлететься  
разбинтовать|Развязать, размотать бинт на ком–нибудь  
разбирательство|Рассмотрение, разбор, обсуждение  
разбирать|Выбирая, разборчиво, подробно рассматривать  
разбирать|Критически обсуждать (чье–нибудь поведение, проступки)
