разбередить|См. бередить
разбивать|См. разбить
разбинтовать|Развязать, размотать бинт на ком–нибудь
разбирательство|Рассмотрение, разбор, обсуждение преимущественно судебного дела
разбирать|См. разобрать
разбирать|Выбирая, разборчиво, подробно рассматривать
разбирать|Критически обсуждать чье–нибудь поведение, проступки
разбираться|См. разобраться
разбираться|Знать толк в чем–нибудь
разбитной|Бойкий и развязный, а также устаревшее: расторопный
разбитый|Утративший бодрость, утомленный, обессиленный
разбить|См. бить
разбить|Разделить, расчленить
разбить|Планируя, устроить, а также вообще расположить что–нибудь
разбить|Повредить, разрушить, нарушить
разбить|Победить, нанеся поражение
разбиться|Расколоться, раздробиться на куски от удара
разбиться|Разделиться на части, группы
разбиться|Сильно ушибиться, пораниться, а также погибнуть, упав с высоты
разблаговестить|Раззвонить, растрезвонить
разбогатеть|См. богатеть
разбой|Нападение с целью ограбления, убийства
разбой|Неприкрытое насилие или обман
разбой|Пиратство
разбой|Ничем не прикрытая агрессия
разбойник|Человек, который занимается разбоем, грабитель
разбойник|Шалун, баловник, негодник
разбойничать|Заниматься разбоем, быть разбойником
разбойный|См. разбой
разбойный|Открыто дерзкий и наглый
разболеться|Сильно, надолго заболеть
разболеться|Начать сильно болеть
разболтанный|Лишенный устойчивости, твердости
разболтанный|Недисциплинированный, несобранный
разболтать|Размешать, взбалтывая
разболтать|Ослабить, сделать неустойчивым, болтающимся
разболтать|Распустить; ослабить
разболтать|Рассказать всем, повсюду что–нибудь тайное, разгласить
разболтаться|Размешаться при взбалтывании
разболтаться|Ослабнуть, расшататься
разболтаться|Стать распущенным, разболтанным
разболтаться|Начав болтать, говорить не переставая
разбомбить|Разбить, разрушить бомбежкой
разбор|См. разобрать
разбор|Выбор, отбор, разборчивое отношение к кому–чему–нибудь
разбор|Сорт, качество
разбор|К концу, когда все уходят, все кончилось
разборка|См. разобрать, разобраться
разборка|Крупная ссора с дракой между враждующими лицами, группами
разборный|См. разобрать
разборный|Такой, который можно разобрать и вновь собрать, поддающийся разборке
разборчивый|Строгий в выборе, требовательный
разборчивый|Легко понимаемый, четкий
разбранить|Сильно выбранить, а также раскритиковать
разбраниться|Побранившись, рассориться
разбрасывать|См. разбросить
разбрасываться|См. разбросаться
разбрасываться|То же, что бросаться
разбрасываться|Одновременно заниматься многим, не сосредотачиваясь на чем–нибудь основном
разбрестись|Разойтись в разные стороны
разброд|Разлад, разногласие
разбронировать|Освободить от брони, снять броню
разбросать|Бросая, разместить по поверхности равномерно или в беспорядке в разных направлениях
разбросать|Разместить в разных местах далеко друг от друга
разбросаться|То же, что раскинуться
разбросаться|Разложить вокруг себя в беспорядке свои вещи
разбрызгать|Рассеять мелкими брызгами
разбрызгать|Брызгая, израсходовать
разбрызгаться|Расплескаться брызгами
разбрызгиваться|Расплескиваться брызгами
разбрюзжаться|Начав брюзжать, продолжать не переставая
разбудить|См. будить
разбухнуть|Раздаться, расшириться от влаги
разбухнуть|Сильно увеличиться, разрастись
разбушеваться|Начать бушевать
разбуяниться|Начать буянить, прийти в буйство
разважничаться|Начать вести себя чересчур важно, заважничать
развал|См. развалить, развалиться
развал|Полное расстройство, беспорядок, разруха, упадок
развал|Открытая торговля старыми вещами, книгами, обычно разложенными прямо на земле
развалец|О походке: качающийся и неторопливый
развалина|Остатки разрушенного строения, поселения
развалина|О дряхлом или разбитом болезнью человеке
развалить|Разрушая, повалить или раскидать
развалить|Привести в упадок
развалиться|Повалившись, рассыпаться, распасться
развалиться|Прийти в упадок
развалиться|Сесть, небрежно раскинув руки и ноги
