разворовать|Расхитить, украсть многое
разворот|Две смежные страницы раскрытой книги, журнала, тетради
разворотить|Разбросать, разломать, разрушить (обычно что-нибудь сложенное, построенное)
разворошить|Вороша, разбросать, раскинуть
разворчаться|Начав ворчать, продолжать не переставая
разврат|Половая распущенность
разврат|Испорченность нравов, низкий моральный уровень поведения, отношений
развратитель|Тот, кто развратил, развращает кого–нибудь
развратительница|Та, кто развратил, развращает кого–нибудь
развратить|Приучить к разврату
развратить|Испортить, довести до полного разложения
развратиться|Приучиться к разврату
развратиться|Испортиться, дойти до полного морального разложения
развратник|Человек, предающийся разврату
развратница|Женщина, предающаяся разврату
развратнический|Свойственный развратнику или развратнице
развратничать|Быть развратником, предаваться разврату
развратный|Занимающийся развратом, проникнутый развратом
развратность|Качество быть развратным
развращённость|Развратный образ мыслей, поведения
развьючить|Освободить от вьюков
развязать|Разъединить (концы связанного), освободить от завязки
развязать|Начать, дав возможность существовать, длиться
развязать|Дать возможность свободно действовать, освободить от каких–нибудь обязательств
развязать|О потоках транспорта: направить в стороны, расчленить, распределить
развязать язык|Начать говорить свободнее, охотнее, а также заставить говорить
развязаться|О концах связанного: разъединиться
развязаться|Освободиться от того, кто или что лишает свободы действия, связывает
развязка|Конец, завершение (обычно решительное, действенное) каких–нибудь сложных событий, ситуаций; заключительная часть драматического или иного литературного произведения
развязка|Дорожное сооружение разветвление для распределения потоков транспорта
развязный|Излишне свободный и непринужденный в обращении с другими
развязность|Качество быть развязным
разгадать|Найти правильный ответ на загадку, загаданное
разгадать|Понять смысл, уяснить характер кого–чего–нибудь
разгадка|Решение загадки
разгадочный|Относящийся к разгадыванию
разгадчик|Человек, который разгадывает что–нибудь, умеет находить правильный ответ на загаданное
разгар|О горении, свечении: полная сила
разгар|Наиболее полное проявление, наивысшая точка в развитии чего–нибудь
разгиб|Место, где что–нибудь разогнуто, разогнулось
разгильдяй|Нерадивый, небрежный в делах, разболтанный человек
разгильдяйка|Женщина, нерадивый, небрежный в делах, разболтанный человек
разгильдяйский|Свойственный разгильдяю
разгильдяйничать|Быть, вести себя разгильдяем
разгильдяйство|Поведение разгильдяя
разглагольствовать|Говорить многословно и бессодержательно
разглагольствование|Процесс говорения многословно и бессодержательно
разгладить|Расправить, сделать гладким, уничтожить складки, неровности на чем–нибудь
разгладиться|О складках, неровностях на чем–нибудь: расправиться, уничтожиться
разгладиться|Стать гладким (освободившись от складок, неровностей)
разгласить|Рассказав, оповестив, сделать известным всем (что–нибудь тайное)
разгласить|Всем, повсюду объявить, рассказать о чем–нибудь, распространить что–нибудь
разглашение|Действие по разглашению
разглядеть|То же, что рассмотреть
разглядеть|То же, что распознать
разгневанный|Находящийся в гневе, выражающий гнев
разгневанность|Состояние гнева
разгневать|Привести в состояние сильного гнева
разгневаться|Прийти в состояние сильного гнева
разговаривать|Вести разговор, беседовать
разговеться|У христиан: поесть скоромного впервые после поста
разговенье|Первый прием скоромной пищи после поста у христиан
разговор|Словесный обмен сведениями, мнениями, беседа
разговор|Толки, пересуды
разговор|Обсуждение чего–нибудь
разговорчик|Праздный, пустой или вредный разговор
разговоры|Поперечные нашивки–застежки на груди красноармейской шинели в годы гражданской войны
разгон|Выговор, взбучка, разнос
