вековой|Многолетний, давний, существующий века
вековуха|То же, что старая дева
вексель|Ценная бумага, долговой документ – обязательство уплатить кому–нибудь определенную сумму денег в определенный срок
вектор|Изображаемая отрезком прямой математическая величина, характеризующаяся численным значением и направлением
векша|То же, что белка
веленевая бумага|Плотная глянцевитая белая бумага
веление|Приказание, волеизъявление
велеречивый|Высокопарный, напыщенный, красноречивый
велеть|Твердо изъявить свою волю, потребовать
велик|То же, что велосипед
великан|То же, что гигант
великий|Превосходящий общий уровень, обычную меру, значение, выдающийся
великий|Очень большой
великий|Большего размера, чем нужно, просторный
великовозрастный|Об учащемся: вышедший за пределы возрастной нормы
великовозрастный|Достигший совершеннолетия, взрослый
великодержавный|Свойственный крупной державе, проникнутый духом национального превосходства над другими народами и государствами
великодушничать|Быть неуместно великодушным
великодушный|Обладающий высокими душевными качествами, готовый бескорыстно жертвовать своими интересами для других
великолепие|Пышная красота, роскошь
великолепный|Отличающийся великолепием
великолепный|Превосходный, отличный
великомученик|В христианстве: особо чтимый праведник, при жизни претерпевший за веру тяжкие мучения
великоросский|То же, что великорусский
великороссы|То же, что русские
великорусский|В некоторых сочетаниях: русский
великорусы|То же, что русские
великосветский|Относящийся к верхушке аристократического общества, так называемому большому свету
величавый|Исполненный внутреннего достоинства, величия, внушающий почтение к себе
величание|Народная обрядовая величальная песня
величать|Называть, звать по имени, отчеству, званию
величать|В народных обрядах: чествовать поздравительной песней
величественный|Исполненный величия
величество|С местоимениями ваше, их, его, ее титулование монархов, жен монархов, монархинь
величество|Его, ее величество – о ком–чем–нибудь, заслуживающем уважения, преклонения
величие|Наличие в ком–чем–нибудь выдающихся свойств, внушающих преклонение, уважение
величина|Размер, объем, протяженность предмета
величина|То, что можно измерить, исчислить
величина|О человеке, выдающемся в какой–нибудь области деятельности
вело|Первая часть сложных слов со значением относящийся к велосипедам, велосипедный
велогонки|Велосипедные гонки
велодром|Спортивное сооружение для велосипедных гонок и тренировок
велосипед|Двухколесная или трехколесная машина для езды, приводимая в движение ножными педалями
велосипедист|Спортсмен, занимающийся велосипедным спортом; ездок на велосипеде
вельбот|Легкая быстроходная шлюпка с острым носом и кормой, обычно с небольшой мачтой
вельвет|Хлопчатобумажная плотная рубчатая ткань с густым коротким ворсом
вельможа|В старое время: знатный и богатый сановник
вельможный|Знатный и могущественный
вельможный|Высокомерный и презрительный
велюр|Драп или фетр с мягким густым коротким ворсом, а также мягкая кожа, выделанная под бархат
вена|Кровеносный сосуд, проводящий кровь к сердцу
венгерка|Народный и бальный быстрый танец венгерского происхождения, а также музыка к нему
венгерка|Гусарская куртка с нашитыми поперечными шнурами
венгерский|Относящийся к венграм, к их языку, национальному характеру, образу жизни, культуре, а также к Венгрии, ее территории, внутреннему устройству, истории; такой, как у венгров, как в Венгрии
венгры|Народ, составляющий основное население Венгрии
венерианский|Относящийся к планете Венера
венерический|Относящийся к инфекционным заболеваниям, передающимся преимущественно половым путем
венеролог|Врач – специалист по венерологии
венерология|Раздел медицины, изучающий венерические болезни
