разрозниться|Стать разрозненным
разронять|Выронить одно за другим, постепенно
разруб|Место, где что–нибудь разрублено
разрубить|Рубя, разделить на части
разругать|То же, что разбранить
разругаться|Рассориться, разбраниться
разрумянить|Покрыть румянами или румянцем
разрумяниться|Покрыться ярким румянцем
разруха|Полное расстройство, разрушение (обычно о хозяйстве, экономике)
разрушитель|Тот, кто разрушил, разрушает что–нибудь
разрушительный|Производящий разрушение, губительный
разрушить|Ломая, уничтожить, превратить в развалины
разрушить|Нарушить, расстроить, уничтожить
разрушиться|Развалиться, сломаться
разрушиться|Нарушиться, расстроиться
разрыв|Место, где что–нибудь разорвано; промежуток, образовавшийся между чем–нибудь
разрыв|Несоответствие, нарушение связи, согласованности между чем–нибудь
разрываться|Стараться успеть сделать сразу многое
разрывной|Производящий взрыв
разрыдаться|Начать сильно рыдать
разрыть|Роя или роясь, раскидать
разрыхлитель|Машина, аппарат для рыхления, разрыхления чего–нибудь
разрыхлитель|Вещество, придающее чему–нибудь рыхлость, пористость
разрыхлять|То же, что рыхлить
разрюмиться|То же, что разнюниться
разряд|Подразделение внутри какого–нибудь класса
разряд|Класс; гостиница, ателье, парикмахерская первого (второго) разряда
разряд|Степень, официально утвержденный уровень квалификации в профессии, спорте
разряд|В математике: место, занимаемое цифрой при записи числа
разрядить|Нарядить во все лучшее
разрядить|Освободить от заряда (оружие)
разрядить|Освободить от электрического заряда
разрядить|Сделать обстановку, атмосферу менее напряженной, обостренной
разрядиться|Нарядиться во все лучшее
разрядиться|Освободиться от заряда (об оружии)
разрядиться|Освободиться от электрического заряда
разрядиться|Стать менее напряженным, более спокойным (об отношениях, обстановке)
разрядка|Успокоение, ослабление (напряженных отношений, нервного состояния)
разрядка|В отношениях между странами: отказ от политики недоверия и напряженности, от вмешательства во внутренние дела, от использования силы и угрозы силой, от накопления вооружений, укрепление взаимопонимания и сотрудничества
разрядка|Более редкая, чем обычно, постановка букв для выделения слова в тексте
разрядник|Спортсмен, имеющий тот или иной спортивный разряд
разубедить|Заставить изменить убеждение, намерение, убедить в обратном
разубедиться|Изменить свое убеждение, намерение, убедиться в обратном
разуверить|Побудить отказаться от своего убеждения в чем–нибудь, уверить в обратном
разувериться|Потерять веру в кого–нибудь, что–нибудь, убеждение в чем–нибудь
разузнать|Узнать, выведать
разукомплектовать|Сняв или изъяв части оборудования, привести предприятие, механизм в состояние невозможности работать, действовать
разукомплектовать|Нарушить целостность чего–нибудь укомплектованного, скомплектованного
разукрашивать|Украсить обильно или во многих местах
разукрашиваться|Украситься обильно или во многих местах
разукрасить|Украсить обильно или во многих местах
разукраситься|Украситься обильно или во многих местах
разукрупнить|Сделать менее крупным, разделить на менее крупные единицы
разукрупниться|Стать менее крупным, разделиться на менее крупные единицы
разум|Способность человека логически и творчески мыслить, обобщать результаты познания, ум, интеллект
разум|Ум, умственное развитие
разумение|Способность понимать
разумение|Мнение, понимание, точка зрения
разуметь|Понимать, постигать умом
разуметь|То же, что подразумевать
разуметься|То же, что подразумеваться
разуметься|Несомненно, можно быть уверенным
разуметься|Выражает уверенность, конечно
разуметься|Выражает уверенное подтверждение, да, конечно
разумник|То же, что умник
разумный|Обладающий разумом
разумный|Толковый, рассудительный
разумный|Логичный, основанный на разуме, целесообразный
разуть|Снять с кого–нибудь обувь
разуться|Снять с себя обувь
