раскладочный|Смотри разложить и раскладка  
раскладушка|Легкая раскладная кровать  
раскланяться|Поклониться друг другу при встрече или расставании  
расклевать|Разбить, продырявить клювом  
расклевать|Склевать все  
расклеить|Разнять, разъединить, разлепить  
расклеить|Приклеить во многих местах  
расклеиться|О склеенном: распасться на части или разлепиться  
расклеиться|Переносное значение: разладиться, расстроиться  
расклеиться|Переносное значение: расхвораться, стать вялым, слабым  
расклейщик|Человек, который занимается расклейкой чего–нибудь  
расклепать|Разнять, разъединить  
расклепать|Забивая, ударяя, расплющить что–нибудь металлическое  
расклешить|Скроить клешем, расширить книзу  
расклинить|Выбить вколоченный клин из чего–нибудь  
расклинить|Вбив клин, расщепить  
расклиниться|Расщепиться от вбитого клина  
раскованный|Свободный и непринужденный в обращении с людьми, в поведении  
расковать|Освободить от подков  
расковать|Освободить от оков, кандалов  
расковать|Сплющить ковкой  
расковаться|О ездовом животном: потерять подкову, подковы  
расковырять|Ковыряя, сделать или увеличить дыру, а также, ковыряя, содрать поверхность с чего–нибудь  
раскокать|Уронив, разбить  
раскол|Религиозно-общественное движение в России во второй половине XVII века, направленное против официальной церкви  
расколотить|Расширить или разбить, расплющить, колотя по чему–нибудь  
расколотить|Ударяя, открыть что–нибудь заколоченное  
расколотить|Разбить, разломать  
расколоть|Расчленить, нарушить единство, внеся разногласия в какую–нибудь среду  
расколоть|Заставить говорить правду, обычно преступника  
расколоться|Разделиться на части от ударов чем–нибудь острым, колющим  
расколоться|Расчлениться, распасться на части вследствие разногласий  
расколоться|Перестать скрывать что–нибудь, начать говорить правду, обычно о преступнике  
расколупать|То же, что расковырять  
раскольник|Последователь раскола, старообрядец  
раскольник|Человек, который вносит раскол, разлад в какое–нибудь общее дело  
раскопать|Копая, раскидать или найти, отрыть  
раскопать|Найти, разыскать  
раскопка|Работы по вскрытию пластов земли в поисках памятников, предметов древности, а также место, где ведутся такие работы  
раскормить|Обильной пищей довести до тучности  
раскорчевать|Корчуя, очистить от пней  
раскоряка|Человек с раскоряченными ногами  
раскорячить|Раздвинуть неуклюже врозь, растопырить ноги, а также вообще неуклюже раздвинуть, расставить  
раскорячиться|Раскорячить ноги, а также вообще неуклюже растопыриться  
раскос|Косо поставленная распорка, подпорка  
раскосить|Укрепить раскосами  
раскосить|Направить в стороны глаза  
раскосый|С расходящимся косоглазием  
раскосый|О глазах: с косым разрезом  
раскочегаренный|Возмущенный, сердитый до крайности  
раскошелиться|Перестав скупиться, пойти на издержки, траты  
раскрасить|Расписать разными красками  
раскраска|Цветной узор, расцветка  
раскраска|Детская книжка с картинками для раскрашивания  
раскрасть|Разворовать, расхитить  
раскрепить|Укрепить, ставя распорки, делая подпоры  
раскрепиться|О чем–нибудь скрепленном: разъединиться, стать свободным от закрепления  
раскрепостить|Освободить от крепостной зависимости  
раскрепостить|Освободить от какого–нибудь гнета, зависимости, сделать свободным  
раскритиковать|Подвергнуть резкой критике  
раснетиться|То же, что разрумяниться
