раскрасть|Разворовать, расхитить  
раскрепить|Укрепить, ставя распорки, делая подпоры из чего–нибудь  
раскрепиться|О скрепленном: разъединиться, стать свободным от закрепления  
раскрепостить|Освободить от крепостной зависимости  
раскрепостить|Освободить от какого–нибудь гнета, зависимости, сделать свободным  
раскритиковать|Подвергнуть резкой критике  
раскричать|Широко разгласить, объявить  
раскричаться|Поднять сильный крик  
раскровенить|Разбить, повредить до крови  
раскроить|Кроя, разрезать  
раскроить|То же, что рассечь  
раскрой|То, что раскроено, скроено  
раскрошить|См. крошить  
раскрутить|Развить скрученное  
раскрутить|Крутя, придать чему–нибудь вращательное движение  
раскрутиться|О скрученном: развиться  
раскрутиться|Начать быстро крутиться, вертеться  
раскрыть|То же, что открыть  
раскрыть|Обнаружить, сделать известным, объяснить  
раскрыться|Стать раскрытым  
раскрыться|Перестать быть укрытым  
раскрыться|Стать до конца откровенным или совершенно понятным  
раскудахтаться|Начать громко кудахтать  
раскудахтаться|Начать говорить долго, бестолково и взволнованно  
раскулачить|Лишить крестьянина, считавшегося кулаком, средств производства, права пользоваться землей и политических прав  
раскупить|О многих: купить все  
раскупорить|Раскрыть закупоренное  
раскупориться|О закупоренном: раскрыться  
раскурить|Затягиваясь, заставить гореть, куриться  
раскуриться|О табаке, сигарете, трубке: разжечься  
раскусить|Разъединить, кусая  
раскусить|Понять, хорошо узнать  
раскутать|Освободить от чего–нибудь закутывающего  
раскутиться|Начать сильно кутить  
расовый|См. раса  
распад|То же, что распадение атомного ядра  
распадаться|Состоять из частей, разделов  
распадок|Узкая долина в горах, ложбина  
распаковать|Освободить от упаковки  
распаковаться|Распаковать свои вещи  
распаковаться|Освободиться от упаковки, развязаться  
распалить|Нагреть сильно, до жара  
распалить|Привести в сильное возбуждение  
распалиться|Нагреться сильно, до жара  
распалиться|Прийти в сильное возбуждение  
распарить|Размягчить паром, горячей водой  
распарить|Разогреть до пота  
распариться|Размягчиться от пара или горячей воды  
распариться|Разогреться до пота  
распарывать|То же, что пороть  
распарываться|То же, что пороться  
распасться|Разделиться на составные части; развалиться  
распасться|Разделившись на отдельные части, прекратить существование  
распатронить|Распаковать, разворошить  
распатронить|Разругать, разбранить  
распахать|Вспахать, преимущественно впервые  
распахнуть|Широко раскрыть, растворить, раздвинуть  
распахнуться|Широко раскрыться, раствориться, раздвинуться  
распахнуться|Распахнуть полы своей одежды  
распахнуться|Широко простереться перед глазами  
распашной|Относящийся к гребле непарно расположенными длинными веслами  
распашной|Об одежде: с разрезом сверху донизу  
распашонка|Рубашка для младенца с разрезом от ворота донизу  
распашонка|Рубашка или кофта свободного покроя  
распаять|Расплавить на месте спайки, а также вообще расплавить, разрушив, испортив  
распаяться|Расплавиться на месте спайки, а также вообще, расплавившись, деформироваться  
распевать|Петь громко, весело  
распеленать|Освободить от пеленок
