расцветка|Сочетание цветов, подбор красок  
расцеловать|Поцеловать крепко, много раз  
расцеловаться|Поцеловаться с кем–нибудь крепко, несколько раз  
расценить|Установить стоимость, цену чего–нибудь  
расценить|Определив свое отношение к кому–нибудь, дать оценку, оценить  
расценка|Установленная на что–нибудь цена, размер оплаты чего–нибудь  
расцепить|Разъединить (сцепленное, сцепившихся)  
расцепиться|О сцепленном, сцепившихся: разъединиться  
расчеканить|То же, что чеканить  
расчертить|Нанести на что–нибудь черты, линии в нужных направлениях  
расчесать|Распавить, разгладить, разровнять гребнем  
расчесать|Повредить чесанием  
расчесаться|Расчесать себе волосы  
расчесаться|Сильно расчесать себе что–нибудь  
расчесаться|Начать сильно чесаться  
расческа|Гребенка для расчесывания волос  
расчесть|То же, что рассчитать  
расчесться|То же, что рассчитаться  
расчехлить|Снять чехол с чего–нибудь  
расчет|Увольнение с полной выплатой заработанного  
расчет|Намерение, предположение  
расчет|Выгода, польза  
расчет|Экономия, бережливость  
расчет|Воинская группа, обслуживающая орудие, пулемет и некоторые другие боевые средства  
расчетливый|Бережливый, действующий с расчетом  
расчетчик|Специалист по техническим расчетам  
расчислить|Распределить согласно подсчету, вычислениям  
расчистить|Очистить, освободить от чего–нибудь засоряющего, загромождающего; очищая, удалить что–нибудь  
расчиститься|Освободиться от чего–нибудь засоряющего, загромождающего, затемняющего  
расчихаться|Начать чихать, чихнуть много раз подряд  
расчихвостить|Разгромить, раздраконить  
расчленять|То же, что членить  
расчленяться|То же, что члениться  
расчувствоваться|То же, что растрогаться  
расчухать|Определить на вкус, по запаху или понять, разобраться в чем–нибудь  
расшалиться|Начать сильно шалить  
расшаркаться|Раскланяться, шаркнув ногой  
расшаркаться|Проявить льстивое, угодливое отношение к кому–чему–нибудь  
расшатать|Шатая, сделать неустойчивым, слабым  
расшатать|Поколебать, расстроить  
расшататься|Ослабнуть, перестать крепко держаться  
расшататься|Поколебаться, расстроиться  
расшвырять|Разбросать, раскидать  
расшвырять|Промотать  
расшевелить|Трогая, шевеля, изменить положение чего–нибудь, вывести из спокойного, неподвижного состояния  
расшевелить|Побудить к деятельности, к активности, к активному восприятию чего–нибудь  
расшевелиться|Начать шевелиться, двигаться  
расшевелиться|Пробудиться к деятельности, стать деятельнее, активнее  
расшибить|Повредить ушибом  
расшибить|Сильно ударив, разломать, изувечить  
расшибиться|Упав или ударившись, сильно ушибиться  
расшибиться|Проявить крайнее усердие, готовность любой ценой сделать что–нибудь для приятеля  
расшива|В старое время на Волге, на Каспийском море: большое плоскодонное парусное судно для перевозки грузов  
расшивной|Расшитый узорами  
расшиковаться|Начать шиковать, роскошничать  
расширение|Расширенная часть чего–нибудь  
расширенный|Увеличенный, более полный по составу, содержанию  
расширитель|Приспособление, прибор для расширения чего–нибудь  
расширительный|Не буквальный, широко объясняющий, широко понимаемый  
расширить|Сделать более широким, более обширным  
расширить|Увеличить в числе, в объеме  
расширить|Сделать более широким по содержанию, усилить, углубить  
расшириться|Стать более широким, более обширным  
расшириться|Увеличиться в числе, в объеме  
расшириться|Стать более широким по содержанию, усилиться, углубиться  
расшить|Распороть, разрезая сшитые места  
расшить|Украcить узорным шитьем  
расшифровать|Разобрать, прочитать зашифрованное, закодированное  
расшифровать|Угадать скрытый смысл  
расшифровщик|Специалист, занимающийся расшифровкой
