религиоведение|Наука, занимающаяся изучением религий  
религиозный|То же, что верующий  
религиозность|Свойство быть религиозным  
религия|Одна из форм общественного сознания — совокупность духовных представлений, основывающихся на вере в сверхъестественные силы и существа, которые являются предметом поклонения  
религия|Одно из направлений такого общественного сознания  
религия|Сложившиеся непоколебимые убеждения, безусловная преданность какой–нибудь идее, принципу, нравственному закону, ценности  
реликвия|Вещь, свято хранимая как память о прошлом  
реликт|Животный или растительный организм, сохранившийся как пережиток древних эпох  
рельеф|Строение земной поверхности, совокупность неровностей суши, океанского и морского дна  
рельеф|Выпуклость, выпуклое изображение на плоскости  
рельеф|Вид скульптуры, в котором изображение является выпуклым или углубленным по отношению к плоскости фона  
рельефный|Выпуклый, выступающий над поверхностью, с рельефами  
рельефный|Отчетливый, выразительный  
рельефность|Свойство быть рельефным  
рельс|На железнодорожном пути: узкий стальной брус, по которому катятся колеса  
рельс|В некоторых сочетаниях: направление, путь  
рельса|То же, что рельс  
рельсопрокатный|Относящийся к производству сортового проката — стальных балок специального профиля  
релятивизм|В философии: методологическая позиция, сторонники которой, абсолютизируя относительность и условность всех наших знаний, считают невозможным объективное познание действительности  
релятивист|Сторонник релятивизма  
релятивный|То же, что относительный  
релятивность|Свойство быть относительным  
реляция|Письменное донесение о действиях войск  
ремарка|Отметка, примечание  
ремарка|В пьесе: пояснение автора к тексту, касающееся обстановки, поведения действующих лиц, их внешнего вида  
ремез|Синичка, обитающая по берегам водоемов  
ремень|Длинная полоса кожи, плотного материала, употребляемая для связывания, закрепления чего–нибудь, в качестве пояса, для передачи движения от шкива  
ремень|Две соединенные перемычкой полоски кожи или плотной ткани с пряжками и ручкой для увязывания ручного багажа  
ремешок|Узкая ременная полоска, плотная ленточка для наручных часов  
ремесленник|Человек, который занимается, владеет профессиональным ремеслом  
ремесленник|Человек, который работает по шаблону, без творческой инициативы  
ремесленник|Ученик ремесленного училища  
ремесленничать|Быть ремесленником, заниматься ремеслом  
ремесленный|Шаблонный, не творческий  
ремесло|Профессиональное занятие — изготовление изделий ручным, кустарным способом  
ремесло|Профессия, занятие  
ремонт|Починка, устранение неисправностей  
ремонт|Пополнение стада молодняком, а также пополнение убыли лошадей в войсках  
ремонтёр|Офицер, занимающийся закупкой лошадей, ремонтом  
ремонтник|Ремонтный рабочий  
ремонтировать|Производить ремонт, починку чего–нибудь  
рента|Регулярный доход в форме процентов, получаемый с капитала, имущества или земли  
рентабельный|Оправдывающий расходы, не убыточный, доходный  
рентабельность|Свойство быть рентабельным  
рентген|Просвечивание рентгеновскими лучами  
рентген|Единица дозы рентгеновского или гамма–излучения  
рентгеновский|Рентгеновские лучи — невидимые лучи, являющиеся короткими электромагнитными волнами, способными проникнуть через непрозрачные предметы  
рентгеновский|Относящийся к применению таких лучей  
рентгенограмма|Фотографический снимок при помощи рентгеновских лучей  
рентгенография|Фотографирование внутреннего строения непрозрачных предметов при помощи рентгеновских лучей  
рентгенолог|Врач – специалист по рентгенологии, рентгенотерапии  
рентгенология|Раздел медицины, занимающийся изучением применения рентгеновских лучей для исследования внутренних органов, для диагностики заболеваний и их лечения  
рентгеноскопия|Просвечивание рентгеновскими лучами непрозрачных предметов и рассматривание их теневого изображения  
рентгенотерапия|Лечение рентгеновскими лучами  
реорганизовать|Организовать на новых началах, преобразовать  
реорганизация|Процесс преобразования, организации на новых началах  
рента|Свойство быть рентной  
ренегат|Отступник, изменник  
ренегатство|Отступничество, поведение ренегата  
ренессанс|То же, что Возрождение  
ренклод|Сорт крупной сладкой сливы  
реноме|Установившаяся репутация
