речистый|Красноречивый, говорливый  
речистость|Красноречие, говорливость  
речитатив|Напевная речь в вокально-музыкальном произведении  
речитативный|Относящийся к напевной речи в вокально-музыкальном произведении  
речка|Небольшая река  
речушка|Очень небольшая река  
реченька|Маленькая река  
речонка|Очень маленькая река  
речной|Относящийся к небольшой или большой реке  
речник|Работник речного транспорта  
речница|Работница речного транспорта  
речуга|Публичное выступление, речь  
речь|Способность говорить, говорение  
речь|Разновидность или стиль языка  
речь|Звучащий язык  
речь|Разговор, беседа  
речь|Публичное выступление  
речевой|Относящийся к способности говорить, разновидности языка, звучащему языку  
решающий|Главный, важнейший  
решающий голос|Право голосовать при принятии решения  
решение|Постановление  
решение|Заключение, вывод из чего-нибудь  
решение|Ответ к задаче, искомые числа или функции  
решение|Осуществление творческого замысла; сам такой замысел  
решетина|Обрешетина  
решетник|Решетины, укрепленные на кровле поперек стропил  
решето|Широкий обруч с натянутой на него частой сеткой для просеивания чего-нибудь  
решето|Просеивающее устройство  
решетный|Относящийся к решету  
решётка|Заграждение из планок, прутьев, проволоки или устройство из переплетений или с отверстиями  
решеточный|Относящийся к решётке  
решётчатый|Представляющий собой решётку или снабжённый решёткой  
решимость|Смелость, готовность принять и осуществить своё решение  
решительный|Твёрдый в поступках, не колеблющийся  
решительный|Исполненный твёрдости, непреклонности  
решительный|Окончательный, самый важный, относящийся ко времени, когда должно что-нибудь решиться или произойти  
решительность|Твёрдость в поступках, исполненность твёрдости, окончательность  
решить|Обдумав, прийти к какому-нибудь выводу, к необходимости каких-нибудь действий  
решить|Сделать окончательное заключение, вынести постановление о чём-нибудь  
решить|Найти ответ к задаче, искомые числа или функции  
решить|Предопределить будущее, исход чего-нибудь  
решить|Подумать, допустить какую-нибудь мысль, предположение  
решить дело|Предопределить исход чего-нибудь  
решить себя|Избрать какой-нибудь способ действия после обдумывания, сомнений; отважиться на что-нибудь  
решиться|Получить тот или иной исход, заключение  
решиться|Лишиться чего-нибудь  
решка|Сторона монеты, обратная гербовому изображению  
рея|Рей  
реять|Летать плавно, парить  
реять|Плавно развеваться  
рёв|Протяжный громкий крик или протяжный громкий звук, вой  
рёв|Громкий плач  
рёва|Человек, который склонен часто плакать  
ревушка|Человек, склонный часто плакать  
ржа|Ржавчина  
ржаветь|Покрываться ржавчиной  
заржаветь|Покрыться ржавчиной  
ржавление|Процесс образования ржавчины  
ржавчина|Красно-бурый налёт на железе, образующийся вследствие окисления и ведущий к разрушению металла  
ржавчина|Бурая плёнка на болотной воде  
ржавчина|Бурое пятно на растениях в местах, где развиваются споры паразитных грибков  
ржавчинный|Относящийся к ржавчине  
ржавый|Покрытый ржавчиной, содержащий окислы железа  
ржавость|Состояние ржавого  
ржаной|Относящийся к ржи  
ржать|О лошади: издавать характерные звуки  
ржать|Громко смеяться  
ржание|Звук, издаваемый при ржании  
риал|Денежная единица в Иране и в некоторых других странах  
рига|Сарай для сушки снопов и молотьбы  
ригоризм|Чрезмерная строгость, прямолинейность в соблюдении нравственных принципов, в поведении  
ригористический|Относящийся к ригоризму  
ригорист|Человек, отличающийся ригоризмом  
ригористка|Женщина, отличающаяся ригоризмом  
ригористичный|Склонный к ригоризму, проявляющий ригоризм  
ригористичность|Склонность к ригоризму  
ридикюль|Ручная женская сумочка  
ридикюльный|Относящийся к ручной женской сумочке  
риза|Облачение, одежда священника при богослужении  
риза|Оклад на иконе  
ризничный|Относящийся к ризнице  
ризница|Помещение при церкви для хранения риз и церковной утвари  
рикошет|Отражённое прямолинейное движение, полёт под углом после удара о какую-нибудь поверхность  
рикошетный|Относящийся к рикошету  
рикша|В странах Юго-Восточной Азии: человек, который, впрягшись в лёгкую двухколёсную тележку, бегом перевозит седоков, грузы; а также сама такая тележка  
ринг|Ограждённая канатами площадка для бокса  
ринуться|Стремительно броситься, устремиться  
рис|Злак с белыми продолговатыми зёрнами, идущими в пищу, а также его зёрна  
рисовый|Относящийся к рису  
риск|Возможность опасности, неудачи  
риск|Действие наудачу в надежде на счастливый исход  
рисковой|Относящийся к возможной опасности  
рисковать|Действовать, зная об имеющемся риске, опасности  
рисковать|Подвергать кого–нибудь или что–нибудь риску  
рисковать|Подвергаться риску, ставить себя перед возможной неприятностью  
рискованный|Содержащий в себе риск, опасный  
рискованный|Не совсем приличный, двусмысленный  
рискованность|Свойство быть рискованным  
рисковый|Рискованный, а также не боящийся рисковать  
рислинг|Сорт белого столового виноградного вина  
рислинговый|Относящийся к сорту вина рислинг
