россказни|Измышления, выдумки
россыпь|То, что рассеялось, расположилось где–нибудь во множестве
россыпь|Рассыпной товар, груз
россыпь|Скопление ценных минералов в рыхлых обломочных отложениях
россыпью|Без упаковки, в рассыпанном состоянии
рост|Увеличение организма или отдельных органов в процессе развития
рост|Увеличение в числе, в размерах, развитие
рост|Усиление, укрепление
рост|Совершенствование в процессе развития
рост|Размеры человека или животного в высоту
рост|То же, что проценты
ростбиф|Кусок жареной говядины из хребтовой части туши или вырезки
ростепель|То же, что оттепель
ростовщик|Человек, который дает деньги в рост, в долг под большие проценты
ростовщица|Человек, который дает деньги в рост, в долг под большие проценты
ростовщический|Такой, как у ростовщика, грабительский, разорительный
ростовщический|Связанный с ростовщиком
росток|Стебель растения в самом начале его развития из семени или корневища, клубня
росток|Отрезок ветки с почками для посадки
росток|Проявление начинающегося развития чего–нибудь
ростра|Архитектурное украшение в виде носовой части древнего судна
ростры|Решетчатый настил для установки шлюпки, складывания весел на борту корабля
росчерк|Дополнительная черточка или завиток у последней буквы в подписи
росянка|Болотное насекомоядное растение
рот|Полость между верхней и нижней челюстями, снаружи закрытая губами
рот|Очертание и разрез губ
рот|У животных: то же, что пасть
рот|Едок, иждивенец
ртище|Полость между верхней и нижней челюстями, снаружи закрытая губами
ртище|Очертание и разрез губ
ртище|У животных: то же, что пасть
ротик|Полость между верхней и нижней челюстями, снаружи закрытая губами
ротик|Очертание и разрез губ
роток|Полость между верхней и нижней челюстями, снаружи закрытая губами
роток|Очертание и разрез губ
ротовой|Связанный с полостью между верхней и нижней челюстями, снаружи закрытой губами
ротовой|Связанный с пастью у животных
рота|Воинское подразделение, входящее обычно в состав батальона
ротный|Связанный с воинским подразделением рота
ротапринт|Небольшая машина для печатания малотиражных изданий с машинописного текста, а также способ такого печатания
ротапринтный|Связанный с ротапринтом
ротатор|Множительный аппарат для печатания копий с машинописи, с рукописей, документов, чертежей
ротаторный|Связанный с ротатором
ротационный|Высокопроизводительная печатная машина с вращающейся типографской формой
ротмистр|В царской армии: офицерский чин в кавалерии, равный капитану, а также лицо, имеющее этот чин
ротмистрский|Связанный с чином ротмистра или ротмистром
ротозей|То же, что зевака
ротозей|Беспечный человек, разиня
ротозейка|Беспечный человек, разиня
ротозейский|Связанный с зевакой или беспечным человеком
ротозейничать|Быть ротозеем
ротозейство|Крайняя невнимательность и беспечность
ротозействовать|То же, что ротозейничать
ротонда|Круглое или полукруглое небольшое здание, обычно с куполом
ротондовый|Связанный с круглым или полукруглым небольшим зданием с куполом
ротонда|Верхняя теплая женская одежда без рукавов в виде длинной накидки
ротондовый|Связанный с верхней теплой женской одеждой без рукавов в виде длинной накидки
ротор|Вращающаяся часть в машинах
ротор|Автоматически управляемая машина, в которой заготовки двигаются вместе с обрабатывающими их орудиями по дугам окружности
роторный|Связанный с ротором
рохля|Медлительный, нерасторопный человек
роща|Небольшой, чаще лиственный лес
рощица|Небольшая роща
роялизм|Приверженность к королевской власти, монархизм
роялист|Сторонник королевской власти, монархист, приверженец роялизма
роялистка|Сторонник королевской власти, монархист, приверженец роялизма
роялистский|Связанный с приверженностью к королевской власти, монархизмом
рояль|Клавишный музыкальный инструмент со стоячим треугольным корпусом и горизонтально натянутыми струнами, разновидность фортепьяно
рояльный|Связанный с роялем
ртуть|Химический элемент — жидкий металл серебристо–белого цвета
ртутный|Связанный с ртутью
рубаха|То же, что рубашка
рубаха–парень|Открытый, простой в обращении человек
рубашка|Одежда из легкой ткани, надеваемая на верхнюю часть тела или как нижнее белье
рубашка|Цвет шерсти, масть
рубашка|Обратная сторона игральной карты
рубашка|Верхний, покрывающий слой, оболочка
рубашечка|Одежда из легкой ткани, надеваемая на верхнюю часть тела или как нижнее белье
рубашонка|Одежда из легкой ткани, надеваемая на верхнюю часть тела или как нижнее белье
рубашечный|Связанный с одеждой из легкой ткани, надеваемой на верхнюю часть тела или как нижнее белье
рубеж|То же, что граница
рубеж|Участок или полоса местности, удобные или оборудованные для ведения боевых действий
рубежный|Связанный с границей или участком местности
рубероид|Пропитанный битумом картон, применяемый как кровельный и изоляционный материал
рубероидовый|Связанный с рубероидом
рубероидный|Связанный с рубероидом
рубец|Плотное образование из соединительной ткани, след на теле, на каком–нибудь органе от зажившей раны, язвы, разрыва, разреза
рубец|Углубленный след, зарубка на чем–нибудь
рубец|Утолщенный шов
рубчик|Плотное образование из соединительной ткани, след на теле, на органе от зажившей раны, язвы, разрыва, разреза
рубцовый|Связанный с плотным образованием из соединительной ткани или швом
рубец|У жвачных животных: начальный отдел желудка
рубец|Кушанье, приготовленное из этой части желудка
рубильник|Простейший электрический выключатель с ручным приводом
рубин|Драгоценный камень красного цвета, прозрачная разновидность корунда
рубиновый|Связанный с рубином
рубиновый|Густо–красный, цвета рубина
рубить|Ударяя чем–нибудь острым, разделять на части, отсекать, размельчать
рубить|То же, что строить из бревен
рубить|Добывать уголь, руду
рубить|Действовать прямо, говорить прямо, резко
рубка|Удар ножом или другим острым предметом, разделение на части, отсечение; также строение из бревен; также добыча угля или руды
рубильный|Связанный с процессом рубки
рубиться|Сражаться холодным оружием
рубище|Ветхая, рваная, изношенная одежда
