веснушчатый|Покрытый веснушками, с веснушками
веснушчатость|Свойство быть покрытым веснушками, иметь веснушки
веснянка|Старинная обрядовая восточнославянская песня, воспевающая приход весны
весовой|Отпускаемый, продаваемый на вес, не поштучно
весовщик|Работник, занимающийся взвешиванием грузов
весовщица|Работница, занимающаяся взвешиванием грузов
весовщицкий|Относящийся к работнику, занимающемуся взвешиванием грузов
весомый|Обладающий весом, тяжелый
весомый|Вполне ощутимый, значительный, убедительный
весомость|Свойство быть тяжелым, значительным или убедительным
весталка|В Древнем Риме: девственная жрица Весты, богини домашнего очага, хранительница огня в храме
весталка|Стареющая незамужняя девица
вестерн|Приключенческий фильм из жизни первых поселенцев американского Запада
вести|Помогать идти, сопровождать идущего
вести|Идти во главе, возглавлять кого-либо или что-либо
вести|Управлять движением транспортного средства
вести|Прокладывать в определенном направлении
вести|Двигать чем-нибудь в каком-нибудь направлении
вести|Иметь то или иное направление, служить путем куда-нибудь
вести|Иметь что-нибудь своим следствием, завершением
вести|Производить, осуществлять, делать что-нибудь в соответствии со значением следующего далее существительного
вести|Руководить кем-нибудь или чем-нибудь, осуществлять наблюдение за кем-нибудь или чем-нибудь
ведение|Руководство, осуществление, управление чем-нибудь
вестибулярный|Расположенный во внутреннем ухе орган чувств, воспринимающий изменения положения головы и тела в пространстве
вестибюль|Большое помещение, отделяющее вход от внутренних частей здания, преимущественно общественного
вестибюльный|Относящийся к большому помещению, отделяющему вход от внутренних частей здания
вестимо|То же, что конечно
вестись|Производиться, осуществляться
вестись|Быть в обыкновении, быть принятым
вестник|Тот, кто приносит какие-нибудь вести
вестник|Название некоторых периодических изданий
вестница|Женщина, приносящая какие-нибудь вести
вестовой|Подающий весть, сигнал о чем-нибудь
вестовой|В армии: рядовой, назначаемый для выполнения поручений офицера
весть|Известие, сообщение
весточка|Уменьшительное к известию, сообщению
весы|Прибор, механизм для определения веса
весь|Полный, без изъятия, целиком
весь|То, что имеется, есть, наличное
весь|В полном составе, без изъятия
весь|Кончился, больше нет, израсходован
весь|То же, что кончено
весь|О том, кто или что имеет большое значение, определяет собой что-нибудь
весь|О большом сходстве с кем-нибудь
вся|Полная форма женского рода слова весь
все|Полная форма среднего рода и множественного числа слова весь
всё|Пожелание при прощании: всего хорошего, всего доброго, всего лучшего
весь|Безразлично, одинаково, в любом случае
весь|В значении все равно что, союз, выражающий сравнение, уподобление
весь|Всё и вся — все без исключения
весь|За все про все — за всё, на всё
весь|При всем том, со всем тем — тем не менее
весь|По всему — по всем признакам
весь2|Селение, деревня
весьма|То же, что очень
вет...|Первая часть сложных слов со значением ветеринарный
ветвистый|Со множеством ветвей, с отростками, ответвлениями
ветвистость|Свойство иметь множество ветвей, ответвлений
ветвиться|О растении: пускать ветви, отростки
ветвь|То же, что ветка
ветвь|Ответвление от чего-нибудь основного, главного, отходящая в сторону часть чего-нибудь
ветвь|Отдельная линия родства
ветвяной|Относящийся к ветви
ветер|Движение, поток воздуха в горизонтальном направлении
ветровой|Относящийся к ветру или вызываемый ветром
ветеран|Старый, опытный воин; участник прошедшей войны
ветеран|Старый, заслуженный деятель, работник
ветеранка|Женщина, являющаяся ветераном
ветеранский|Относящийся к лицу, имеющему большой опыт, стаж
ветеринар|Специалист по ветеринарии
ветеринарский|Относящийся к ветеринарии или специалисту в этой области
ветеринария|Наука о болезнях животных, их лечении и предупреждении, а также о методах защиты людей от инфекционных болезней животных
ветеринарный|Относящийся к науке о болезнях животных, их лечении и профилактике
ветка|Небольшой боковой отросток, побег дерева, кустарника или травянистого растения
ветка|Отдельная линия в системе железных дорог, отклоняющаяся в сторону от основного пути
веточный|Относящийся к небольшой боковой ветви растения
ветла|Белая (серебристая) ива
ветловый|Относящийся к белой (серебристой) иве
вето|В государственном праве, в международных отношениях: запрещение, запрет
ветошка|Старая тряпка, лоскут
ветошник|Торговец ветошью
ветошница|Женщина, торговец ветошью
ветошь|Ветхое платье, ветхие вещи
ветошь|Протирка, тряпье, которым вытирают, обтирают что-нибудь
ветошный|Относящийся к ветхому платью, вещам или тряпью, которым вытирают что-либо
ветреник|Ветреный человек
ветреница|Женщина, отличающаяся легкомыслием
ветреный|С ветром
ветреный|Легкомысленный, пустой
ветреность|Свойство быть легкомысленным, пустым
ветрило|То же, что парус
ветро...|Первая часть сложных слов со значением относящийся к ветру
ветровка|Куртка из плотной ткани для защиты от ветра
ветрогон|То же, что ветреник
ветрогонка|Женщина, обладающая легкомыслием, пустая
ветрогонский|Относящийся к легкомысленному, пустому человеку
ветросиловой|То же, что ветряной
ветряк|Ветряной двигатель
ветряк|Ветряная мельница
ветрянка|Ветряная мельница
ветрянка|То же, что ветряная оспа
ветряной|Приводимый в действие силой ветра
ветряная|Острая, преимущественно детская вирусная болезнь, сопровождающаяся крупной сыпью
ветхий|Разрушающийся от старости; дряхлый
ветхость|Состояние ветхого, разрушающегося от старости
ветхозаветный|Относящийся к Ветхому Завету
ветхозаветный|Старинный, вышедший из обихода
ветхозаветность|Свойство быть старинным, вышедшим из обихода, относящимся к Ветхому Завету
ветчина|Мясо копченого или запеченного свиного окорока
ветчинный|Относящийся к мясу копченого или запеченного свиного окорока
