салями|Сорт твердой копченой колбасы  
сам|Обозначает, что кто–нибудь лично производит действие или испытывает его  
сам|Своими силами, без помощи или требования со стороны  
сам|Подчеркивает, что речь идет как раз о данном лице или предмете, в значении именно он, не кто иной, как он  
сам|В сочетании с существительными, называющими внутреннее свойство, качество, означает воплощенный, олицетворенный  
сам|То же, что самый  
сам|Хозяин, хозяйка, глава  
сам|Выражает совместность, сопоставление или противопоставление действий или состояний одного и того же лица  
сам по себе|Самостоятельно, отдельно от других  
само собой|О том, что имеет самостоятельное значение, не связано с другим  
само собой|Непроизвольно  
само собой|То же, что само собой разумеется  
само собой разумеется|Понятно без объяснений  
само собой разумеется|Конечно, ясно, несомненно  
сам не свой|В расстройстве, потерял самообладание  
сам...|Первая часть неизменяемых сложений с количественными словами: больше во столько раз, сколько указано количественным словом  
сам...|Первая часть неизменяемых сложений с количественными словами: столько–то, считая вместе с говорящим или вместе с тем, о ком идет речь  
саман|Кирпич–сырец с примесью навоза, соломы или каких–нибудь волокнистых веществ  
саманный|Сделанный из самана  
самба|Бальный парный танец бразильского происхождения, а также музыка в быстром и экспрессивном темпе этого танца  
самбовый|Относящийся к самбе  
самбист|Спортсмен, занимающийся самбо  
самбо|Спортивная борьба, отличающаяся большим разнообразием эффективных приемов  
самец|Особь животного мужского пола  
самец|Чрезмерно чувственный мужчина  
самка|Особь животного женского пола  
самка|Чрезмерно чувственная женщина  
само...|Первая часть сложных слов со значением направленности чего–нибудь на себя, исхождения от себя или осуществления для себя  
само...|Первая часть сложных слов со значением обращенности к самому себе, в самого себя или направленности на самого себя  
само...|Первая часть сложных слов со значением совершения чего–нибудь без посторонней помощи, без постороннего участия  
само...|Первая часть сложных слов со значением совершения чего–нибудь автоматически, непроизвольно или само по себе  
само...|Первая часть сложных слов со значением единовластный  
само...|Первая часть сложных слов со значением самый  
самоанализ|Анализ, оценка своих собственных поступков, переживаний  
самобичевание|Причинение себе нравственных страданий, раскаяние и обвинение самого себя  
самобранка|В сказках: волшебная скатерть, чудесным образом уставляемая кушаньями  
самобраный|Относящийся к самобранке  
самобытный|Своеобразный, идущий своими путями, самостоятельный в своем развитии  
самобытность|Качество быть своеобразным, самостоятельным в своем развитии  
самовар|Металлический сосуд для кипячения воды с краном и внутренней топкой — высокой трубкой, наполняемой древесными углями  
самоварчик|Уменьшительное от самовар  
самоварный|Относящийся к самовару  
самоварничать|Пить чай, сидя у самовара, за самоваром  
самовластие|Единоличная неограниченная власть  
самовластный|Не терпящий ограничений своей власти, властный  
самовластность|Состояние или свойство быть самовластным  
самовнушение|Внушение чего–нибудь самому себе  
самовозгореться|То же, что самовоспламениться  
самовозгораться|Начинать воспламеняться самопроизвольно  
самовозгорание|Процесс воспламенения самого себя  
самоволка|У военнослужащих: самовольная отлучка  
самовольничать|Поступать самовольно  
самовольный|Поступающий только по своему усмотрению, прихоти; совершаемый без разрешения, произвольно  
самоволие|Действие, поступок по собственной воле, произвол  
самовольность|Качество быть самовольным  
самовольство|Поступок, нарушение порядка по своей воле  
самовольщик|Человек, который поступает самовольно, допускает самовольные поступки  
самовольщик|Тот, кто находится в самовольной отлучке  
самовоспитание|Воспитание самого себя  
самовоспламениться|Зажечься, воспламениться самопроизвольно, в результате внутреннего нагревания  
самовоспламеняться|Начинать воспламеняться самопроизвольно  
самовоспламенение|Воспламенение самого себя  
самовосхваление|Похвальба, восхваление самого себя  
самогон|Алкогольный напиток, изготовляемый кустарным способом из хлеба, картофеля, корнеплодов  
самогонка|Алкогольный напиток, изготовляемый кустарным способом из хлеба, картофеля, корнеплодов  
самогонный|Относящийся к самогону  
самогоноварение|Изготовление самогона  
самогонщик|Человек, который занимается самогоноварением  
самогонщица|Женщина, которая занимается самогоноварением  
самодвижущийся|Движущийся при помощи собственного механизма, самоходный  
самодвижущееся|Движущееся при помощи собственного механизма, самоходное  
самоделка|Самодельная вещь  
самодельный|Сделанный не на производстве, а дома, своими руками  
самодельщина|Плохо сделанная, неискусная самодельная вещь  
самодержавие|В дореволюционной России: монархия  
самодержавный|Относящийся к самодержавию  
самодержец|Самодержавный правитель, монарх  
самодержец|Женщина, являющаяся самодержавным правителем, монархиня  
самодеятельность|Проявление личного почина в каком–нибудь общественном деле  
самодеятельность|Непрофессиональная театральная, исполнительская, художественная деятельность  
самодеятельность|Самовольные действия  
самодеятельный|Относящийся к самодеятельности  
самодеятельный|Способный к самостоятельности, к труду  
самодийский|Относящийся к самодийцам, к их языку, национальному характеру, образу жизни, культуре, а также к территории их проживания, ее внутреннему устройству, истории  
самодийцы|Общее название некоторых малочисленных народов Севера  
самодийка|Женщина из числа самодийцев  
самодовлеющий|Достаточно значительный сам по себе, имеющий вполне самостоятельное значение  
самодовольный|Полный довольства, любования самим собой, выражающий довольство собой  
самодовольство|Чувство или проявление довольства собой  
самодостаточный|То же, что самодовлеющий  
самодур|Человек, который действует по своей прихоти, по своему произволу, унижая достоинство других  
самодурка|Женщина, которая ведет себя как самодур  
самодурский|Относящийся к самодуру  
самодур|Рыболовная снасть в виде длинной лески с несколькими крючками для ловли без насадки  
самодурствовать|Быть самодуром, вести себя подобно самодуру  
самодурничать|Быть самодуром, вести себя подобно самодуру  
самодурство|Поведение, поступки самодура  
самоедский|То же, что самодийский  
самоедство|Излишняя самокритичность, недовольство своими поступками, поведением
