самописка|То же, что авторучка
самопожертвование|Жертвование своими личными интересами ради других
самопровозглашённый|О государстве: провозгласивший себя суверенным, но не признанный мировым сообществом
самопроизвольный|Возникающий произвольно, сам собой, без видимых внешних воздействий
самопроизвольность|Свойство возникать произвольно, сам собой, без видимых внешних воздействий
самореклама|Рекламирование, восхваление самого себя
самородный|Встречающийся в природе в химически чистом виде
самородный|О даровании, таланте: природный, прирождённый
самородок|Кусок или крупное зерно ископаемого металла в химически чистом виде
самородок|Человек с большими природными дарованиями
самосад|Табак собственного посева и домашней выделки
самосвал|Грузовой автомобиль с механически опрокидывающимся кузовом, а также саморазгружающийся вагон
самосев|Естественный посев растений осыпающимися семенами
самосев|Растение, выросшее в результате такого посева
самосейка|То же, что самосев во втором значении
самосожжение|Сожжение самого себя как одно из проявлений фанатизма
самосознание|Полное понимание самого себя, своего значения, роли в жизни, обществе
самосохранение|Стремление сохранить свою жизнь, обезопасить себя от чего–нибудь
самостийный|Независимый, самостоятельный (обычно о государственном образовании, власти)
самостийность|Свойство быть независимым, самостоятельным (обычно о государственном образовании, власти)
самостоятельный|Существующий отдельно от других, независимый
самостоятельный|Решительный, обладающий собственной инициативой
самостоятельный|Совершаемый собственными силами, без посторонних влияний, без чужой помощи
самостоятельность|Свойство быть самостоятельным
самострел|Лук с механическим устройством для натягивания и спуска тетивы
самострел|Намеренное ранение самого себя для того, чтобы уклониться от военной службы
самострел|Солдат, который умышленно ранил самого себя
самость|Индивидуальность, самобытность, своеобразие
самосуд|Самочинная расправа с кем–нибудь без ведома властей, суда
самотёк|Течение жидкости или сыпучих тел, совершающееся силой собственной тяжести, по уклону
самотёк|Стихийный ход дела, работы без плана, без организационного руководства
самотечный|Относящийся к течению жидкости или сыпучих тел, совершающемуся силой собственной тяжести, по уклону
самотёком|О движении жидкости или сыпучих тел: силой собственной тяжести, по уклону
самотёком|Стихийно, неорганизованно
самоубийственный|Относящийся к самоубийству
самоубийственный|Губительный, опасный для самого себя
самоубийственность|Свойство быть губительным, опасным для самого себя
самоубийство|Намеренное лишение себя жизни
самоубийца|Тот, кто совершил самоубийство
самоуважение|Уважение к самому себе
самоуверенный|Слишком уверенный в самом себе, в своей непогрешимости
самоуверенность|Свойство быть слишком уверенным в самом себе, в своей непогрешимости
самоунижение|Унижение самого себя
самоуничижение|Уничижение самого себя
самоуправец|Тот, кто поступает самоуправно
самоуправление|То же, что автономия
самоуправление|Внутреннее, своими собственными силами управление делами в какой–нибудь организации, коллективе
самоуправленческий|Относящийся к управлению делами в организации своими собственными силами
самоуправный|Являющийся самоуправством
самоуправство|Произвол, грубое самоволие
самоуправство|Противозаконное и приносящее вред осуществление своего действительного или предполагаемого права
самоуправствовать|Поступать произвольно, самочинно
самоуправничать|Поступать произвольно, самочинно
самоуспокоение|Необоснованная успокоенность, легкомысленная уверенность в благополучном ходе дел
самоуспокоенность|Необоснованная успокоенность, легкомысленная уверенность в благополучном ходе дел
самоуспокоиться|Предаться самоуспокоенности
самоуспокаиваться|Предаваться самоуспокоенности
самоустраниться|Самовольно устраниться от своих обязанностей, перестать заботиться о порученном деле, о ходе работы
самоустраняться|Самовольно устраняться от своих обязанностей, переставать заботиться о порученном деле, о ходе работы
самоустранение|Самовольно устраниться от своих обязанностей, перестать заботиться о порученном деле, о ходе работы
самоутверждение|Утверждение себя, своей личности, своего значения
самоучитель|Руководство для самостоятельного изучения какого–нибудь предмета, для самостоятельного приобретения каких–нибудь навыков, мастерства
самоучка|Человек, который выучился чему–нибудь самостоятельно, без систематического обучения и без руководителя
самохвал|Человек, который занимается самохвальством, бахвал
самохвалка|Женщина, которая занимается самохвальством, бахвалка
самохвальский|Относящийся к самохвальству
самохвальство|Расхваливание самого себя
самоход|Самоходная машина, механизм
самоходка|Самоходная машина, механизм
самоходный|Движущийся собственной тягой
самоходом|Двигаясь своим ходом, на собственной тяге
самоцвет|Самоцветный камень
