самоход|Самоходная машина, механизм  
самоходка|Самоходная машина, механизм  
самоходный|Двигающийся собственной тягой  
самоходный|Самоходная артиллерийская установка, название самоходного артиллерийского орудия до конца второй мировой войны  
самоходом|Двигаясь своим ходом, на собственной тяге  
самоцвет|Самоцветный камень  
самоцветный|О драгоценных и полудрагоценных минералах, поделочных камнях: блестящий, с красивой окраской  
самоцель|Цель, достижение которой не предполагает дальнейших устремлений, новых задач  
самочинный|Совершаемый незаконно, самоуправный  
самочинность|Совершаемый незаконно, самоуправный  
самочинствовать|Поступать самочинно, самоуправствовать  
самочинство|Поступать самочинно, самоуправствовать  
самочувствие|Состояние физических и душевных сил человека  
самум|Сухой, знойный ветер пустынь, налетающий шквалом и образующий песчаные вихри  
самурай|В феодальной Японии: член военно-феодального сословия, а также его светской верхушки  
самурай|О японских военных  
самшит|Небольшое южное вечнозеленое дерево или кустарник с очень плотной и тяжелой древесиной  
самый|Употребляется для уточнения при словах «этот», «тот», а также при личном местоимении в значении именно  
самый|Употребляется для уточнения места и времени в значении прямо, как раз, непосредственно  
самый|Подчеркивает определяемое существительное в значении взятый сам по себе, как таковой  
самый|При прилагательном образует его превосходную степень, а при существительном указывает на крайнюю степень количества или качества  
самый|Означает своевременность: самое подходящее время, самая подходящая пора, именно сейчас  
сан|Звание, связанное с почетным положением  
сан|Звание служителя христианского религиозного культа  
сан|Сокращение в значении санитарный  
санаторий|Стационарное учреждение для лечения, профилактики заболеваний и отдыха  
сангвиник|Человек сангвинического темперамента  
сангвинический|Темперамент, характеризующийся живостью, легкой возбудимостью, быстрой сменой эмоций  
сандал|Дерево южных стран с ароматической древесиной  
сандал|Краска, обычно красная, добываемая из древесины сандала и некоторых других деревьев  
сандалеты|Род легких туфель  
сандалия|Легкие летние туфли без каблуков  
сандалить|Красить сандалом  
сандалить|Натирать до блеска  
сандвич|Бутерброд, покрытый ломтиком хлеба  
сани|Зимняя повозка на полозьях  
сани|Спортивный снаряд на полозьях для скоростного спуска по специально оборудованной ледяной трассе  
санинструктор|Санитарный инструктор, младший медицинский работник в армии, имеющий специальную подготовку  
санировать|Оздоровить что–нибудь  
санитар|Младший медицинский работник, занимающийся гигиеническим уходом за больными и ранеными, уборкой помещений лечебного учреждения  
санитария|Относящиеся к системе здравоохранения меры по поддержанию чистоты, соблюдению правил гигиены  
санитарный|Осуществляющий мероприятия по санитарии, связанный с требованиями санитарии  
санитарный|В армии: относящийся к медицинской службе  
санитарный|Оздоровительный, очищающий  
санки|То же, что сани  
санки|Небольшие ручные сани  
санкционировать|Дать или давать санкцию чему–нибудь  
санкция|Утверждение чего–нибудь высшей инстанцией, разрешение  
санкция|Мера, принимаемая против стороны, нарушившей соглашение, договор, а также вообще та или иная мера воздействия по отношению к правонарушителю  
сановитый|То же, что сановный  
сановитый|Свойственный человеку высокого сана  
сановник|Крупный чиновник, занимающий высокое положение  
сановный|Обладающий высоким саном  
саночник|Спортсмен, занимающийся санным спортом  
санпропускник|Санитарный пропускник, санитарно–профилактическое дезинфекционное учреждение  
санскрит|Литературный язык Древней Индии  
санта-клаус|В некоторых зарубежных странах: традиционный персонаж рождественских и новогодних праздников – седобородый старик, приносящий подарки  
сантехник|Санитарный техник, специалист по санитарной технике  
сантехника|Санитарная техника  
санти|Первая часть сложных слов со значением единицы, равной одной сотой доле той единицы, которая названа во второй части сложения  
сантим|Мелкая монета во Франции, Бельгии, Швейцарии и некоторых других странах, сотая часть франка  
сантименты|Проявление излишней чувствительности в словах, поступках  
сантиметр|Единица длины, сотая часть метра  
сантиметр|Измерительная линейка, лента с делениями такой меры  
санузел|Санитарный узел – ванная (умывальник, душ) и туалет  
санэпидстанция|Санитарно–эпидемиологическая станция
