сатуратор|Аппарат для газирования жидкостей
сатурнианский|Относящийся к планете Сатурн
сауна|Финская баня с горячим сухим воздухом в парной и холодным бассейном
сафари|Одежда прямого покроя из светлой плотной ткани с карманами и отстрочкой, имитирующая костюм охотников в африканских заповедниках
сафари|Об одежде: такого покроя, фасона
сафьян|Тонкая и мягкая козья или овечья кожа, специально выделанная и окрашенная в яркий цвет
сахар|Кристаллическое питательное белое сладкое вещество, получаемое из сахарной свеклы или из сахарного тростника
сахар|Название некоторых органических соединений из группы углеводов
сахар|О ком–нибудь неприятном, трудном (не мед, не подарок)
сахарок|Уменьшительное к слову сахар
сахарин|Белый сладкий порошок – заменитель сахара
сахаристый|Похожий на сахар; сладкий
сахаристый|Содержащий в себе, выделяющий из себя сахар
сахарить|Добавлять к чему–нибудь сахар, посыпать сахаром
сахарница|Предмет чайной посуды для сахара
сахарно–белый|Белый, как сахар, чисто–белый
сахарный|Чисто–белый, цвета сахара
сахарный|Слащавый, нежный, умильный
сахарный|Относящийся к сахару или изготовленный из сахара
сахаро...|Первая часть сложных слов со значением относящийся к сахару
сахаровара|Специалист по сахароварению
сахароварение|Промышленное изготовление сахара
сахароза|Тростниковый или свекловичный сахар, образуемый остатками глюкозы и фруктозы
сахарозаводчик|Владелец сахарного завода
сачковать|Уклоняясь от работы, бездельничать, лентяйничать
сачок|Конусообразный сетчатый мешок на ручке для ловли рыб, летающих насекомых
сачок|Бездельник, лентяй, уклоняющийся от работы
сбавить|То же, что убавить
сбавлять|То же, что убавлять
сбавление|Действие по значению глагола сбавить
сбавка|Действие по значению глагола сбавить
сбавочный|Связанный со сбавкой
сбагрить|То же, что сплавить (в значении избавиться от чего–нибудь)
сбагривать|То же, что сплавлять (в значении избавляться от чего–нибудь)
сбалансировать|Уравновесить, согласовать, соразмерить
сбалансированность|Состояние равновесия, соразмерности
сбегать|Сходить куда–нибудь быстро, бегом
сбежать|Бегом спуститься вниз, а также быстро спуститься откуда–нибудь
сбежать|Убежать тайком
сбежать|Исчезнуть, удалиться
сбежаться|О многих: бегом собраться в одном месте, а также вообще быстро собраться вместе
суметь сбежаться|То же, что сбежаться
сберегательный|Относящийся к сбережению
сбережение|Не истратить, не израсходовать напрасно, без необходимости
сбережения|Накопленная сумма денег
сберечь|Не истратить, не израсходовать напрасно, без необходимости
сберечь|Не дать исчезнуть или не дать потерпеть ущерб
сберегать|Осуществлять процесс сбережения
сберегаться|Сохраняться неповрежденным, неутраченным, неизрасходованным
сберечься|Сохраниться неповрежденным, неутраченным, неизрасходованным
сбивать|Заставлять упасть, сшибать, ударом сдвигать с места
сбиваться|Становиться похожим на что–нибудь, напоминая собой что–нибудь
сбивной|Связанный с процессом сбивания
сбивчивый|Запутанный, непоследовательный
сбивчивость|Свойство быть запутанным, непоследовательным
сбирать|То же, что собирать
сбитенщик|В старину продавец сбитня
сбитенщица|В старину женщина–продавец сбитня
сбитень|В старину: горячий напиток из меда с пряностями
сбитенный|Связанный со сбитнем
сбить|Заставить упасть, сшибить, ударом сдвинуть с места
сбить|Стоптать, скривить
сбить|Повредить себе ударами или ходьбой, стереть
сбить|Снизить, убавить
сбить|Отклонить от правильного пути; запутать
сбивание|Действие по значению глагола сбить
сбивка|Действие по значению глагола сбить
сбить|Ударами соединить, составить
сбить|Ударами превратить в плотную массу
сбить|Собрать вместе, соединить
сбитой|Связанный с процессом сбивания
сбитый|Сделанный посредством сбивания
сбиться|Сдвинуться с места
сбиться|Отклониться от правильного хода мыслей, ошибиться, спутаться
сбиться|Дать перебой в работе, в движении
сбиться|То же, что заблудиться
сбиться|Стоптаться, скривиться
сбиться|Повредиться от ударов, трения, ходьбы
сбиваться|Осуществлять процесс сбивания
сбой|Дать перебой в работе, в движении
сбиться|Сгуститься от взбалтывания, превратиться в плотную массу
сбиться|Соединиться вместе, плотно
сблизить|Сделать близким, ближе
сближать|Делать ближе
сближение|Процесс становления близким
сблизиться|Сделаться близким, ближе
сближаться|Становиться ближе
сбой|Заминка в беге лошади, а также скачок при переходе на рысь
сбой|Голова, ноги и внутренности убитого животного, употребляемые как пища
сбойный|Связанный со сбоем
сбоку|С боковой стороны чего–нибудь
сбоку|Около, рядом с кем–нибудь
