свидеться|См. видеться  
свилеватый|О дереве: со свилью  
свилеватость|Свойство дерева быть со свилью  
свиль|Место в древесине с волнистым, сильно изогнутым или спутанным расположением волокон  
свиль|Волнистая прослойка в стекле, керамике  
свинарник|Помещение для свиней  
свинарный|Относящийся к помещению для свиней  
свинарня|Помещение для свиней  
свинарь|Работник, занимающийся уходом за свиньями  
свинарка|Работница, занимающаяся уходом за свиньями  
свинец|Мягкий, ковкий, тяжелый металл синевато-серого цвета  
свинцовый|Синевато-серый, цвета свинца  
свинцовый|Очень тяжелый  
свинцовость|Свойство быть синевато-серым или очень тяжелым  
свинина|Свиное мясо как пища  
свинка|Вирусное (обычно детское) заболевание — воспаление околоушных желез  
свинка|Маленькая свинья  
свинка|Самка свиньи  
свинушный|Относящийся к заболеванию свинка  
свиновод|Специалист по свиноводству, работник на свиноферме  
свиноводство|Разведение свиней как отрасль животноводства  
свиноводческий|Относящийся к свиноводству  
свиноматка|Самка домашней свиньи, дающая приплод  
свиноматочный|Относящийся к свиноматке  
свинопас|Пастух свиного стада  
свиноферма|Свиноводческая ферма  
свинский|Грязный, некультурный  
свинский|Подлый, являющийся свинством  
свинство|Низкий поступок, подлость  
свинство|Грязь, полное отсутствие порядка  
свинтить|Соединить, скрепляя винтом, винтами  
свинтить|Снять, вращая по винтовой нарезке  
свинчивать|Соединять, скрепляя винтом, винтами  
свинчивание|Действие по значению «соединить, скрепляя винтами»  
свинтус|Тот, кто поступил, поступает по-свински  
свинуха|Пластинчатый гриб с желто-бурой вдавленной шляпкой  
свинушка|Пластинчатый гриб с желто-бурой вдавленной шляпкой  
свист|Резкий и высокий звук, производимый без участия голоса  
свист|Голос некоторых птиц и животных такого тембра и высоты  
свист|Звук, производимый быстро рассекающим воздух предметом, резким движением воздуха  
свистать|Издавать свист  
свистеть|Издавать свист  
свистеть|Подзывать свистом  
свистнуть|Издать свист  
свистнуть|Сильно, с размаху ударить  
свистнуть|Украсть  
свистковый|Относящийся к свистку  
свисток|Приспособление, при помощи которого производят свист  
свисток|Свист, произведённый таким приспособлением  
свистопляска|Разнузданное проявление чего-либо отрицательного  
свистулька|То же, что свисток  
свистун|Человек, который любит свистеть; тот, кто свистит  
свистун|Пустой и легкомысленный человек, пустышка  
свистунья|Женщина, которая любит свистеть; тот, кто свистит  
свита|Лица, сопровождающие какую-нибудь важную особу  
свитский|Относящийся к свите  
свитка|Вверхняя длинная распашная одежда из домотканого сукна  
свитковый|Относящийся к свитке  
свитер|Тёплая вязаная фуфайка без застёжек с высоким воротом  
свиток|Свернутая трубкой, валиком рукопись на полосе бумаги или другого писчего материала  
свить|См. вить  
свиться|Свернуться кольцом  
свиться|Плотно соединиться, сцепиться  
свиваться|Плотно соединяться, сцепляться  
свивание|Действие по значению «свиваться»  
свихнуть|То же, что вывихнуть  
свихнуть|Свернуть себе шею  
свихнуть с ума|Помешаться, свихнуться  
свихивать|То же, что вывихивать  
свихнуться|То же, что помешаться  
свихнуться|Сбиться с правильного жизненного пути, с правильных позиций  
свихиваться|Проявлять признаки сумасшествия, неадекватности  
свищ|Изъян в чем-либо в виде скважины  
свищ|Скрытая пустота, раковина в металлическом литье  
свищ|Канал, образовавшийся или искусственно образованный в тканях организма  
свищевой|Относящийся к свищу  
свирель|Народный музыкальный инструмент в виде дудки из дерева, тростника  
свирельный|Относящийся к свирели  
свирепеть|Становиться свирепым, свирепее  
рассвирепеть|Становиться очень свирепым  
свирепствовать|Быть свирепым, поступать свирепо  
свирепствовать|О стихийном бедствии или чем-либо тяжёлом, грозном: проявляться с большой силой  
свирепый|Зверский, жестокий, неукротимый; выражающий жестокость  
свирепый|Очень сильный, пагубный  
свирепость|Свойство быть свирепым  
свиристель|Лесная птица отряда воробьиных  
свиристелевый|Относящийся к свиристелю  
свиристеть|Издавать свистящие звуки с шипением, скрипом  
свисать|Быть опущенным вниз, находиться в висячем положении  
свисать|Висеть неровно, спускаться ниже чего-либо  
свиснуть|Висеть неровно, опуститься вниз  
свинчатка|Кость для игры в бабки, налитая свинцом  
свинчатка|Слиток, кусок свинца  
свинья|Парнокопытное нежвачное животное с крупным телом и короткими ногами  
свинья|Домашнее животное этого семейства, разводимое для получения мяса, сала, щетины  
свинья|Самка такого животного  
свинья|О том, кто поступает низко, подло, а также о грязном человеке, неряхе  
свиное|Относящийся к свинье, свинине  
свиной|Относящийся к свинье, свинине  
свинячий|Относящийся к свинье или свиным поступкам  
свинячить|Вести себя по-свински  
насвинячить|Сделать что-либо по-свински, нагрубить  
морская свинка|Небольшой южноамериканский грызун
