свить|Смотреть вить
свиться|Свернуться кольцом
свиться|О чем–нибудь гибком, вьющемся: плотно соединиться, сцепиться
свихнуть|То же, что вывихнуть
свихнуть|Свернуть себе шею
свихнуть|Помешаться, свихнуться
свихнуться|Помешаться
свихнуться|Сбиться с правильного жизненного пути, с правильных позиций
свищ|Изъян в чем–нибудь в виде скважины
свищ|Скрытая пустота, раковина в металлическом литье
свищ|Канал, образовавшийся или искусственно образованный в тканях организма, выходящий на поверхность тела или соединяющий полые органы между собой
свищеватый|Со свищом, свищами
свиязь|Птица семейства утиных
свобода|В философии: возможность проявления субъектом своей воли на основе осознания законов развития природы и общества
свобода|Отсутствие стеснений и ограничений, связывающих общественно–политическую жизнь и деятельность какого–нибудь класса, всего общества или его членов
свобода|Вообще — отсутствие каких–нибудь ограничений, стеснений в чем–нибудь
свобода|Состояние того, кто не находится в заключении, в неволе
свободный|Пользующийся свободой
свободный|Не запрещенный, беспрепятственный
свободный|Не затруднённый, совершающийся легко, без помех
свободный|Непринужденный, не испытывающий стеснения
свободный|Никем или ничем не занятый
свободный|Просторный, не тесный
свободный|Относящийся к досугу, не к рабочему времени; не занятый работой, служебными обязанностями
свободный|Не имеющий чего–нибудь, такой, которому не присуще что–нибудь
свободный|Может идти, его больше не задерживают
свободный|Просто, легко, без помех
свободолюбивый|Любящий свободу, проникнутый стремлением к свободе, к независимости
свободомыслие|Независимый и свободный образ мыслей
свободомыслие|Отрицание религии с позиций разума и науки
свободомыслящий|Отличающийся свободомыслием
свод|Смотреть свести
свод|Сведённые в одно целое и расположенные в известном порядке сведения, материалы, тексты
свод|Дугообразное перекрытие, соединяющее стены, опоры какого–нибудь сооружения, а также внутренняя верхняя часть чего–нибудь, напоминающая такое перекрытие
сводить|Отвести и привести обратно
сводка|Смотреть свести
сводка|Документ, содержащий свод каких–нибудь сведений, данных; информация, суммирующая такие сведения
сводник|Человек, занимающийся сводничеством
сводница|Женщина, занимающаяся сводничеством
своднический|Относящийся к сводничеству
сводничать|Заниматься сводничеством
сводничество|Корыстное посредничество между мужчиной и женщиной для содействия вступлению их в любовные отношения
сводной|Такой, который можно свести, переводной
сводный|Собранный из разных мест, составленный из чего–нибудь, из различных частей
сводный|Приходящийся кому–нибудь братом или сестрой по отчиму или мачехе
сводня|То же, что сводница
сводчатый|Образующий свод, своды, со сводами
своевластный|То же, что своевольный
своевластие|Действие своевластного; обладание своевластием
своевластность|Качество своевластного
своевольник|Своевольный человек
своевольница|Женщина, делающая что–нибудь своевольно
своевольничать|Поступать своевольно
своевольный|Поступающий по своей прихоти; совершаемый по произволу
своеволие|Поступок по своей прихоти
своевольность|Свойство своевольного
своевольство|Поступок по своей прихоти
своевременный|Осуществляемый в своё время, в нужный момент, кстати
своевременность|Качество своевременного
своекорыстный|Преследующий только свои, личные выгоды, корыстный
своекорыстие|Поведение своекорыстного
своекорыстность|Свойство своекорыстного
своекоштный|Об учащихся: содержащийся и обучаемый на свой кошт; противоположно казённокоштный
своенравный|Упрямый, капризный, поступающий так, как вздумается
своенравие|Качество своенравного, упрямство, капризность
своенравность|Свойство своенравного
своеобразный|Отличный от других, не похожий на обычное, оригинальный
своеобразный|В чем–то сходный с кем–нибудь, чем–нибудь по своим качествам, особенностям; нечто вроде, своего рода
своеобразие|Качество своеобразного
своеобразность|Свойство своеобразного
своевычный|То же, что своеобразный
своевычность|Свойство своеобычного
своз|Смотреть свозить
свозить|Смотреть свезти
свозить|Отвезти и привезти обратно
свой|Принадлежащий себе, имеющий отношение к себе
свой|Собственный, составляющий чьё–нибудь личное достояние
свой|Своеобразный, свойственный только чему–нибудь одному, данному
свой|Подходящий, свойственный чему–нибудь, предназначенный именно для данного обстоятельства, предмета
свой|Родной или связанный близкими отношениями, совместной деятельностью
свой|То, что принадлежит, свойственно или присуще кому–нибудь, чему–нибудь
своийский|О человеке: простой и доступный
свойственник|Человек, который состоит в свойстве с кем–нибудь
свойственница|Женщина, которая состоит в свойстве с кем–нибудь
свойственный|Составляющий чьё–нибудь свойство, привычный для кого–чего–нибудь
свойственность|Свойство быть свойственным
свойство|Качество, признак, составляющий отличительную особенность кого–чего–нибудь
свойство|Отношение между людьми, возникающее из брачного союза одного из родственников
сволота|То же, что сволочь
сволочить|То же, что сволочь
сволакивать|Волочить, сносить что–нибудь в одно место
сволочной|Подлый, негодный, дрянной
сволочь|Негодяй, мерзавец
сволочь|Сброд, подлые люди
сволочь|Волоча, снять с чего–нибудь
сволочь|Волоча, снести в одно место
свора|Две борзых или две пары борзых собак на сворке
свора|Борзые собаки, принадлежащие одному хозяину, а также вообще несколько собак, сошедшихся вместе
свора|То же, что сворка
свора|Сборище, шайка
сворный|Относящийся к своре
сворачивать|Смотреть свернуть и своротить
сворка|Ремень, на котором водят охотничьих собак
