сглупа|То же, что сдуру  
сглупить|То же, что глупить  
сгнивать|Гнить, подвергаться гниению  
сгнить|То же, что гнить  
сгноить|То же, что гноить  
сговор|Соглашение в результате переговоров (обычно неодобрительно)  
сговор|Помолвка, соглашение между родителями жениха и невесты  
сговорить|Дать или получить согласие на чей–нибудь брак, осуществить сговор  
сговориться|Условиться, согласиться относительно каких–либо действий  
сговориться|Достигнуть взаимного понимания, соглашения в беседе  
сговорчивый|Такой, с которым легко сговориться, покладистый  
сгодиться|То же, что пригодиться  
сгон|То же, что согнать  
сгонка|То же, что согнать  
сгонять|Быстро сбегать или съездить куда–нибудь  
сгонять|Послать с поручением  
сгорать|То же, что гореть (в соответствующих значениях)  
сгорание|Процесс горения  
сгорбить|То же, что горбить  
сгорбиться|То же, что горбиться  
сгореть|То же, что гореть  
сгоряча|В порыве сильного чувства, погорячившись и не подумав  
сготовить|То же, что готовить  
сгрести|Гребя, собрать в одно место что–нибудь сыпучее, рассыпающееся  
сгрести|Гребя, скинуть  
сгрести|Неловко, неуклюже схватить, обхватить  
сгрудиться|Собраться в тесную группу, в кучу, образовать толпу  
сгрузить|Снять груз с чего–нибудь  
сгруппировать|То же, что группировать  
сгруппироваться|То же, что группироваться  
сгрызть|Съесть, грызя  
сгубить|То же, что губить  
сгустить|Сделать густым, гуще  
сгустить|Изображая, рассказывая, представить что–нибудь в слишком мрачном свете  
сгуститься|Стать густым, гуще  
сгусток|Комок сгустившейся жидкости  
сгущенка|Сгущенное молоко  
сдабривать|То же, что сдобрить  
сдавать|Передавать кому–нибудь имеющееся, исполненное, порученное  
сдавать|Отдавать внаем  
сдавать|Уступать, отдавать неприятелю  
сдавать|Ослаблять, уменьшать  
сдавать|Возвращать излишек при денежном расчете  
сдавать|Раздавать играющим (карты)  
сдавать|Выдерживать испытание на знания, умение  
сдавать|Становиться слабее, тише, хуже  
сдаваться|Прекращать сопротивление, признавать себя побежденным  
сдаваться|Уступать под влиянием чего–либо  
сдаваться|Понадобиться, стать нужным для чего–нибудь  
сдавить|Давя, сжать с силой  
сдавленный|О голосе, стоне: приглушенный, ослабленный  
сдатчик|Лицо, производящее сдачу продукции, имущества  
сдатчица|Женщина, производящая сдачу продукции, имущества  
сдать|Передать кому–нибудь имеющееся, исполненное, порученное  
сдать|Отдать внаем  
сдать|Уступить, отдать неприятелю  
сдать|Ослабить, уменьшить  
сдать|Возвратить излишек при денежном расчете  
сдать|Раздать играющим (карты)  
сдать|Выдержать испытание на знания, умение  
сдать|Стать слабее, тише, хуже  
сдаться|Прекратить сопротивление, признать себя побежденным  
сдаться|Уступить под влиянием чего–нибудь  
сдаться|Понадобиться, стать нужным для чего–нибудь  
сдача|Передача кому–нибудь имеющегося, исполненного, порученного  
сдача|Излишек денег, возвращаемый при расчете  
сдваивать|То же, что сдвоить  
сдвиг|Заметное улучшение, изменение в состоянии, развитии чего–нибудь  
сдвиг|Горизонтальное смещение геологического слоя  
сдвиг|То же, что отклонение  
сдвинуть|Двигая, переместить  
сдвинуть|Двигая, сблизить  
сдвинуться|Переместиться, двигаясь  
сдвинуться|Двигаясь, сблизиться  
сдвоить|Сделать что–нибудь двойным  
сдвоить|То же, что вздвоить  
сдвоение|Сделать двойным  
сдваивание|Процесс удваивания  
сдвоенный|Сделанный двойным  
сдвоенный|Удвоенный  
сдвурушничать|То же, что двурушничать
