сенсуалист|Последователь сенсуализма  
сенсуалистка|Последовательница сенсуализма  
сенсуальный|Основанный на субъективных чувствах, ощущениях  
сенсуальность|Свойство быть основанным на субъективных чувствах, ощущениях  
сентенция|Нравоучительное изречение  
сентенциозный|Содержащий сентенции, склонный к назидательности  
сентиментализм|Художественное направление, характеризующееся вниманием к душевной жизни человека, чувствительностью и идеализированным изображением людей, жизненных ситуаций, природы  
сентиментализм|Сентиментальное отношение к чему–нибудь  
сентименталист|Последователь сентиментализма  
сентименталистский|Связанный с сентиментализмом  
сентиментальничать|Быть сентиментальным, вести себя сентиментально, нежничать  
сентиментальничать|Обращаться с кем–нибудь чрезмерно мягко, снисходительно  
сентиментальность|Свойство быть сентиментальным  
сентиментальность|Сентиментальный поступок, сентиментальное выражение  
сентиментальный|Основанный на принципах сентиментализма  
сентиментальный|Слащавый, а также такой, которому легко растрогаться, умилиться  
сентиментальный|Способный легко растрогаться, расчувствоваться  
сентябрь|Девятый месяц календарного года  
сентябрьский|Относящийся к сентябрю  
сень|То, что покрывает, укрывает кого–либо, что–либо  
сень|Под укрытием, под защитой чего–нибудь  
сеньор|В средневековой Европе: землевладелец, имеющий в своих владениях права государя  
сеньор|В Испании: господин, а также форма вежливого обращения или упоминания  
сеньора|Женщина, к которой обращаются или которую называют сеньорой  
сепаративный|Проникнутый сепаратизмом  
сепаративность|Свойство быть проникнутым сепаратизмом  
сепаратизм|Стремление к отделению, обособлению  
сепаратист|Сторонник сепаратизма  
сепаратистка|Сторонница сепаратизма  
сепаратистский|Свойственный сторонникам сепаратизма  
сепаратный|Отдельный, обособленный от других  
сепаратность|Свойство быть отдельным, обособленным  
сепаратор|Аппарат для отделения жидких или твердых частиц от газа, твердых – от жидкости, а также для разделения смесей на составные части  
сепараторный|Связанный с сепаратором  
сепия|То же, что каракатица  
сепия|Коричневое красящее вещество, выделяемое этим моллюском  
сепия|Сорт серо–коричневой краски, рисунок, выполненный такой краской, или фотография коричневого тона  
сепсис|Инфекционное заболевание – заражение крови болезнетворными микробами  
септический|Свойственный сепсису  
септима|В музыке: седьмая ступень гаммы, а также интервал, охватывающий семь ступеней звукоряда  
сера|Химический элемент – желтое горючее вещество, применяемое в технике и медицине  
сера|Желтое жирное вещество, образующееся в ушном канале  
серный|Связанный с серой  
сераль|Дворец турецкого султана  
сераль|То же, что гарем  
серафим|В христианстве: ангел, относящийся к одному из высших ангельских чинов  
серафимский|Связанный с серафимом  
серболужицкий|Относящийся к серболужицкому народу, их языку, культуре  
серболужичане|То же, что лужичане  
серболужичанка|Женщина, принадлежащая к серболужичанам  
сербский|Относящийся к сербам, их языку, национальному характеру, образу жизни, культуре, а также к Сербии, ее территории, внутреннему устройству, истории; такой, как у сербов, как в Сербии  
сербы|Народ, составляющий основное население Сербии  
сербка|Женщина из числа сербов  
сербиянка|Женщина из Сербии  
сервант|Род шкафа для посуды и столового белья  
сервантный|Связанный с сервантом  
сервелат|Сорт копченой колбасы  
сервиз|Полный набор столовой, чайной, кофейной или другой посуды, подаваемой на стол, на определенное количество человек  
сервизный|Связанный с сервизом  
сервировать|Приготовить или расставить на столе для еды (посуду, кушанья)  
сервировка|Действие по приготовлению или расставлению посуды, кушаний на столе; убранство стола  
сервировочный|Связанный с сервированием  
сервис|То же, что обслуживание  
сервисный|Связанный с сервисом  
сердечко|Уменьшительное от сердце; то же, что сердце в значении символического изображения, или медальон, вырез в ставне, наличнике  
сердечник|Стержень, являющийся внутренней частью чего–нибудь, на который навивается, надевается что–нибудь  
сердечник|Человек, страдающий болезнями сердца  
сердечник|Врач–кардиолог  
сердечница|Женщина, страдающая болезнями сердца  
сердечный|Задушевный, искренний; добрый  
сердечный|Относящийся к любви между мужчиной и женщиной, любовный  
сердечная|Женщина, к которой обращаются с оттенком жалости, сострадания  
сердечность|Свойство быть сердечным, искренним  
сердитый|Склонный сердиться, раздражительный  
сердитый|Выражающий раздражение, гнев  
сердитый|Такой, который сердится, рассержен  
сердитый|Сильно действующий, крепкий, забористый  
сердитый|О ветре, морозе: очень сильный  
сердитость|Свойство быть сердитым  
сердить|Раздражать, заставлять сердиться  
рассердить|Вызвать раздражение, заставить сердиться  
сердиться|Быть в раздражении, гневе, чувствовать злобу к кому–нибудь  
рассердиться|Испытать раздражение, гнев  
сердобольничать|Быть излишне сердобольным  
сердобольный|Сострадательный, жалостливый  
сердобольность|Свойство быть сердобольным  
сердолик|Полудрагоценный камень красного или оранжевого цвета, разновидность халцедона  
сердоликовый|Связанный с сердоликом  
сердце|Центральный орган кровеносной системы в виде мышечного мешка  
сердце|Этот орган как символ души, переживаний, чувств, настроений  
сердце|Важнейшее место чего–нибудь, средоточие  
сердце|Символическое изображение средоточия чувств  
сердечко|Уменьшительное от сердце, ласковое обращение  
сердчишко|Уменьшительно–ласкательное от сердце  
сердечный|Связанный с сердцем  
сердечные|Связанные с любовью  
сердечная недостаточность|Неспособность сердца обеспечить нормальное кровоснабжение органов  
сердце|Гнев, раздражение (в некоторых выражениях)  
сердце|В выражениях: иметь гнев, обиду на кого–нибудь; быть в раздражении  
сердцебиение|Биение, ритм сердца  
сердцебиение|Ощущение учащенных и усиленных сокращений сердца  
сердцевед|Знаток человеческой души  
сердцеведка|Женщина, знаток человеческой души  
сердцевидный|По очертаниям похожий на сердце  
сердцевидность|Свойство быть похожим по очертанию на сердце  
сердцевина|Средняя, рыхлая часть стебля, ствола, корня растения  
сердцевина|Внутренняя, средняя часть чего–нибудь, например, плода  
сердцевина|Средоточие, центр  
сердцевинный|Связанный с сердцевиной  
сердцеед|Человек, который легко влюбляет в себя, покоритель сердец  
сердцеедка|Женщина, которая легко влюбляет в себя  
серебрёный|Покрытый слоем серебра, подвергшийся серебрению
