сердцевед|Знаток человеческой души  
сердцеведка|Знаток человеческой души  
сердцевидный|По очертаниям похожий на сердце  
сердцевидность|По очертаниям похожий на сердце  
сердцевина|Средняя, рыхлая часть стебля, ствола, корня растения  
сердцевина|Внутренняя, средняя часть чего–нибудь, например, плода  
сердцевина|Средоточие, центр  
сердцевинный|Средняя часть стебля, ствола, корня растения  
сердцеед|Человек, который легко влюбляет в себя, покоритель сердец  
сердцеедка|Человек, который легко влюбляет в себя, покоритель сердец  
серебрёный|Подвергшийся серебрению, покрытый слоем серебра  
серебристо-|Первая часть сложных слов со значением серебристый, с серебристым оттенком  
серебристый|Цвета серебра, отливающий серебром, с серебряным оттенком, отливом  
серебристый|То же, что серебряный  
серебристость|Цвета серебра, отливающий серебром, с серебряным оттенком, отливом  
серебрить|Покрывать тонким слоем серебра  
серебрить|Окрашивать в серебристый цвет  
серебрение|Покрывание тонким слоем серебра  
серебриться|Становиться серебристым  
серебриться|О серебряном, серебристом: виднеться  
серебро|Драгоценный блестящий металл серовато-белого цвета  
серебро|Изделия из такого металла  
серебро|Мелкие разменные монеты из сплава с таким металлом или никелем  
серебро|Посеребрённые нити  
серебро-|Первая часть сложных слов со значением относящийся к серебру; серебристый, цвета серебра  
сереброносный|О горных породах, пластах: содержащий в себе серебро  
сереброносность|Содержащий серебро  
серебряник|Мастер по серебрению  
серебряный|Драгоценный блестящий металл серовато-белого цвета  
серебряный|Блестяще-белый, цвета серебра  
серебряный|О звуке, голосе: мелодично-звонкий, высокого тона  
середина|Средняя часть чего–нибудь, равно отстоящая от границы, краёв или от начала и конца  
середина|Промежуток между приблизительно равными частями чего–нибудь  
серединка|Средняя часть чего–нибудь, равно отстоящая от границы, краёв или от начала и конца  
середняк|Крестьянин-единоличник среднего достатка, обрабатывающий землю своими силами, не прибегая к наёмному труду  
середняк|Человек посредственных способностей, ничем не выдающийся  
середнячок|Крестьянин-единоличник среднего достатка, обрабатывающий землю своими силами, не прибегая к наёмному труду  
середнячка|Крестьянин-единоличник среднего достатка, обрабатывающий землю своими силами, не прибегая к наёмному труду  
середняцкий|Крестьянин-единоличник среднего достатка, обрабатывающий землю своими силами, не прибегая к наёмному труду  
серенада|В Западной Европе: приветственная песня под аккомпанемент лютни, мандолины или гитары, преимущественно в честь возлюбленной  
серенада|Род лирического музыкального произведения  
сереть|Становиться серым, серее  
сереть|О чём–нибудь сером: виднеться  
посереть|Становиться серым, серее  
серёдка|Внутренняя часть чего–нибудь, середина  
серёжка|см. серьга  
серёжка|Соцветие в виде поникающей кисти мелких цветов  
сержант|Звание младшего начальствующего состава в армии, а также лицо, имеющее это звание  
сержантский|Относящийся к званию младшего начальствующего состава в армии  
сериал|На телевидении, в кино: многосерийный фильм с несколькими сюжетными линиями, а также вообще многосерийная программа  
сериальный|Относящийся к многосерийному фильму или программе  
серийный|Относящийся к изготовлению сериями  
серийность|Относящийся к изготовлению сериями  
