сжевать|Разжевав, съесть, проглотить  
сжигать|То же, что жечь  
сжидить|Превратить в жидкое состояние  
сжижать|Превратить в жидкое состояние  
сжигание|Превратить в жидкое состояние  
сжинать|То же, что жать  
сжить|Создав невыносимые условия, не дать жить кому–нибудь где–нибудь  
сживать|Создав невыносимые условия, не дать жить кому–нибудь где–нибудь  
сживание|Создав невыносимые условия, не дать жить кому–нибудь где–нибудь  
сжиться|Живя вместе, привыкнуть, сдружиться  
сжиться|Постоянно имея дело с чем–нибудь, привыкнуть  
сживаться|Живя вместе, привыкнуть, сдружиться  
сживаться|Постоянно имея дело с чем–нибудь, привыкнуть  
сживание|Живя вместе, привыкнуть, сдружиться  
сживание|Постоянно имея дело с чем–нибудь, привыкнуть  
сзади|С задней стороны  
сзади|То же, что позади кого–чего–нибудь  
сиамский|Относящийся к сиамцам, к их языку, национальному характеру, образу жизни, культуре, а также к Сиаму, его территории, ее внутреннему устройству, истории; такой, как у сиамцев, как в Сиаме  
сиамский|Сиамские близнецы – соединенные друг с другом какой–нибудь частью тела  
сиамский|Сиамская кошка – порода  
сиамцы|Народ, составляющий более половины населения Таиланда  
сиамка|Женщина из народа сиамцев  
сиамский|Относящийся к сиамцам  
сибарит|Человек, склонный к праздности, изнеженный роскошью  
сибаритка|Женщина, склонная к праздности, изнеженная роскошью  
сибаритский|Относящийся к сибариту  
сибаритничать|Вести себя как сибарит  
сибаритничанье|Поведение, свойственное сибариту  
сибаритство|Поведение сибарита  
сибаритствовать|Вести себя сибаритом, как сибарит  
сибиряк|Житель, уроженец Сибири  
сибирячка|Женщина, жительница, уроженка Сибири  
сибиряцкий|Относящийся к сибиряку  
сивка|Лошадь сивой масти  
сивка|Распространенная кличка деревенской лошадки  
сивко|Лошадь сивой масти  
сивка–бурка|В сказках: лошадь как персонаж, помогающий герою  
сиводушка|Цветная лисица, выведенная путем скрещивания серебристо–черной и красной лисиц, а также мех ее  
сиволапый|Грубый, неуклюжий, неловкий  
сиволапость|Свойство быть грубым, неуклюжим, неловким  
сивуха|Плохо очищенная водка  
сивушный|Относящийся к сивухе  
сивушное масло|Побочный продукт перегонки этилового спирта  
сивуч|Крупное морское млекопитающее семейства ушастых тюленей  
сивучий|Относящийся к сивучу  
сивучиха|Самка сивуча  
сивый|О масти животных, обычно лошадей: серовато–сизый  
сивый|Седой, с проседью  
сивость|Свойство быть сивым  
сиг|Северная промысловая рыба  
сижок|Уменьшительно от сиг  
сиговый|Относящийся к сигу  
сигара|Плотно скрученная и сужающаяся на концах трубочка из сухих табачных листьев  
сигара|Предмет в форме удлиненной, сужающейся на концах трубы, трубки  
сигарка|Уменьшительно от сигара  
сигарный|Относящийся к сигаре  
сигарета|Папироса без мундштука  
сигаретка|Уменьшительно от сигарета  
сигаретный|Относящийся к сигарете  
сигареточный|Относящийся к сигарете  
сигаретница|Портсигар для сигарет  
сигарообразный|Имеющий форму сигары  
сигарообразность|Свойство быть сигарообразным  
сигать|Делать прыжок, прыжки (обычно на бегу)  
сигануть|Делать прыжок, прыжки (обычно на бегу)  
сигнал|Условный знак для передачи на расстояние каких–нибудь сведений, сообщений  
сигнал|То, что служит толчком к началу какого–нибудь действия  
сигнал|Предупреждение, сообщение о чем–нибудь нежелательном  
сигнальный|Относящийся к сигналу  
сигнализация|Устройство для подачи сигналов  
сигнализация|Система сигналов, применяемая где–нибудь  
сигнализировать|Подавать или давать сигнал, сигналы  
сигнализировать|Предупреждать, предостерегать от чего–нибудь  
просигнализировать|Подавать или давать сигнал, сигналы  
сигнализация|Передача сообщения или сигнала  
сигнализационный|Относящийся к сигнализации  
сигналить|Подавать сигнал  
просигналить|Подать сигнал  
сигнальный|Первая сигнальная система – система условнорефлекторных связей, формирующихся у животных и человека при воздействии конкретных раздражителей  
сигнальный|Вторая сигнальная система – свойственная человеку система условнорефлекторных связей, формирующихся при воздействии речевых сигналов  
сигнальщик|Человек, который подает сигналы  
сигнатура|Часть рецепта с указанием способа употребления лекарства, а также копия рецепта, прилагаемая аптекой к изготовленному лекарству  
сигнатурка|Уменьшительно от сигнатура  
сигнатурный|Относящийся к сигнатуре  
сиделка|Женщина, дежурящая у постели тяжелобольного  
сидень|Человек, который ведет малоподвижную, сидячую жизнь  
сидеть|Находиться, не передвигаясь, в таком положении, при котором туловище опирается на что–нибудь нижней своей частью, а ноги согнуты или вытянуты  
сидеть|О птицах, насекомых: находиться неподвижно на одном месте  
сидеть|Находиться в каком–нибудь месте, внутри чего–нибудь; быть помещенным куда–нибудь  
сидеть|Находиться, пребывать в каком–нибудь состоянии или усидчиво заниматься чем–нибудь  
сидеть|Иметь осадку, углубляться в воду  
сидеть|Об одежде: находиться на фигуре, подходя или не подходя к ее формам  
сидеть|Отбывать наказание в тюрьме  
сиживать|Многократное действие по значению «сидеть»  
сидение|Действие по значению «сидеть»  
сидеться|О желании, настроенности сидеть  
сидмя|Сидеть сидмя — то же, что сиднем сидеть
