слева|С левой стороны
слегачить|Действовать как левачить
слега|Толстая жердь, брус
слегка|Не сильно, немного, чуть-чуть
след|Отпечаток чего–нибудь на какой–нибудь поверхности, а также полоса, оставшаяся после движения чего–нибудь
след|Остаток или сохраняющийся признак чего–нибудь
след|Нижняя часть ступни, подошва ноги
след|Убежавший, исчезнувший или пропавший совершенно человек
не след|Не следует, не нужно
следить|Смотреть, наблюдая
следить|Наблюдать, вникая в развитие чего–нибудь, ход чего–нибудь
следить|Наблюдая, заботиться
следить|Наблюдать чьи–нибудь действия с целью собрать какие–нибудь сведения, разоблачить, поймать
следить|Охранять, оберегать
следить|Оставлять следы на полу, пачкая его, а также вообще оставлять свои следы на чем–нибудь
следователь|Должностное лицо, производящее предварительное следствие
следовательно|Значит, стало быть
следовательно|Значит, вследствие этого, поэтому
следовать|Идти следом
следовать|Отправляться, ехать, двигаться
следовать|Руководствоваться чем–нибудь, поступать подобно кому–нибудь
следовать|Быть результатом чего–нибудь, вытекать из чего–нибудь
следовать|Нужно, должно
следовать|Причитаться к уплате
следом|Непосредственно за кем–нибудь или чем–нибудь
следом за кем–чем|После кого–нибудь или чего–нибудь, вслед за кем–нибудь или чем–нибудь
следопыт|Охотник, выслеживающий зверя по следам
следопыт|Человек, который собирает материалы о былых исторических событиях, об исторических лицах
следствие|То, что следует, вытекает из чего–нибудь, результат чего–нибудь, вывод
следствие|Выяснение, расследование обстоятельств, собирание и проверка данных, связанных с преступлением
следуемый|Причитающийся, такой, какой полагается кому–нибудь
следующий|Наступающий непосредственно вслед за чем–нибудь, ближайший после кого–нибудь или чего–нибудь
следующий|Такой, который входит в последующее перечисление или называется в последующей речи
слежаться|Уплотниться или смяться от долгого лежания
слежка|Действие по значению следить
слеза|Прозрачная солоноватая жидкость, выделяемая слезными железами
слеза|Одна капля этой жидкости
слеза|То же, что плач
слеза|Капля влаги на свежем разрезе или разрубе чего–нибудь
слезиться|О глазах: наполняться слезами
слезливый|Склонный часто плакать
слезливый|Плачущий, жалобный
слезница|Письмо со слезной просьбой, жалобой
слезоотделение|Выделение слез слезными железами
слезотечение|Повышенное слезоотделение
слезоточивый|Страдающий слезотечением
слезоточивый|Вызывающий слезотечение
слезоточить|Выделять слезы, страдать слезотечением
слезть|Спуститься, держась, цепляясь за что–нибудь
слезть|То же, что сойти
слезть|Отделиться, отпасть
слепень|Двукрылое насекомое семейства кровососущих
слепец|Слепой человек
слепец|Человек, обманывающийся в чем–нибудь, не замечающий того, что очевидно для всех
слепить|Ослепляя, мешать видеть, смотреть
слепить|Соединить липкое, клейкое; скрепить, намазав липким, клейким
слепить|Изготовить, соединяя что–нибудь клеем
слепиться|О чем–нибудь клейком, липком: соединиться
слепнуть|Становиться слепым, терять зрение
слепоглухонемой|Лишенный зрения, слуха и немой
слепой|Лишенный зрения, способности видеть, незрячий
слепой|Безрассудный, действующий или совершающийся без разумного основания
слепой|Неотчетливый, плохо различаемый
слепой|Совершаемый вслепую, без участия зрения, без видимых ориентиров
слепок|Точное воспроизведение чего–нибудь, выполненное литьем или из затвердевающего материала
слепок|То же, что копия
слепорожденный|Слепой от рождения
слепота|Отсутствие зрения
слепота|Неумение понимать, разбираться в чем–нибудь, правильно судить о чем–нибудь
слесарный|Относящийся к работе слесаря
слесарь|Рабочий — специалист по обработке, сборке и ремонту металлических изделий, деталей
слетать|Летая, побывать где–нибудь и возвратиться обратно
слетать|Быстро сходить, сбегать куда–нибудь
слетаться|Приобрести навык к совместным полетам, выработать слетанность
слететь|Летя, спуститься
слететь|Упасть сверху, свалиться
слететь|Взлетев, покинуть какое–нибудь место
слететь|То же, что соскочить
слететься|О многих: прилететь в одно место с разных сторон
слечь|Заболев, стать лежачим больным, не вставать с постели
слёзный|Жалобный, имеющий цель разжалобить
слёзный|Слезные железы — выделяющие слезную жидкость парные сложные железы, расположенные у верхнего наружного края глазницы, а также в наружной оболочке глаза
