слюда|Прозрачный слоистый минерал  
слюдяной|Относящийся к слюде  
слюна|Бесцветная жидкость, выделяемая в полости рта человека и животного и смачивающая пищу при жевании  
слюнный|Относящийся к слюне  
слюни|То же, что слюна  
слюни|Проявление безволия, нерешительности  
слюни|Расплакаться  
слюнки|То же, что слюна  
слюни|О предвкушении чего-нибудь вкусного, заманчивого  
слюни|С завистью смотреть на то, чего у тебя нет, чего очень хочется  
слюнить|Смачивать слюной  
слюнить|Пачкать слюной  
заслюнить|Пачкать слюной  
наслюнить|Смачивать слюной  
послюнить|Смачивать слюной  
слюноотделение|Выделение слюны  
слюноотделительный|Относящийся к выделению слюны  
слюнотечение|Усиленное выделение слюны  
слюнтяй|Безвольный, бесхарактерный человек  
слюнтяйка|Безвольная, бесхарактерная женщина  
слюнтяйский|Относящийся к безвольному человеку  
слюнявить|То же, что слюнить  
наслюнявить|Смачивать или пачкать слюной  
заслюнявить|Пачкать слюной  
слюнявый|Выпускающий слюни, с текущими слюнями  
слюнявый|Испачканный слюнями  
слюнявость|Свойство быть с текущими слюнями  
слякотный|Полный слякоти, со слякотью  
слякотность|Свойство быть слякотным  
слякоть|Жидкая грязь на земле, на дорогах  
слямзить|Украсть, стащить  
лямзить|Украсть, стащить  
сляпать|Ляпать  
смазать|Покрыть слоем какого-нибудь раствора, слоем чего-нибудь жирного, липкого, густого  
смазать|Размазав, стереть  
смазать|Лишить четкости, определенности, остроты  
смазать|Ударить  
смазывать|Покрывать слоем какого-нибудь раствора, слоем чего-нибудь жирного, липкого, густого  
смазывание|Действие по значению «смазать»  
смазка|Состав, используемый для смазывания в целях уменьшения трения, защиты от коррозии, для герметизации  
смазочный|Относящийся к смазке  
смазаться|О краске, о чем-нибудь намазанном: сойти от трения, прикосновения  
смазаться|Лишиться четкости, определенности, остроты  
смазываться|Сходить от трения, прикосновения  
смазливый|Миловидный, хорошенький  
смазливость|Свойство быть миловидным  
смазной|О кожевенных изделиях: смазываемый ворванью, дегтем  
смазчик|Рабочий, занимающийся смазкой чего-нибудь  
смазчица|Женщина, занимающаяся смазкой чего-нибудь  
смак|Приятное вкусовое ощущение  
смак|Смысл, интерес, острота чего-нибудь  
смаковать|Есть, пить со смаком  
смаковать|Делать, рассказывать, переживать что-нибудь, испытывая особенное удовольствие  
смалец|Вытопленное нутряное свиное сало  
смальцевый|Относящийся к смальцу  
смальта|Кубики или пластинки цветного непрозрачного стекла для мозаичных работ  
смальтовый|Относящийся к смальте  
сманеврировать|Маневрировать  
сманить|Созвать в одно место, привлекая приманкой  
сманить|Переманить кого-нибудь  
сманивать|Созывать в одно место, привлекая приманкой, переманивать  
сманивание|Действие по значению «сманить»  
смарагд|То же, что изумруд  
смарагдовый|Относящийся к смарагду  
смастерить|Мастерить  
сматывать|Смотать  
сматываться|Смотаться  
смахивать|Быть похожим на кого-нибудь, что-нибудь  
смахнуть|Быстрым, резким движением удалить с поверхности чего-нибудь или уронить  
смачивать|Смочить  
смачный|Вкусный (обычно о жирном, сладком)  
смачный|Выразительный, сочный  
смачность|Свойство быть смачными  
смежить|Сомкнуть, закрыть (глаза, веки, уста)  
смежать|Сомкнуть, закрывать (глаза, веки, уста)  
смежник|Предприятие, а также лицо, связанное с другим в производстве продукции  
смежный|Находящийся непосредственно рядом, имеющий общую границу  
смежный|Тесно соприкасающийся, близкий  
смежность|Свойство быть смежным  
смекалистый|Сообразительный, с хорошей смекалкой, сметливый  
смекалистость|Свойство быть смекалистым  
смекалка|Сообразительность, сметливость  
смекать|Соображать, догадываться о чем-нибудь  
смекнуть|Сообразить, догадаться о чем-нибудь  
смелеть|Становиться смелым, решительным  
осмелеть|Стать смелее, решительнее  
смелость|Смелое поведение, решимость  
смелость|Свойство быть смелым  
смелый|Не знающий страха, решительный  
смелый|Отличающийся новизной и оригинальностью, новаторский  
смелый|Выходящий за границы принятого, приличного, вызывающий  
смелый|С легкостью, без помехи, затруднений  
смелый|С полной уверенностью  
смельчак|Смелый человек  
смена|Промежуток времени, по истечении которого сменяются работающие, какие-нибудь группы людей  
смена|Группа людей, работающая, действующая в такой промежуток  
смена|Тот, кто приходит, возникает, заменяя собой кого-нибудь, что-нибудь  
смена|Комплект периодически сменяемой одежды  
сменный|Подлежащий замене, время от времени сменяемый  
сменность|Свойство быть сменным  
сменность|Работа по сменам  
сменить|Использовав, переменить, заменить одно другим  
сменить|Заменить другим  
сменить|Начать действовать вместо другого, заняв чье-нибудь место  
сменить|Появиться вслед за кем-нибудь, чем-нибудь, заменяя собой кого-нибудь, что-нибудь  
сменять|Переменять, заменять  
смениться|Замениться другим, другими  
смениться|Освободиться, дождавшись того, кто должен прийти на смену  
смениться|Пройти, исчезнуть, заменившись чем-нибудь  
сменяться|Заменяться другим, освобождаться  
сменная|Относящаяся к смене
