смешить|Возбуждать в ком–нибудь смех
смешливый|Склонный к смеху
смешливость|Склонность к смеху
смешной|Вызывающий смех
смешной|Достойный насмешки
смешной|Нелепый, ни с чем не сообразный
смешок|Короткий, не сильный смех
смещать|Смотреть сместить
смеяться|Издавать смех
смеяться|То же, что насмехаться
смеяться|Пренебрегать кем–нибудь, не знать страха перед кем–нибудь
смеяться|Говорить в шутку, несерьезно
смёрзнуться|Соединиться, примерзнув друг к другу
смёрзаться|Постепенно соединяться, примерзая друг к другу
смерзание|Процесс соединения примерзнув
смётка|Способность быстро соображать, рассчитывать
смёточный|Смотреть метать
смиловаться|Сжалиться, проявить милосердие над кем–нибудь
смилостивиться|Сжалиться, проявить милосердие над кем–нибудь
сминать|Смотреть смять
сминать|То же, что мять
смирение|Смириться
смирение|Отсутствие гордости, готовность подчиняться чужой воле
смиренник|Смиренный человек
смиренница|Смиренная женщина
смиреннический|Свойственный смиренному человеку
смиренный|Проникнутый смирением
смиренность|Свойство быть проникнутым смирением
смирить|Усмирить, укротить кого–либо или что–либо
смирять|Несовершенный вид к смирить
смирительный|Свойственный смирению или относящийся к подавлению движения
смирительная рубашка|Одежда для буйных душевнобольных, лишающая их возможности двигаться
смириться|Примириться с кем–нибудь или покориться кому–либо
смиряться|Несовершенный вид к смириться
смирный|Спокойный, тихий, покорный
смирность|Свойство быть спокойным, тихим, покорным
смог|В больших городах: удушливый туман, смешанный с выхлопными газами, дымом и копотью
смоговый|Относящийся к смогу
смоделировать|Смотреть моделировать
смоква|Плод смоковницы, винная ягода
смоковный|Относящийся к смокве
смоквичный|Относящийся к смокве
смокинг|Вечерний черный пиджак с открытой грудью и длинными, обшитыми шелком лацканами
смокинговый|Относящийся к смокингу
смоковница|То же, что инжир
смоковничный|Относящийся к смоковнице
смола|Липкий, твердеющий на воздухе сок хвойных и некоторых других растений
смола|Приставала, тот кто липнет, неотвязно пристает к кому–нибудь
смоляной|Сделанный из смолы или пропитанный смолой
смолевой|Относящийся к смоле
смолёный|Подвергшийся смолению
смолистый|Содержащий смолу или много смолы
смолистый|Пахнущий, отдающий смолой
смолистость|Свойство содержать смолу
смолить|Покрывать или пропитывать смолой, смолистым веществом
смолить|Курить (просторечие)
смоление|Процесс покрытия или пропитывания смолой
высмолить|Покрыть или пропитать смолой до конца
осмолить|Покрыть смолой
смолкнуть|Перестать звучать или перестать говорить
смолкать|Постепенно переставать звучать или говорить
смолоду|С молодого возраста
смолокур|Работник, занимающийся смолокурением
смолокурение|Выгонка смолы из хвойных деревьев
смолокуренный|Относящийся к смолокурению или работе смолокура
смолокурня|Предприятие для смолокурения
смолоть|Смотреть молоть
смолчать|Не возразить, промолчать в ответ на что–либо
смоль|Смоляной (о волосах); как смоль: очень черный
смоляной|Сделанный из смолы; о волосах: очень черный
смонтировать|Смотреть монтировать
сморгнуть|Моргнув, удалить что–либо
смаргивать|Потихоньку моргать, удаляя что–либо
сморить|Изнурить, одолеть, осилить кого–либо или что–либо
смаривать|Постепенно изнурять, одолевать
сморкать|Резким выдыхательным движением очищать (нос) от слизи
сморкнуть|Однократное резкое очищение носа от слизи
высморкать|Окончательно очистить нос от слизи
сморканье|Процесс очищения носа от слизи
сморкаться|Резким выдохом очищать нос от слизи
сморкнуться|Однократно очистить нос от слизи
высморкаться|Окончательно очистить нос от слизи
сморогдинка|Заросль смородины
смородина|Кустарник со съедобными кисловато–сладкими ягодами, а также сами ягоды
смородиновый|Относящийся к смородине
смородинный|Относящийся к смородине
сморозить|Сказать какой–нибудь вздор, глупость
сморчок|Весенний съедобный гриб с толстой и удлиненной сморщенной шляпкой
сморчок|Малорослый и невзрачный человек
сморчковый|Относящийся к сморчку
сморщить|Смотреть морщить
смотать|Мотая, собрать, намотать что–либо
сматывать|Постепенно собирать, наматывать
сматывание|Процесс сматывания
смотка|Собранное в моток количество чего–либо
смотаться|Уйти, уехать откуда–нибудь, убраться куда–нибудь
смотаться|То же, что сходить (во втором значении)
сматываться|Постепенно собираться, уходя
