сморозить|Сказать какой–нибудь вздор, глупость
сморчок|Весенний съедобный сумчатый гриб с толстой и удлиненной сморщенной шляпкой
сморчок|Малорослый и невзрачный человек
сморчковый|Относящийся к сморчку
смотать|Мотая, собрать, намотать
смотать|Собрать удочки (также перен.: то же, что смотаться; разговорное)
сматывать|Мотая, собирать, наматывать
сматывание|Мотание, собирание, наматывание
смотка|Процесс сматывания
смотаться|Уйти, уехать откуда–нибудь, убраться куда–нибудь
смотаться|То же, что сходить (во втором значении)
сматываться|Уходить, уезжать откуда–нибудь, убираться куда–нибудь
смотр|Официальный осмотр чего–нибудь, ознакомление с чем–нибудь, проверка
смотр|Публичный показ результатов деятельности, общественная проверка чего–нибудь
смотровой|Относящийся к смотрению, осмотру
смотреть|Направлять взгляд, чтобы увидеть кого–либо, что–либо, глядеть
смотреть|Присутствуя где–нибудь и рассматривая, знакомиться с кем–либо, чем–либо, изучать
смотреть|То же, что видеть
смотреть|Производить осмотр, обследование
смотреть|Иметь попечение, заботиться о ком–нибудь, чем–нибудь
смотреть|Брать пример с кого–нибудь, считаться с кем–нибудь
смотреть|Так или иначе относиться к кому–либо, чему–либо, оценивать кого–либо, что–либо
смотреть|Иметь какой–либо вид
смотреть|Быть обращенным, повернутым куда–нибудь
смотреть|Выражает предостережение, предупреждение
смотреть|Как видно, как можно заключить
посмотреть|Совершить акт смотрения (см. "смотреть" значения 1, 2, 3, 4, 5, 6, 7, 11)
смотровой|Относящийся к смотрению, осмотру
смотреться|Рассматривать свое отражение в чем–либо
смотреться|О фильме, спектакле: хорошо и с интересом восприниматься
смотреться|Хорошо выглядеть, обнаруживая свои лучшие стороны
посмотреться|Совершить акт смотрения себя в отражении
смотрины|Старинный обряд знакомства жениха и его родственников с невестой
смотритель|Должностное лицо, выполняющее обязанности по надзору, охране, а также по управлению чем–либо
смотрительница|Женщина, выполняющая обязанности смотрителя
смотрительский|Относящийся к смотрителю
смочить|Немного намочить
смачивать|Немного намочить, увлажнить
смачивание|Процесс смачивания
смрад|Отвратительный запах, вонь
смрад|То же, что чад (плохой запах)
смрадный|Издающий смрад, полный смрада
смрадность|Свойство быть смрадным
смуглеть|Становиться смуглым, смуглее
посмуглеть|Стать немного более смуглым
смуглолицый|Со смуглым лицом
смуглый|О коже лица, тела: темноватой окраски
смуглость|Свойство быть смуглым
смуглянка|Смуглая женщина, девушка
смудрить|То же, что мудрить
смутa|Мятеж, народные волнения
смутa|Раздоры, ссоры, беспорядок
смутить|Привести в смущение
смутить|Растревожить, привести в смятение
смущать|Приводить в смущение, растревожить, волновать
смутиться|Прийти в смущение
смущаться|Приходить в смущение, смущаться
смутный|Неясный, неотчетливый
смутный|Беспокойный, тревожный
смутность|Свойство быть смутным
смутьяна|Человек, который вносит смуту, раздоры
смутьяна|Женщина, которая вносит смуту, раздоры
смутьянский|Относящийся к смутьяну
смутьяничать|Производить смуту, раздор
смухлевать|То же, что мухлевать
смешка|Шкурка новорожденного ягненка некоторых ценных пород
смешковый|Из шкурки новорожденного ягненка
смущение|Замешательство, состояние застенчивости, стыда
смущённый|Полный смущения, выражающий смущение
смущённость|Свойство быть смущённым
смывать|Мытьем удалять что–либо
смывание|Удаление чего–либо мытьем
смыв|Удаление или след от удаления чего–либо течением
смывка|Средство или процесс смывания
смывочный|Относящийся к смыванию
смывной|Относящийся к смыванию
смывальный|Относящийся к смыванию
смыть|Мытьем удалить что–либо
смыть|Снести, унести течением
смыться|От мытья сойти, исчезнуть
смыться|Уйти откуда–либо, исчезнуть (обычно тайком, незаметно)
смываться|Исчезать, скрываться (обычно тайком, незаметно)
смычка|Место, где что–либо смыкается, соединяется
смычка|Союз, единение
смычковый|Относящийся к смычку или смычке
смычок|Слегка изогнутая деревянная палочка с натянутым вдоль нее пучком конских волос, которой водят по струнам для извлечения звуков
смычок|Цепочка, которой соединяются ошейники двух гончих при отправлении на охоту
смышленый|Сообразительный, понятливый
смышленость|Свойство быть смышленым
смягчить|Сделать мягким, мягче
смягчить|Ослабить, умерить
смягчить|Умерить чью–либо суровость, заставить быть ласковее
смягчать|Делать более мягким, умерять
смягчающее|Смягчающее вину обстоятельство
смягчение|Действие по смягчению, результат смягчения
смягчительный|Обладающий свойством смягчать
смягчиться|Стать мягким, мягче
смягчиться|Ослабеть, стать более умеренным
смягчиться|Стать менее суровым
смягчаться|Становиться мягче, менее суровым
смягчение|Действие по смягчению, результат смягчения
смякнуть|То же, что размякнуть
смякать|Становиться мягким, терять твердость
смятение|Паническая растерянность, тревога
смятенный|Находящийся в смятении, волнении
смятенность|Свойство быть в смятении
смять|Смять быстрым натиском, сломить сопротивление, рассеять, обратить в бегство
смять|Нравственно сломить, подавить
сминать|Мять, сжимать, сдавливать
смысл|Содержание, сущность, суть, значение чего–либо
смысл|Цель, разумное основание чего–либо
смысл|В некоторых сочетаниях: разум, разумность
смысловой|Относящийся к смыслу
смыслить|Понимать, знать
