совмещать|Выполнять работу по совместительству
совмин|Совет министров
совнарком|Совет Народных Комиссаров — в СССР в 1917–1946 годах: название высшего исполнительного и распорядительного органа государственной власти СССР, союзных и автономных республик
совнархоз|Совет народного хозяйства — название местного органа управления промышленностью и строительством в 1917–1932 годах и в 1957–1965 годах
совок|Предмет в форме лопатки с загнутыми кверху боковыми краями
совокупить|То же, что совместить
совокуплять|То же, что совместить
совокупиться|То же, что соединиться
совокупиться|Совершить половой акт
совокупляться|То же, что соединяться
совокупляться|Совершать половой акт
совокупность|Сочетание, соединение, общий итог чего–нибудь
совокупный|Соединенный, совместный
совпадение|Случайная совмещенность каких–нибудь событий, явлений
совпасть|Произойти в одно время с чем–нибудь
совпасть|В геометрии: при наложении покрыть друг друга
совпасть|Оказаться общим, тождественным
совратитель|Тот, кто совратил, совращает кого–нибудь
совратительница|Тот, кто совратил, совращает кого–нибудь
совратить|Побудить сделать ложный шаг, проступок, сбить с правильного пути
совратить|Лишить женской чести, обесчестить
совращать|Побуждать сделать ложный шаг, проступок, сбить с правильного пути
совращать|Лишать женской чести, обесчещать
современник|Человек, который живет в одно время с кем–нибудь
современность|Действительность в ее настоящем непосредственном состоянии, то, что происходит, существует сейчас
современный|Относящийся к одному времени, к одной эпохе с кем–нибудь
современный|Относящийся к настоящему времени, теперешний
современный|Стоящий на уровне своего века, не отсталый
совсем|Совершенно, вполне
совсем|Ни в какой степени, нисколько
совхоз|Советское хозяйство — крупное государственное сельскохозяйственное предприятие
согбенный|О людях: сгорбленный, согнутый
согласие|Разрешение, утвердительный ответ на просьбу
согласие|Единомыслие, общность точек зрения
согласие|Дружественные отношения, единодушие
согласие|Соразмерность, стройность, гармония
согласие|Одно из течений внутри старообрядческого толка
согласить|Примирить, объединить (разные мнения, интересы)
согласительный|Примирительный
согласиться|Дать согласие на что–нибудь
согласиться|Выразить, подтвердить свое согласие с кем–нибудь
согласиться|Сговориться, договориться, сойтись
согласный|Выражающий, дающий согласие на что–нибудь
согласный|Придерживающийся одинакового с кем–нибудь мнения, образа действий
согласный|Сходный, совпадающий с чем–нибудь, соответствующий чему–нибудь
согласный|Стройный, гармонический
согласный|Единодушный, дружный
согласный|Соответственно, сообразно с чем–нибудь, на основании чего–нибудь
согласный|О звуках речи: при своем образовании встречающий препятствия со стороны органов речи, образуемый с участием шума; также о буквах, изображающих такой звук
согласование|В грамматике: подчинительная связь, при которой грамматически зависимое слово уподобляется грамматически главенствующему слову в роде, числе и падеже
согласование|Приведение в надлежащее соотношение, соответствие с чем–нибудь
согласованный|Такой, в котором достигнуто единство, согласие
согласовать|Привести в надлежащее соотношение, соответствие с чем–нибудь
согласовать|Обсудив, выработать единое мнение о чем–нибудь, получить согласие на что–нибудь
согласовать|В грамматике: осуществить связь согласования
согласовывать|Приводить в надлежащее соотношение, соответствие с чем–нибудь
согласовывать|Обсуждать, вырабатывать единое мнение о чем–нибудь; получать согласие на что–нибудь
согласовывать|В грамматике: осуществлять связь согласования
согласоваться|Оказаться в соответствии с чем–нибудь
соглашатель|Беспринципный политик, идущий на уступки, компромиссы своим противникам
соглашатель|Человек, склонный к компромиссам, приспособленец
соглашательство|Политика и поведение соглашателя, соглашателей
соглашение|Взаимное согласие, договоренность
соглашение|Договор, устанавливающий условия, взаимоотношения, права и обязанности сторон
соглядатай|Тот, кто тайно наблюдает, шпионит за кем–нибудь
согнать|Гоня, удалить откуда–нибудь
согнать|Удалить, уничтожить
согнать|Гоня, собрать в одно место
согражданин|Человек, объединенный с другим общим гражданством
согреть|Сделать теплым, горячим
согреть|Передать свою теплоту кому–нибудь
согревать|Делать теплым, горячим
согревать|Передавать свою теплоту кому–нибудь
согреваться|Согревать себя, согреваться у тепла
согрежение|Грех, проступок
сода|Белое щелочное кристаллическое вещество
содействие|Деятельное участие в чьих–нибудь делах с целью облегчить, помочь, поддержка в какой–нибудь деятельности
содействовать|Оказать содействие, способствовать
посодействовать|Оказать содействие, способствовать
содержание|Единство всех основных элементов целого, его свойств и связей, существующее и выражаемое в форме и неотделимое от нее
содержание|Основная суть изложения; фабула
содержание|Перечень разделов в начале или в конце книги, оглавление
содержание|Количество чего–нибудь, находящегося в чем–нибудь другом
содержание|Заработная плата, жалованье
содержание|Средства, которые даются кому–нибудь для обеспечения существования, иждивение
содержательный|Имеющий богатое содержание, с большим внутренним смыслом, значением
содержатель|Владелец, лицо, которое содержит какое–нибудь заведение
содержать|Обеспечивать кого–нибудь средствами к жизни
содержать|Заставлять находиться, помещаться где–нибудь, в каком–нибудь положении
содержать|Иметь кого–что–нибудь в том или ином виде
содержать|То же, что держать
содержать|Иметь, заключать в себе
содержать|Быть распорядителем, хозяином, владельцем чего–нибудь
содержаться|Находиться, помещаться где–нибудь, в каком–нибудь положении
содержаться|Иметься, находиться в том или ином состоянии
содержаться|Заключаться внутри чего–нибудь
содержанка|Женщина, живущая на содержании у своего любовника
