созидать|То же, что создавать
созидание|Действие по значению создавать
сознавать|Сознать
сознавать|Воспринимать сознанием, усваивать, понимая
сознание|Человеческая способность к воспроизведению действительности в мышлении; психическая деятельность как отражение действительности
сознание|Состояние человека в здравом уме и памяти, способность отдавать себе отчет в своих поступках, чувствах
сознание|Мысль, чувство, ясное понимание чего–нибудь
сознание|То же, что сознательность
сознательность|Умение, способность правильно разбираться в окружающей действительности, определять свое поведение
сознательный|Обладающий сознанием
сознательный|Правильно оценивающий, вполне понимающий окружающее
сознательный|Намеренный, совершенный по размышлении, обдуманный
сознать|То же, что осознать
сознаваться|Сознав неправильность своего поступка, мнения, сказать об этом
сознаваться|Признать свою вину
созорничать|То же, что озорничать
созревать|То же, что зреть
созревание|Действие по значению зреть
созволить|Изволить, соблаговолить, пожелать
соизволять|Изволить, соблаговолить, пожелать
соизволение|Изволение, соблаговоление, желание
соизмеримый|Такой, который можно измерить одинаковой с чем–нибудь другим мерой
соизмеримый|То же, что сопоставимый
соизмеримость|Свойство быть соизмеримым; сопоставимость
соизмерить|Сопоставить, установить какие–нибудь возможности, меру
соискатель|Лицо, представляющее или готовящееся представить свой труд на соискание ученой степени
соискательница|Женщина, представляющая или готовящаяся представить свой труд на соискание ученой степени
соискательский|Касающийся соискателя или соискания
соискать|То же, что снискать
соискание|Действие по значению соискать; в целях получения чего–нибудь
соитие|То же, что совокупление
сойка|Пестрая лесная птица семейства вороновых
сойти|Идя, покинуть свое место, спуститься
сойти|Уйти с места, освободив его
сойти|Исчезнуть с поверхности чего–нибудь
сойти|О пассажире: выйти на остановке
сойти|Перестать демонстрироваться, а также вообще перестать быть популярным, действовать активно
сойти|Потерять рассудок, помешаться
сойти|Умереть
сходить|Идя, покидать свое место, спускаться
сходить|Уйти с места, освобождать его
сходить|Исчезать с поверхности чего–нибудь
сходить|О пассажире: выходить на остановке
сходить|Переставать демонстрироваться, а также вообще переставать быть популярным, действовать активно
сходить|Терять рассудок, помешаться
сходить|Умирать
схождение|Действие по значению сходить; то, что сошло
сход|Действие по значению сходить
сошествие|Действие по значению сходить
сойти|Оказаться принятым в качестве кого–либо, признанным за кого–либо
сойти|Оказаться приемлемым, пройти, закончиться удачно, благополучно
сходиться|Достигнув какого–либо места, встретиться
сходиться|О многих: двигаясь, соединиться, сплотиться
сходиться|С кем–либо: сблизиться, подружиться
сходиться|С кем–либо: вступить в сожительство
сходиться|Оказаться единодушным или похожим в чем–нибудь
сходиться|Сблизиться, соприкоснувшись
сходиться|Совпасть, оказаться в соответствии с чем–либо
сходиться|Условиться, договориться, согласиться
схождение|Действие по значению сходиться; совпадение
сок|Жидкость, содержащаяся в клетках, тканях и полостях растений и животных организмов
сок|Напиток, приготовляемый из мякоти плодов
сокамерник|Человек, который содержится или содержался вместе с кем–нибудь другим в одной тюремной камере
сокамерница|Женщина, которая содержится или содержалась вместе с кем–нибудь другим в одной тюремной камере
соковыжималка|Прибор для выжимания сока из плодов, ягод
сокол|Хищная птица, отличающаяся быстрым парящим полетом
соколиный|Относящийся к соколу
соколиная|Относящаяся к соколу
соколиное|То же, что соколиный
соколиные|То же, что соколиный
соколята|Детеныши сокола
соколик|Ласковое название юноши, мужчины, а также ласковое обращение к коню
сокольник|Охотник с ловчими птицами, обучающий их и ухаживающий за ними
сократить|Сделать короче
сократить|Уменьшить в количестве
сократить|Уволить со службы вследствие сокращения штатов, а также вообще уволить
сократить|В математике: разделить числитель и знаменатель на общий делитель
сокращать|Делать короче
сокращать|Уменьшать в количестве
сокращать|Увольнять со службы вследствие сокращения штатов, а также вообще увольнять
сокращать|В математике: делить числитель и знаменатель на общий делитель
сокращение|Сокращенное обозначение чего–либо
сокращение|Пропуск в каком–нибудь тексте
сокращение|Уменьшение штата работающих
сокращение|В словообразовании: усечение слова, а также часть слова или целое слово, образованное путем такого усечения
сократительный|Служащий для сокращения, обладающий свойством сокращать
сократительная|Служащая для сокращения, обладающая свойством сокращать
сократительное|Служащее для сокращения, обладающее свойством сокращать
сократиться|О времени, расстоянии: стать короче
сократиться|Уменьшиться в количестве
сократиться|О мышцах: укоротиться в длину, сжаться
сократиться|Сделать короче свою речь, высказывание, сочинение
сокращаться|Становиться короче
сокращаться|Уменьшаться в количестве
сокращаться|Укорачиваться в длину, сжиматься
сокращаться|Сокращать свою речь, высказывание, сочинение
сокровенный|Свято хранимый и тайный
сокровенность|Свойство быть свято хранимым и тайным
сокровище|Драгоценность, дорогая вещь
сокровище|Ценности духовной и материальной культуры
сокровище|О ком–либо или чем–либо очень ценном, дорогом для кого–либо
сокровище|Полноценные деньги — золотые и серебряные монеты
сокровищница|Место хранения сокровищ
сокровищница|Сосредоточение чего–либо очень ценного
сокрушаться|Очень печалиться, горевать
сокрушение|Печаль, скорбь
сокрушенный|Испытывающий или выражающий сокрушение, печальный
сокрушенность|Свойство испытывать или выражать сокрушение, быть печальным
сокрушительный|Уничтожающий, разрушительный
сокрушительность|Свойство быть уничтожающим, разрушительным
сокрушить|Нанести полное поражение, уничтожить
сокрушить|Привести в состояние печали, в отчаяние
сокрушать|Наносить полное поражение, уничтожать
сокрыть|То же, что скрыть
сокрытие|Действие по значению скрыть
солдат|Военнослужащий, принадлежащий к некомандному и неначальствующему составу
солдат|Военный человек, воин
солдатик|Маленькая игрушечная фигурка солдата или офицера для игры в сражение
солдатик|Игра в сражение такими фигурками
солдатка|Жена солдата
солдатня|Солдаты
солдатьё|Солдаты
солдатчина|Солдатская служба
солдафон|Грубый, некультурный человек из военных
солдафонский|Касающийся солдафона
