сопредельный|Смежный, пограничный  
сопредельность|Смежный, пограничный  
соприкасаться|Иметь смежные, касающиеся друг друга границы, части  
соприкасаться|Взаимно касаться, дотрагиваться  
соприкасаться|Вступать в сношения, общаться  
соприкоснуться|Иметь смежные, касающиеся друг друга границы, части  
соприкосновение|Точки, линии соприкосновения  
соприкосновение|Войти или вступить в непосредственное узнавание, познание  
сопричастный|Взаимно причастный  
сопричастность|Взаимно причастный  
сопроводиловка|Сопроводительная бумага, письмо  
сопровождать|Следовать вместе с кем–нибудь, находясь рядом, ведя куда–нибудь или идя за кем–нибудь  
сопровождать|Производить одновременно с чем–нибудь, сопутствовать чему–нибудь  
сопровождать|Служить приложением, дополнением к чему–нибудь  
сопроводить|Следовать вместе с кем–нибудь, находясь рядом, ведя куда–нибудь или идя за кем–нибудь  
сопроводить|Производить одновременно с чем–нибудь, сопутствовать чему–нибудь  
сопроводить|Служить приложением, дополнением к чему–нибудь  
сопровождение|То, что сопровождает какое–нибудь явление, действие  
сопровождение|Специальная группа, сопровождающая кого–либо, что–либо  
сопроводительный|Сопроводительное письмо  
сопровождаться|Происходить одновременно с чем–нибудь  
сопровождаться|Влечь за собой как непосредственное продолжение или следствие  
сопромат|Сопротивление материалов (название науки)  
сопротивление|Народное движение против захватчиков в странах Западной Европы в годы фашистской оккупации  
сопротивляемость|Способность сопротивляться, степень сопротивления  
сопротивляться|Противодействовать натиску, нападению, воздействию кого–либо, чего–либо  
сопряжённый|Взаимно связанный, сопровождаемый чем–нибудь  
сопряжённость|Взаимно связанный, сопровождаемый чем–нибудь  
сопрячь|Соединить, связать, сочленить одно с другим  
сопрягать|Соединять, связывать, сочленять одно с другим  
сопряжение|Соединение, связывание, сочленение одного с другим  
сопутствовать|Идти вместе с кем–нибудь, сопровождать кого–либо, что–либо  
сопутствовать|Происходить одновременно с чем–нибудь  
сопутствие|Идти вместе с кем–либо, сопровождать  
сопутствование|Происходить одновременно с чем–либо  
сор|Мелкие сухие отбросы, мелкий мусор  
сорный|Дикорастущий, заглушающий культурные посевы  
сорный|Засорённый, неочищенный  
сорный|О некоторых породах: малоценный  
сорность|Дикорастущий, заглушающий культурные посевы  
сорняк|Сорное растение  
сорняковый|Связанный с сорняками  
сорить|Бросать сор, загрязнять сором  
сорить|Тратить безрассудно что–либо в большом количестве  
соринка|Маленькая частичка сора  
соразмерить|Сделать соразмерным, соответствующим чему–нибудь  
соразмерять|Сделать соразмерным, соответствующим чему–нибудь  
соразмерение|Сделать соразмерным, соответствующим чему–нибудь  
соразмерный|Соответствующий какой–либо мере, соответственный чему–нибудь  
соразмерный|Правильный в соотношении своих размеров, частей, в своём строении, пропорциональный  
соразмерный|В соответствии с чем–либо, соизмеряя с чем–либо  
соразмерность|Соответствующий какой–либо мере, соответственный чему–нибудь  
соразмерность|Правильный в соотношении своих размеров, частей, в своём строении, пропорциональный  
соратник|Испытанный, надёжный боевой товарищ, а также вообще товарищ по борьбе, деятельности  
соратница|Испытанная, надёжная боевая подруга, а также вообще подруга по борьбе, деятельности  
сорбит|Пищевой продукт, получаемый из глюкозы и заменяющий собой сахар  
сорбитный|Связанный с сорбитом  
сорваныц|Большой проказник, озорник  
сорванцовский|Связанный с большим проказником, озорником  
сорвать|Рывком отделить, снять, сдёрнуть  
сорвать|Нарушить, прекратить что–либо, сделав невозможным дальнейшее течение, осуществление  
сорвать|Получить, добиться чего–либо (обычно нечестно, незаслуженно или против чьей–либо воли)  
сорвать|Выместить на ком–либо злое чувство  
