спознатьcя|Познакомиться, сойтись
споить|Давая пить, израсходовать питье
споить|Принудить к пьянству, сделать пьяницей
спокойный|Находящийся в состоянии покоя, малоподвижный или неподвижный
спокойный|Исполненный спокойствия, лишенный тревог, забот
спокойный|Ведущий себя тихо, не беспокоящий, не раздражающий
спокойный|Удобный об одежде, мебели, жилье
спокойный|О цвете, краске: приятный для глаз, мягкий
спокойствие|Покой, тишина, отсутствие волнения, шума
спокойствие|Уравновешенное, спокойное состояние духа, отсутствие забот, тревог
спокон|То же, что испокон веку, испокон веков
сползти|Спуститься ползком или медленно, с трудом
сползти|Съехать, сдвинуться
сползти|Постепенно отходя от правильных позиций, оказаться на ложном пути
сползтись|О многих: ползя, собраться в одно место
сполна|То же, что полностью
сполоснуть|Немного пополоскать или обмыть, облить водой
сполохи|Народное название северного сияния, а также зарницы
спондей|В ямбе и хорее: утяжеленная стопа из двух ударных слогов
спонсировать|Быть спонсором
спонсор|Лицо, организация, фирма, выступающие как поручитель, заказчик, устроитель, финансирующая сторона
спонсорство|Деятельность спонсора
спонтанный|Возникающий вследствие внутренних причин, без непосредственного воздействия извне, самопроизвольный
спор|Словесное состязание, обсуждение чего–нибудь, в котором каждый отстаивает свое мнение
спор|Разногласие, разрешаемое судом
спора|Служащий для размножения и выживания в неблагоприятных условиях зачаток растительного организма, гриба, а также некоторых простейших животных
спорадический|Непостоянный, случайный, являющийся иногда, от случая к случаю
спорадичный|То же, что спорадический
спорить|Вести спор, возражать, доказывая что–нибудь
спорить|Вести спор о чем–нибудь и за что–нибудь
спорить|Держать пари
спориться|О деле, работе: удаваться, протекать успешно
спорница|Наша горница с богом не спорница или не спорится — о жилье, в котором так же холодно, как и на улице
спорный|Вызывающий споры, связанный со спорами
спорок|Споротый верх с поношенного верхнего платья
спороть|Отпоров, отделить, снять
спорт|Составная часть физической культуры — комплексы физических упражнений для развития и укрепления организма, соревнования по таким упражнениям и комплексам, а также система организации и проведения этих соревнований
спорт|Азартное увлечение чем–нибудь, каким–нибудь занятием
спорт...|Первая часть сложных слов в значении относящийся к спорту
спортивный|С качествами, внешностью спортсмена, такой, как у спортсменов
спортсмен|Человек, занимающийся спортом и владеющий его высокими достижениями
спорхнуть|Порхнув, слететь откуда–нибудь
спорщик|Человек, который любит спорить, а также вообще тот, кто спорит
спорый|О работе, деятельности: быстрый и успешный
спорынья|Паразитический грибок, образующий в колосе ржи и некоторых других злаков черные удлиненные рожки, а также болезнь злаков, вызываемая этим грибком
способ|Действие или система действий, применяемые при исполнении какой–нибудь работы, при осуществлении чего–нибудь
способность|Природная одаренность, талантливость
способность|Умение, а также возможность производить какие–нибудь действия
способный|Обладающий способностями к чему–нибудь, одаренный
способный|Могущий что–нибудь сделать; обладающий каким–нибудь свойством
способствовать|Оказывать помощь, содействовать
способствовать|Быть причиной, помогать возникновению, развитию чего–нибудь
споткнуться|Зацепив за что–нибудь ногой, покачнуться, потерять равновесие
споткнуться|Внезапно прекратить что–нибудь делать, остановиться, испытав неожиданное затруднение
споткнуться|То же, что оступиться
спохватиться|Внезапно заметить упущение, вспомнить о чем–нибудь забытом
справа|С правой стороны
справедливость|Справедливое отношение к кому–нибудь, беспристрастие
справедливость|Действующий беспристрастно; соответствующий истине
справедливыи|Действующий беспристрастно; соответствующий истине
справедливыи|Осуществляемый на законных и честных основаниях
справедливыи|Истинный, правильный
справить|Отпраздновать по обычаю
справить|Приобрести, купить
справиться|Сделать, выполнить что–нибудь, суметь сделать, выполнить что–нибудь
справиться|Одолеть в борьбе, побороть кого–нибудь или что–нибудь
справиться|Навести справку о ком–нибудь или чем–нибудь, осведомиться
справка|Сведение о чем–нибудь, полученное кем–нибудь после поисков, в ответ на запрос
справка|Документ с такими сведениями
справочник|Справочная книга
спрашивать|см. спросить
