сталкивать|Ср. столкнуть
сталь|Твёрдый серебристый металл, сплав железа с углеродом и другими упрочняющими элементами
стальной|Относящийся к стали
стальной|О цвете: серебристо-серый
стальной|Очень сильный, крепкий
стамеска|Столярный и плотничный инструмент со стальным плоским заточенным концом
стан|Туловище человека
стан|Лагерь, место стоянки
стан|Воюющая, борющаяся сторона, общественно-политическая группировка
стан|В царской России: административно-полицейское подразделение уезда, состоящее из нескольких волостей
стан|Большая машина или система машин для изготовления крупных металлических изделий
стан|Машина или прибор для тканья
стандарт|Образец, которому должно соответствовать или удовлетворять что–нибудь по своим признакам, свойствам, качествам, а также документ, содержащий в себе соответствующие сведения
стандарт|Нечто шаблонное, трафаретное, не заключающее в себе ничего оригинального, творческого
стандарт|В мировой валютной системе с конца 19 века до начала 30-х годов 20 века: система обращения денег, при которой в качестве меры их стоимости функционирует золото
стандартизировать|Установить или навязывать стандарты; придать чему–нибудь однообразие, стандартные формы
стандартизировать|Изготовить по стандарту
стандартизовать|Установить или навязывать стандарты; придать чему–нибудь однообразие, стандартные формы
стандартизовать|Изготовить по стандарту
стандартный|Удовлетворяющий, соответствующий стандарту
стандартный|Являющийся стандартом, шаблонный, трафаретный
станина|Неподвижное основание машины, станка, рама
станина|То же, что станок
станица|Большое казачье селение
станица|То же, что стая
станичник|Казак, житель станицы
станковый|Относящийся к изобразительному искусству, произведения которого не имеют специального декоративного и утилитарного назначения
станкостроение|Производство станков
станкостроитель|Специалист по станкостроению
становище|Место стоянки
становление|Возникновение, образование чего–нибудь в процессе развития
становой|Основное, нечто главное, центральное в каком–нибудь вопросе
станок|Машина для обработки металла, дерева, твёрдых материалов, изготовления чего–нибудь
станок|Основание, на котором укреплено орудие, пулемёт, станина
станок|Название различных специальных приспособлений, имеющих вид опоры, подставки
станок|То же, что стойло
станок|Приспособление, в которое ставят животное, чтобы лишить его свободы движения
станок|В старину в Сибири: почтовая ямская станция
станок|В Сибири: небольшой поселок
станочник|Рабочий, работающий на станке
стансы|Стихотворение, каждая строфа которого представляет законченное смысловое и синтаксическое целое
станс|Отдельная строфа такого стихотворения
станция|Пункт, место остановки на железных дорогах и некоторых других сухопутных путях сообщения; сооружения и службы, относящиеся к этому пункту
станция|Расстояние между двумя такими соседними пунктами, перегон
станция|Название некоторых учреждений, предприятий, пунктов или групп научно-исследовательских учреждений специального назначения
станция|Космический летательный аппарат с научной аппаратурой на борту
стапель|Наклонная площадка на верфях для постройки, ремонта судов и спуска их на воду
старание|Стремление выполнить что–нибудь хорошо, добросовестно
старатель|Рабочий, занимающийся кустарной добычей золота
старательный|Делающий что–нибудь со старанием
стараться|Делать что–нибудь со старанием
стараться|Стремиться, хотеть сделать что–нибудь
старейшина|В родовом обществе: глава общины
старейшина|Самый старый и уважаемый член какого–нибудь коллектива
стареть|Становиться старым, старее, старше
стареть|Становиться устарелым
стареть|Распространяться на старых, охватывать собой более старых
старец|Старик, обычно уважаемый, почитаемый
старец|Пожилой монах, отшельник
старик|Мужчина, достигший старости
старик|Старые люди, а также вообще люди старших поколений
старик|Состарившиеся родители, родственники
старик|Опытный, знающий дело человек
старик|Дружеское обращение к приятелю
старина|В речи сказителей: эпическое сказание, былина
старина|Давнее, давно минувшее время
старина|Старые обычаи, обряды
старина|Далёкое прошлое в чьей–нибудь жизни
старина|Старинные предметы
старина|То же, что старик, преимущественно в обращении
старинка|Как в старину, без новшеств, консервативно
старинка|Действовать по-старому, консервативно
старинный|Древний, сохранившийся от давних времен
старинный|Давнишний, старый
старить|Делать старым, старше
старить|Придавать старый вид
стариться|То же, что стареть
старица|Участок старого русла реки, текущей по новому руслу
