статистик|Специалист по статистике  
статистика|Наука, изучающая количественные показатели развития общества и общественного производства  
статистика|Количественный учет всякого рода массовых случаев, явлений  
статистика|Научный метод количественных исследований в некоторых областях знания  
статистический|Относящийся к статистике  
статический|Относящийся к статике  
статический|Рассматривающий внутреннее соотношение явлений в отрыве от их развития, движения  
статичный|Такой, в котором нет движения, действия  
статность|Свойство быть статным  
статный|Стройный, хорошего, пропорционального телосложения  
статор|Неподвижная часть электрической машины роторного типа  
статорный|Относящийся к статору  
статочное|Может ли это быть, статься  
статский|То же, что штатский  
статский|Первая часть составных названий некоторых гражданских чинов в царской России  
статс-секретарь|В некоторых странах: одна из высших государственных должностей, а также лицо, занимающее эту должность  
статс-секретарский|Относящийся к статс-секретарю  
статус|Сложившееся состояние, положение  
статус|Правовое положение  
статут|Установленное, узаконенное положение  
статутный|Относящийся к статуту  
статуэтка|Маленькая скульптурная фигурка, обычно служащая комнатным украшением  
статуэточный|Относящийся к статуэтке  
статуя|Скульптурное изображение человека, животного, реже — фантастического существа  
статуарный|Относящийся к статуе  
статуйный|Относящийся к статуе  
стать|Встать, принять вертикальное положение  
стать|Остановиться, прекратить движение  
стать|Ступив на какое–нибудь место, остановиться на нем стоя  
стать|Расположиться, поместиться  
стать|Приступить к работе, деятельности  
становиться|Осуществлять действие по значению стать  
стать|Совершиться, оказаться, сделаться  
стать|Вспомогательный глагол со значением начала действия или перехода от одного действия к другому  
стать|Сделаться, перейти из одного состояния в другое  
стать|Обойтись в какую–нибудь цену  
стать|Хватить, оказаться достаточным  
стать|Выражение уверенности в общем позитивном или негативном смысле высказывания  
становиться|Осуществлять действие по значению стать  
стать|Телосложение, общий склад фигуры  
стать|Характер, внутренний склад  
статься|Сделаться, случиться, сбыться  
статья|Научное или публицистическое сочинение небольшого размера  
статья|Глава, раздел в каком–нибудь документе, перечне, справочнике  
статья|Разряд, группа  
статья|Занятие, дело  
статья|Наказание на основании закона  
стахановец|Рабочий, добившийся высокой производительности труда  
стахановка|Рабочая, добившаяся высокой производительности труда  
стахановский|Относящийся к стахановцу  
стационар|Стационарное учреждение  
стационар|Лечебное учреждение с больничными койками  
стационарный|Постоянный, не связанный с передвижением  
стационарный|Относящийся к пребыванию в больнице, не амбулаторный  
стачечник|Участник стачки, забастовщик  
стачечница|Участница стачки, забастовщица  
стачка|Забастовка  
стачечный|Относящийся к стачке  
стачком|Стачечный комитет  
стачкомовский|Относящийся к стачечному комитету  
стаскивать|Осуществлять действие по значению стащить  
стощить|Удалять, стачивая  
сточный|Относящийся к сточным водам  
стощиться|Становиться меньшим от стачивания  
стаскиваться|Осуществлять действие по значению стащиться  
сточный|Для отвода сточных вод  
стаскиваться|Осуществлять действие по значению стащиться  
стаскиваться|Осуществлять действие по значению стащить  
стаскиваться|Осуществлять действие по значению стащить  
сточный|Относящийся к сточным водам  
стащить|Таща волоком, переместить или унести куда–нибудь  
стащить|О многом: таща, принести куда–нибудь, сосредоточить в одном месте  
стайка|Маленькая стая  
стайный|Относящийся к стае  
стая|Группа животных одного вида, держащихся вместе  
стая|О движущемся скоплении кого–нибудь или чего–нибудь  
стаявший|Тот, который стаял  
стаять|О снеге, льде: тая, исчезнуть, превратиться в воду  
стеблистый|Имеющий много стеблей, а также имеющий большой крепкий стебель  
стеблистость|Свойство быть стеблистым  
стебель|Часть растения от корня до вершины, имеющая ответвления, несущие листья, почки и цветки  
стебель|Тонкая, маленькая веточка–отросток  
стебелек|Маленький стебель  
стебельковый|Относящийся к стебельку  
стебельный|Относящийся к стеблю  
стеблевый|Относящийся к стеблю  
стеблевой|Относящийся к стеблю  
стебельчатый|Со стеблем, имеющий форму стебля  
стебельчатый|Шов в виде находящих друг на друга стежков  
стегать|Хлестать, бить чем–нибудь гнущимся, тонким  
стегнуть|Один раз ударить чем–нибудь гнущимся  
стеганье|Действие по значению стегать  
стегать|Прошивать насквозь два куска ткани и положенный между ними слой ватина, ваты  
выстегать|Прошить насквозь с целью уплотнения слоев ткани  
простегать|Прошить насквозь для уплотнения  
стегальный|Относящийся к стеганию  
стежок|В шитье, вышивании: расстояние между двумя проколами иглы  
стезя|Путь, дорога  
стек|Твердый хлыст  
стекленеть|Застывая, становиться похожим на стекло  
остекленеть|Сделаться стеклянным  
стекло|Прозрачный твердый материал, получаемый из кварцевого песка и окислов ряда металлов  
стекло|Тонкий лист или другой формы изделие из этого материала  
стекло|Органическое стекло — прозрачная пластмасса  
стеклышко|Маленькое стекло  
стеклянный|Сделанный из стекла  
стекольный|Относящийся к стеклу или его производству  
стекло...|Первая часть сложных слов со значением: относящийся к стеклу, содержащий стекло; сделанный из стекла  
ствол|Основная часть дерева или кустарника от корней до вершины, несущая на себе ветви  
ствол|В огнестрельном оружии: основная часть в виде трубы, через которую проходит пуля, снаряд  
ствол|То же, что шахта  
ствол|Название различных предметов или органов, имеющих форму трубы, стержня  
стволовый|Относящийся к стволу  
ствольный|Относящийся к стволу  
стволистый|Имеющий много стволов, а также имеющий большой крепкий ствол  
стволистость|Свойство быть стволистым  
стволовый|Рабочий, управляющий механизмами ствола шахты  
створ|Створка в каком–нибудь сооружении, затвор  
створ|Участок реки, на котором располагаются сооружения, регулирующие подъем воды  
створ|Идущая от глаза наблюдателя прямая линия, на которой сходятся два ориентира  
створный|Относящийся к створу  
створка|Каждая из двух растворяющихся и затворяющихся половинок какого–нибудь предмета  
створожиться|Превратиться в творожистую массу  
створаживаться|Осуществлять действие по значению створаживание  
створаживание|Действие по значению створаживаться  
створчатый|Состоящий из створок, со створками  
стеарин|Белое или желтоватое жировое вещество, идущее на изготовление свечей, а также употребляется в мыловарении и других областях техники  
стеариновый|Относящийся к стеарину
