стезя|Путь, дорога  
стек|Твердый хлыст  
стекленеть|Застывая, становиться похожим на стекло  
стекленеть|Делаться неподвижным  
стекло|Прозрачный твердый материал, получаемый из кварцевого песка и окислов ряда металлов  
стекло|Тонкий лист или другое изделие из этого материала  
стекло|Органическое стекло — прозрачная пластмасса  
стекло|Первая часть сложных слов со значением: относящийся к стеклу, содержащий стекло  
стекло|Первая часть сложных слов со значением: сделанный из стекла  
стекловата|Легкий и плотный изоляционный материал из стеклянных волокон  
стекловидный|По виду напоминающий стекло; прозрачный  
стекловидный|Стекловидное тело — прозрачное вещество, заполняющее полость глаза между сетчаткой и хрусталиком  
стекловолокно|Стеклянное волокно  
стеклограф|Аппарат для печатания смачиваемое клейкой жидкостью матовое стекло, на котором делается оттиск оригинала  
стеклография|Печатание на стеклографе  
стеклодув|Рабочий, изготовляющий стеклянные изделия дутьем  
стеклодувный|Относящийся к изготовлению стеклянных изделий дутьем  
стеклярус|Вид бисера — разноцветные короткие стеклянные трубочки  
стекляшка|Маленькая стеклянная вещица или кусочек стекла  
стекляшка|Небольшое здание со стеклянными стенами  
стекольщик|Работник стекольной промышленности  
стекольщик|Рабочий, выполняющий стекольные работы  
стела|Вертикальный памятный знак, обычно с надписью, рельефным изображением  
стелиться|Расти, простираясь низко по земле, по поверхности чего–нибудь  
стелиться|Распространяться, слабо растекаясь понизу  
стелиться|Лежать, занимая собою большую поверхность  
стелиться|Передвигаться быстро и близко к земле  
стелиться|Стелить себе постель, приготовляясь ко сну  
стеллаж|Ряд полок в несколько ярусов  
стеллаж|Приспособление для размещения чего–нибудь в стоячем положении  
стелька|Тонкая подстилка на внутренней части обувной подошвы  
стельная|О корове, буйволице, лани, моржихе, слонихе и самках некоторых других животных: беременная  
стемнеть|Становиться темно  
стена|Вертикальная часть здания, помещения  
стена|Высокая ограда  
стена|В сражении, кулачном бою: тесный, сомкнутый ряд людей  
стена|Сплошная масса чего–нибудь, образующая преграду, завесу  
стена|То, что невозможно преодолеть, осилить  
стенать|Стонать, кричать со стоном  
стенгазета|Стенная газета — вывешиваемая на стене рукописная или машинописная газета — орган местной общественной организации  
стенд|То же, что щит  
стенд|Устройство для сборки или испытаний машин, механизмов  
стенд|Стрелковый охотничий тир, а также площадка для спортивной ружейной стрельбы  
стенический|Сильный волей и жизненно активный  
стеничный|Сильный волей и жизненно активный  
стенка|Боковая сторона какого–нибудь вместилища; оболочка  
стенка|То же, что стена в значении «тесный ряд людей»  
стенка|Предмет мебели — занимающий стену плоский шкаф со многими секциями разнообразного назначения  
стенобитный|В старину: служащий для пролома крепостных стен  
стенограмма|Стенографическая запись  
стенографировать|Производить стенографическую запись  
стенографистка|Специалистка по стенографической записи  
стенография|Способ скоростной записи особыми знаками, дающий возможность быстро и точно записывать устную речь  
стенокардия|Одна из форм ишемической болезни сердца, заболевание артерий сердца  
стенопись|Настенная живопись  
степенный|Рассудительно–серьезный, важный  
степенный|Немолодой, приближающийся к старости  
степенство|В соединении с местоимениями «ваше», «его», «их» почтительное обращение к купцам в дореволюционной России  
степень|Мера, сравнительная величина чего–нибудь  
степень|Звание, а также ранг, чин  
степень|Разряд, категория  
степень|В математике: число или величина, получающаяся повторным умножением другого числа на самого себя  
степень|В математике: то же, что показатель степени  
степняк|Степная выносливая лошадь или иное степное животное  
степняк|Житель степной местности  
степь|Безлесное, бедное влагой и обычно ровное пространство с травянистой растительностью в зоне сухого климата  
стерва|То же, что стервец  
стервенеть|Приходить в крайнюю ярость, возбуждение, свирепеть  
стервец|Подлый человек, негодяй  
стервоза|То же, что стерва  
стервозный|Подлый, гадкий  
стервятник|Родственная грифу хищная птица, питающаяся падалью  
стервятник|Вообще животное, питающееся падалью  
стерео|Первая часть сложных слов со значением: относящийся к стереоскопическому изображению  
стерео|Первая часть сложных слов со значением: относящийся к стереофонии  
стерео|Первая часть сложных слов со значением: относящийся к стереометрии  
стерео|Первая часть сложных слов со значением: относящийся к стереотипии  
стереометрия|Раздел геометрии, изучающий фигуры, лежащие в пространстве  
стереоскоп|Оптический прибор, в котором два плоских изображения предмета сливаются в одно объемное изображение
