стервозный|Подлый, гадкий
стервятник|Родственная грифу хищная птица семейства ястребиных, питающаяся падалью
стервятник|Животное, питающееся падалью
стерео|Первая часть сложных слов со значением относящийся к стереоскопическому изображению
стерео|Первая часть сложных слов со значением относящийся к стереофонии
стерео|Первая часть сложных слов со значением относящийся к стереометрии
стерео|Первая часть сложных слов со значением относящийся к стереотипии
стереометрия|Раздел геометрии, изучающий фигуры, лежащие в пространстве
стереоскоп|Оптический прибор, в котором два плоских изображения предмета сливаются в одно объемное изображение
стереоскопический|Об изображении: объемный, рельефный
стереотип|Типографская печатная форма — рельефная копия с набора или клише
стереотип|Прочно сложившийся, постоянный образец чего–нибудь, стандарт
стереотипия|Техника изготовления стереотипов, а также печатание со стереотипов
стереотипный|Повторяющийся в неизменном виде, шаблонный, стандартный
стереофония|Передача или воспроизведение звука, при которых воспринимается пространственное расположение его источника
стереть|Трением удалить с поверхности или уничтожить
стереть|Трением повредить, сделать ссадину на чем–нибудь
стереть|Трением измельчить
стереться|Исчезнуть от трения или от воздействия каких–нибудь внешних причин
стереться|Уменьшиться в объеме, потерять выпуклость от трения
стереться|Повредиться от трения
стереться|То же, что изгладиться
стеречь|Охранять, следить за сохранностью кого–нибудь или чего–нибудь
стеречь|Выжидать появления кого–нибудь или чего–нибудь, выслеживая
стеречь|Подкарауливать, поджидать, подстерегать
стереться|То же, что остерегаться
стержень|Предмет удлиненной формы, являющийся осью, серединой или основой чего–нибудь; вообще предмет удлиненной формы
стержень|Основная часть, содержательный центр чего–нибудь
стержневой|Самый главный, основной
стерилизатор|Аппарат для стерилизации
стерилизовать|Сделать или делать стерильным, обеззаразить
стерилизовать|Сделать или делать неспособным к воспроизведению потомства путем особой операции на половых органах
стерильный|Полностью обеззараженный, очищенный от микроорганизмов
стерильный|Лишенный способности к воспроизведению потомства
стерлинг|Фунт стерлингов — денежная единица в Великобритании, равная 100 пенсам
стерлядь|Промысловая рыба семейства осетровых
стерня|То же, что жнивье
стерпеть|Терпеливо отнестись к чему–нибудь, вытерпеть
стерпеться|Привыкнув, смириться, освоиться с чем–нибудь неприятным, неудобным
стерх|Крупный белый журавль, гнездящийся в тундре и лесотундре Сибири
стесать|Тесанием снять с поверхности чего–нибудь
стеснение|Проявление стеснительности, застенчивости
стеснённый|С ограниченной свободой в чем–нибудь, затруднительный, трудный
стеснительный|Застенчивый, стесняющийся
стеснительный|То же, что стеснённый
стеснить|Ограничить свободу в чем–нибудь
стеснить|Вынудить потесниться
стесниться|О дыхании: стать стеснённым
стесняясь|Испытывать стеснение, чувство неловкости
стетоскоп|Деревянная или пластмассовая трубка для выслушивания сердца, сосудов, легких
стечение|Скопление в одном месте, в одно время
стечь|О жидкости: переместиться вниз
стечься|Притекая, стекая, соединиться
стечься|Скопиться, сойтись в одно место
стёганка|Куртка из стёганого материала
стёганый|Прошитый стёжкой
стёжка|Шов, а также прошитое швом место
стёжка|То же, что тропинка
стёклышко|Кусочек или небольшой лист стекла
стёртый|Поврежденный трением или изменившийся от трения, стершийся
стёртый|Слабо выраженный, неотчетливый, неясный
стилет|Небольшой кинжал с тонким трехгранным клинком
стилизатор|Человек, который занимается стилизацией
стилизация|Художественное произведение, представляющее собой стилистическое, жанровое или другое подражание чему–нибудь
стилизовать|Придать или придавать чему–нибудь признаки, черты какого–нибудь стиля, имитировать черты какой–нибудь эпохи, жизни народа, жанра
стилизовать|В изобразительном искусстве: представить или представлять предметы, фигуры в условно упрощенной форме
стилист|Человек, владеющий искусством литературного стиля, пишущий хорошим стилем
стилистика|Наука о стиле или стилях языка и художественной речи
стиль|Совокупность черт, близость выразительных художественных приемов и средств, обусловливающие собой единство какого–нибудь направления в творчестве
стиль|Метод, совокупность приемов какой–нибудь работы, деятельности, поведения
стиль|Совокупность приемов использования языковых средств для выражения тех или иных идей, мыслей в различных условиях речевой практики, слог
стиль|Совокупность приемов использования языковых средств, а также вообще средства художественной выразительности, определяющие своеобразие творчества писателя, отдельного произведения
стиль|Общность художественных приемов, характерных для какого–нибудь литературного жанра, направления, школы, эпохи
