сточиться|О ноже, лезвии: стать узким, тонким от заточки или длительного употребления
сточный|То же, что стекать и сток
стошнить|То же, что тошнить
стоя|В стоячем положении
стояк|Вертикальный брус, служащий опорой для чего–нибудь; вертикальная труба
стояк|Печной стояк с проходящим внутри дымоходом
стоялый|Застоявшийся или выстоявшийся
стоялый|Долго стоявший на месте, без движения
стоянка|Остановка во время движения
стоянка|Место, где располагаются на время остановки, на временное жительство
стоянка|Место, где временно стоит транспорт
стоянка|Место поселения первобытного человека
стоять|Находиться в вертикальном положении, уперевшись конечностями в твердую опору, не передвигаясь
стоять|Находиться неподвижно в вертикальном положении
стоять|Быть поставленным, расположенным где–нибудь; находиться где–нибудь
стоять|Быть, находиться, занимая какое–либо положение, выполняя какую–либо работу, обязанности
стоять|Быть, находиться, иметь место где–нибудь или в какое–либо время; вообще существовать
стоять|Иметься в наличии, нуждаясь в решении
стоять|Иметь местопребывание
стоять|Действовать в чьих–либо интересах, в каком–либо направлении, защищать, ограждать кого–либо или что–либо
стоять|Настаивать, стоять на своем решении, мнении
стоять|Не двигаться, бездействовать
стоять|Сохраняться, не портиться
стоять|Иметь, занимать место в очереди
стоять|Призыв остановиться, не торопиться
стоять|Выражение удивления и припоминания, напоминания
стоячий|Вертикальный, относящийся к положению стоя
стоячий|Не проточный, не текущий
стоячий|Предназначенный для стояния
стоящий|Имеющий ценность, заслуживающий внимания
стравить|Натравив друг на друга, заставить подраться, напасть
страда|Напряженная летняя работа в период косьбы, уборки урожая
страдалец|Человек, который много страдал, страдает
страдальческий|Полный страданий, выражающий страдание
страдание|Физическая или нравственная боль, мучение
страдание|Частушка на любовную тему
страдательный|Подвергающийся чему–либо неприятному, пассивно испытывающий что–либо
страдательный|В грамматике: глагольная категория, представляющая действие как пассивно направленное от объекта к субъекту
страдать|Испытывать страдание
страдать|Иметь какую–либо болезнь
страдать|Сочувствуя, болезненно переживать чье–либо горе, неудачу
страдать|Подвергаться чему–либо неприятному, терпеть ущерб, урон от чего–либо
страдать|Быть плохим, не на должном уровне
страж|То же, что сторож
страж|Человек, который охраняет кого–либо или что–либо, защитник
стража|Вооруженная охрана
стражник|В царской России: низший полицейский чин в некоторых видах охраны, стражи
страна|Территория, имеющая собственное государственное управление или управляемая другим государством
страна|Местность, территория
страница|Одна сторона листа бумаги в книге, тетради
страница|Период, отрезок времени в жизни, в развитии чего–либо
странник|Странствующий человек, обычно бездомный или гонимый
странник|Человек, идущий пешком на богомолье, богомолец
странничать|Вести жизнь странника
странность|Странный поступок, странное поведение
странный|Необычный, непонятный, вызывающий недоумение
страноведение|Комплексное изучение отдельных стран, их природы, географии, экономики, социального устройства
странствие|Странствование, путешествие
странствовать|То же, что путешествовать
странствовать|Постоянно менять место пребывания
страстной|Страстная неделя – последняя неделя перед Пасхой
страстный|Проникнутый сильным чувством
страстный|Увлеченный чем–нибудь, целиком отдающийся какому–либо занятию
страстный|Проникнутый страстью, чувством любви; чувственный
страсть|Сильная любовь, сильное чувственное влечение
страсть|Сильно выраженное чувство, воодушевленность
страсть|Крайнее увлечение, пристрастие к чему–нибудь
страсть|Страх, ужас
страсть|Очень, в высшей степени, очень много, ужас
стратег|Человек, владеющий стратегией
стратегический|О спортивной игре: такой, в котором отдельные комбинации подчинены заранее обдуманному плану
стратегия|Наука о ведении войны, искусство ведения войны
стратегия|Общий план ведения войны, боевых операций
стратегия|Искусство руководства общественной, политической борьбой, а также вообще искусство планирования руководства, основанного на правильных и далеко идущих прогнозах
стратонат|Человек, который совершает полет в стратосферу
стратостат|Аэростат для полетов в стратосферу
стратосфера|Верхний слой земной атмосферы, лежащий над тропосферой
страус|Самая крупная бегающая не летающая птица жарких стран с красивым оперением
страх|Очень сильный испуг, сильная боязнь
страх|События, предметы, вызывающие чувство боязни, ужаса
страх|Очень, в высшей степени, очень много, ужас
страхователь|Лицо или учреждение, которое страхуется
страховать|Предотвращать материальные потери путем выплаты взносов учреждению, которое берет на себя обязательство возместить возможный ущерб, понесенный в специально оговариваемых случаях
страховать|Предохранять от чего–либо неприятного, нежелательного
страховать|Оберегать, обеспечивать безопасность при выполнении спортивных упражнений, опасной работы
страховидный|Очень страшный, неприятный по виду
страховка|Денежное возмещение, выплачиваемое страховым учреждением страхователю
страховка|То же, что страховая премия
страховка|Гарантия от чего–либо неприятного, нежелательного
страховщик|Страховое учреждение, принимающее на себя обязательство выплатить денежное возмещение страхователю
